product_seq,pci_type,pci_number
17970338,PCIex16(at x4),1
18650483,PCIex16,1
18650483,PCIex1,2
17971604,PCIex16,1
17971604,PCIex16(at x4),1
17971604,PCIex1,2
19704017,PCIex16,1
18044582,PCIex16,1
18044582,PCIex16(at x4),2
18044582,PCIex1,2
16153055,PCIex16,3
12022880,PCIex16,1
18420125,PCIex16,1
18420125,PCIex1,1
18662669,PCIex16,1
18662669,PCIex16(at x4),1
18662669,PCIex1,2
19692893,PCIex16,1
19692893,PCIex1,1
21386576,PCIex16,1
21386576,PCIex1,1
21596222,PCIex16,1
21596222,PCIex16(at x4),2
21596222,PCIex1,2
16814663,PCIex16,2
16814663,PCIex1,1
18021491,PCIex16,1
18021491,PCIex16(at x4),1
18021491,PCIex1,1
15617057,PCIex16,2
15617057,PCIex4,1
15617057,PCIex1,1
11751599,PCIex16,2
11751599,PCIex1,1
19754957,PCIex16,1
19754957,PCIex1,1
17926772,PCIex16,1
17926772,PCIex16(at x4),2
17926772,PCIex1,1
6914983,PCIex16,1
6914983,PCIex8,1
6914983,PCI,2
18044567,PCIex16,1
18044567,PCIex16(at x4),1
18044567,PCIex1,2
18157412,PCIex16,1
18157412,PCIex1,1
18274538,PCIex16,1
18274538,PCIex16(at x4),1
18274538,PCIex16(at x2),1
19936247,PCIex16,1
19936247,PCIex1,2
11574545,PCIex16,1
11574545,PCIex1,2
27475169,PCIex16,1
27475169,PCIex16(at x4),1
27475169,PCIex16(at x1),1
27475169,PCIex1,1
19995881,PCIex16,1
18780872,PCIex16,1
18780872,PCIex16(at x1),2
20079428,PCIex16,1
20079428,PCIex16(at x4),2
20079428,PCIex1,1
19090373,PCIex16,1
19090373,PCIex16(at x4),1
20760632,PCIex16,1
20760632,PCIex16(at x4),2
27499739,PCIex16,1
27499739,PCIex1,2
17847224,PCIex16,1
17847224,PCIex1,1
18007499,PCIex16,1
18007499,PCIex16(at x4),1
28010348,PCIex16,1
28010348,PCIex1,1
19725299,PCIex16,1
19725299,PCIex1,1
27634559,PCIex16,1
27634559,PCIex1,2
20287199,PCIex16,1
20287199,PCIex16(at x1),3
16314863,PCIex16,1
16314863,PCIex1,1
18651329,PCIex16,1
18651329,PCIex16(at x1),1
16089554,PCIex16,2
16089554,PCIex1,1
17925728,PCIex16,1
17925728,PCIex16(at x4),1
18663455,PCIex16,1
18663455,PCIex1,1
21759887,PCIex16,1
21759887,PCIex1,1
20710217,PCIex16,1
20710217,PCIex1,2
17353070,PCIex16,1
17353070,PCIex1,1
18265187,PCIex16,1
18265187,PCIex16(at x4),1
18265187,PCIex16(at x1),1
18265187,PCIex1,1
11575373,PCIex16,2
11575373,PCIex1,1
18060395,PCIex16,1
18060395,PCIex16(at x4),1
18060395,PCIex1,1
20182508,PCIex16,1
20182508,PCIex16(at x4),1
11764859,PCIex16,2
11764859,PCIex1,2
19830806,PCIex16,1
18652601,PCIex16,1
18652601,PCIex1,1
18265715,PCIex16,1
18265715,PCIex16(at x4),1
18265715,PCIex1,2
19925807,PCIex16,1
19925807,PCIex1,2
19170107,PCIex16,1
19170107,PCIex1,1
18189497,PCIex16,1
18189497,PCIex16(at x1),2
18059252,PCIex16,1
18059252,PCIex16(at x4),2
18059252,PCIex1,1
27475223,PCIex16,1
27475223,PCIex16(at x4),2
27475223,PCIex1,1
18060356,PCIex16,1
18060356,PCIex16(at x4),1
18060356,PCIex1,2
19705316,PCIex16,1
19705316,PCIex1,1
21428693,PCIex16,1
21428693,PCIex1,1
19756199,PCIex16,1
19756199,PCIex16(at x4),1
19756199,PCIex1,2
16103177,PCIex16,1
16103177,PCIex1,1
19999916,PCIex16,1
19999916,PCIex1,1
19755890,PCIex16,1
19755890,PCIex1,2
18021842,PCIex16,1
18021842,PCIex16(at x4),1
18021842,PCIex1,2
8542178,PCIex16,2
8542178,PCIex1,3
18295433,PCIex16,1
18295433,PCIex16(at x4),2
18054881,PCIex16,1
18054881,PCIex16(at x4),3
18054881,PCIex1,1
19834694,PCIex16,1
19834694,PCIex1,1
19924310,PCIex16,1
19924310,PCIex1,2
15618923,PCIex16,3
15618923,PCIex1,1
17831615,PCIex16,1
17831615,PCIex1,1
17915426,PCIex16,1
17915426,PCIex16(at x4),1
17915426,PCIex16(at x2),1
18874781,PCIex16,1
18874781,PCIex16(at x4),1
18874781,PCIex1,1
17926658,PCIex16,1
17926658,PCIex16(at x4),1
17926658,PCIex16(at x2),1
19926059,PCIex16,1
19926059,PCIex1,2
18261245,PCIex16,1
18261245,PCIex16(at x4),1
18261245,PCIex16(at x1),1
18261245,PCIex1,1
18781991,PCIex16,1
18781991,PCIex1,2
18652889,PCIex16,1
18652889,PCIex1,2
11649263,PCIex16,2
11649263,PCIex1,1
19306598,PCIex16,1
19306598,PCIex16(at x4),1
19306598,PCIex1,2
21731021,PCIex16,1
21731021,PCIex1,1
12121013,PCIex16,1
21627827,PCIex16,1
21627827,PCIex16(at x4),1
20612690,PCIex16,1
20612690,PCIex1,1
20612690,PCI,1
18204425,PCIex16,1
18204425,PCIex16(at x4),1
18204425,PCIex16(at x2),1
18652868,PCIex16,1
18652868,PCIex16(at x4),1
18652868,PCIex1,1
19619507,PCIex16,1
19619507,PCIex1,1
14005334,PCIex16,1
14005334,PCIex1,1
20505392,PCIex16,1
21628184,PCIex16,1
21628184,PCIex16(at x4),1
18412733,PCIex16,1
18412733,PCIex16(at x1),1
18412733,PCIex1,1
18412733,PCI,1
18670778,PCIex16,1
18670778,PCIex1,1
16103219,PCIex16,3
18112607,PCIex16,1
18112607,PCIex16(at x4),1
18112607,PCIex16(at x1),1
18060878,PCIex16,1
18060878,PCIex1,1
18403334,PCIex16,1
18403334,PCIex1,1
19772375,PCIex16,1
19772375,PCIex16(at x4),1
19772375,PCIex16(at x1),1
20444672,PCIex16,1
20444672,PCIex16(at x4),1
18007478,PCIex16,1
18007478,PCIex16(at x4),1
18007478,PCIex1,1
18652883,PCIex16,1
18652883,PCIex16(at x4),1
18652883,PCIex1,1
17667608,PCIex16,5
18336908,PCIex16,1
18336908,PCIex16(at x4),1
27698261,PCIex16,1
27698261,PCIex1,1
18113240,PCIex16,1
18113240,PCIex1,1
28127945,PCIex16,1
28127945,PCIex16(at x4),1
28127945,PCIex1,1
18044558,PCIex16,1
18044558,PCIex16(at x4),1
18044558,PCIex1,2
17929595,PCIex16,1
17929595,PCIex16(at x4),1
17929595,PCIex1,1
16097975,PCIex16,2
16097975,PCIex1,3
21482249,PCIex16,1
21482249,PCIex1,2
19903640,PCIex16,1
19903640,PCIex16(at x4),1
19903640,PCIex1,1
16827602,PCIex16,1
17926670,PCIex16,1
17926670,PCIex16(at x4),1
17926670,PCIex16(at x1),1
17926670,PCIex1,1
17926799,PCIex16,1
17926799,PCIex16(at x4),1
17926799,PCIex4,1
12092663,PCIex16,1
12092663,PCIex1,1
27474755,PCIex16,1
27474755,PCIex16(at x4),1
27474755,PCIex1,1
27779696,PCIex16,1
27779696,PCIex1,1
19572686,PCIex16,1
19572686,PCIex16(at x4),1
19572686,PCIex1,1
17910983,PCIex16,1
17910983,PCIex1,2
8507295,PCIex16,3
8507295,PCIex1,2
19691621,PCIex16,1
19691621,PCIex16(at x1),2
18813608,PCIex16,1
18813608,PCIex1,2
19648718,PCIex16,1
19648718,PCIex16(at x4),1
19648718,PCIex1,1
17926796,PCIex16,1
18265439,PCIex16,1
18265439,PCIex16(at x4),1
18265439,PCIex1,1
18094733,PCIex16,1
18154367,PCIex16,1
18154367,PCIex16(at x1),2
18060386,PCIex16,1
18060386,PCIex16(at x4),1
18060386,PCIex1,1
20318291,PCIex16,1
20318291,PCIex16(at x2),1
20318291,PCIex1,2
17926787,PCIex16,1
17926787,PCIex16(at x4),1
17926787,PCIex16(at x1),1
16500779,PCIex16,1
18186989,PCIex16,1
18186989,PCIex16(at x1),2
16262660,PCIex16,2
16262660,PCIex1,1
18154397,PCIex16,1
18154397,PCIex16(at x4),1
18154397,PCIex1,2
19827944,PCIex16,1
19827944,PCIex1,2
18652880,PCIex16,1
18652880,PCIex16(at x4),1
18652880,PCIex1,1
17926790,PCIex16,1
20108249,PCIex1,2
20506130,PCIex16,1
20506130,PCIex1,2
16882091,PCIex16,2
16882091,PCIex1,1
17926637,PCIex16,1
17125895,PCIex16,3
17125895,PCIex1,1
20120033,PCIex16,1
20120033,PCIex1,2
21497582,PCIex16,1
21497582,PCIex1,1
20013098,PCIex16,1
20013098,PCIex16(at x4),2
20013098,PCIex1,1
17926661,PCIex16,1
17926661,PCIex16(at x4),1
17926661,PCIex16(at x2),1
20462924,PCIex16,1
20462924,PCIex1,1
13158384,PCIex16,1
13158384,PCIex16(at x4),1
16102988,PCIex16,2
16102988,PCIex1,1
