name,cpu,ram,gpu,dx,os,sto,spec_class
A Plague Tale: Requiem,Intel Core i7-8700k (3.7 GHz) / AMD Ryzen 5 3600 (3.6 GHz),16 GB,"8 GB, GeForce RTX 3070 / Radeon RX 6800 XT",Directx 12 (Level 12 and Shader Model 6.0 are needed),Windows 10 (20H1 64-bit),55 GB available space (SSD storage is recommended),1
A Quiver of Crows,Dual-core 2.2 GHz,2 GB RAM,NVIDIA GeForce GTX 260 / ATI Radeon 4870 HD / Intel HD 4600 / or equivalent with at least 512 MB VRAM,,Windows Vista,250 MB available space,0
A Quiver of Crows,Dual-core 2.4 GHz,4 GB RAM,Equivalent of GeForce 9800 GTX / Radeon HD 5000 / Intel HD 5200,,Windows 8.1 or 10,250 MB available space,1
A Rat's Quest - The Way Back Home,Intel Core i5 / AMD FX-6300,6 GB RAM,GTX 650 Ti 1GB/ Radeon 6950 1GB or better,,Windows 10 64bits,8 GB available space,0
A Rip In Time,Intel Core i3-4340 / AMD FX-6300,6 GB RAM,nVidia GeForce GTX 660 2GB / AMD Radeon HD 7850 2GB,,"64-bit Windows 7, Windows 8.1, Windows 10",30 GB available space,0
A Robot Named Fight!,Intel Pentium E2180 2.0 GHz (or AMD equivalent),1 GB RAM,Anything with DX9 (shader model 3.0) capability,Version 9.0,Windows XP SP2+,600 MB available space,0
A Short Hike,Intel or AMD Dual Core at 2 GHz or better,2 GB RAM,Intel Graphics 4400 or better,Version 11,Windows 7 SP1+ (or later),400 MB available space,0
A Show of Kindness,"CPU: Intel i5-4590, AMD FX 8350 equivalent or better",4 GB RAM,"Nvidia GeForce GTX 970, AMD Radeon R9 290 equivalent or better",,"Windows 7 SP1, Windows 8.1 or later, Windows 10",5 GB available space,0
A Show of Kindness,"CPU: Intel i5-4590, AMD FX 8350 equivalent or better",4 GB RAM,"Nvidia GeForce GTX 970, AMD Radeon R9 290 equivalent or better",,"Windows 7 SP1, Windows 8.1 or later, Windows 10",5 GB available space,1
A Story About My Uncle,"Intel Core 2 Duo, AMD Athlon X2, or equal at 1.6GHz or better",2 GB RAM,"DirectX 9.0c-compatible, SM 3.0-compatible",Version 9.0c,"Windows XP (SP3), Windows Vista (SP2), Windows 7, Windows 8",2 GB available space,0
A Story About My Uncle,QuadCore 2.0 GHz+,4 GB RAM,"DirectX 9.0c-compatible, SM 3.0-compatible, 1024MB VRAM+",Version 9.0c,Windows 7 or 8,2 GB available space,1
A Tale of Paper,Intel CPU Core i3,4 GB RAM,Nvidia GPU GeForce GTX 660,Version 11,"Windows 7, 64-bit",3015 MB available space,0
A Tale of Paper,Intel CPU Core i7,8 GB RAM,Nvidia GPU GeForce GTX 660,Version 11,"Windows 7, 64-bit",4 GB available space,1
A Vampyre Story,1.6 GHz,512 MB,256 MB video card GeForce FX-generation or ATI Radeon 9500,DirectX 9.0,Windows XP / Windows Vista,3 GB hard disk space,0
A Vampyre Story,2 GHz,512 MB,512 MB video card GeForce 6 or ATI Radeon 9800,DirectX 9.0 ,Windows XP / Windows Vista,5 GB hard disk space,1
A Virus Named Tom,,,Direct X 9.0c / Shader Model 2.0,9.0c,Windows XP (sp2),250 MB HD space,0
A Virus Named Tom,,,,10,Windows XP (sp2),250 MB HD space,1
