name,cpu,ram,gpu,dx,os,sto,spec_class
Burning Daylight,Intel Core i7-3770 @ 3.40GHz,6 GB RAM,Nvidia GTX 970 or equivalent,Version 10,Windows 10,3 GB available space,1
Burning Knight,Intel Core i3,4 GB RAM,(Any),,"Windows 10, 64-bit",150 MB available space,0
Burning Knight,Intel Core i5,8 GB RAM,(Any),,"Windows 10, 64-bit",150 MB available space,1
Burnout Paradise Remastered,Intel i3 2120 @ 3.3GHz or Phenom II X4 965 @ 3.40GHz,4 GB RAM,NVidia GT 450 or ATI Radeon HD 5750,Version 11,"Windows 7, 8.1, 10 64-bit",8 GB available space,0
Burnout Paradise Remastered,Intel i5 3570K or AMD Ryzen 3 1300X,8 GB RAM,Nvidia GTX 750 Ti or AMD Radeon R7 265,Version 11,"Windows 10, 64-bit",8 GB available space,1
Burnout Paradise: The Ultimate Box,2.8 GHz Pentium 4 XP / 3.2 GHz Pentium 4 Vista,1 GB RAM XP / 1.5 GB Vista (2 GB recommended),"DirectX 9.0c compatible with Shader Model 3.0, requires 128 MB or more and contain one of these chipsets: Nvidia 6600 or greater, Radeon X1300 or greater",,"Windows XP (SP2), Windows Vista",4 GB of free space or more,0
Burst The Game,Intel Core i3-550 | AMD Phenom II X4 955 or equivalent,4 GB RAM,GTX 560 or equivalent,Version 10,"Windows 7, Windows 8.1, Windows 10",10 GB available space,0
Burst The Game,"Intel Core i5-3470 @ 3.2 GHz, AMD FX-8120 @ 3.9 GHz",8 GB RAM,GTX 970 | GTX 1060 | AMD Radeon R9 290 or better,Version 11,Windows 10,10 GB available space,1
Bus Driver,1 GHz Pentium III or equivalent,256 MB,OpenGL 1.3 compatible 64MB AGP with hardware T&L ,DirectX 9,Windows 98/ME/2000/XP/Vista,300 MB free space,0
Bus Driver,1.5 GHz Pentium IV or equivalent,512 MB,OpenGL 1.5 compatible 128MB PCI Express with hardware T&L ,DirectX 9,Windows XP or Vista,300 MB free space,1
Bus Driver Simulator 2018,1.9ghz Intel i5-equivalent processor or higher,4 GB RAM,Onboard or dedicated graphics accelerator with 1GB+ of video RAM,Version 9.0,Microsoft® Windows® 7 or later,4 GB available space,0
Bus Driver Simulator 2018,"Intel Core i5 3470 @ 3.2 GHz, AMD FX 8120 @ 3.9 GHz",8 GB RAM,NVIDIA GTX 780 or AMD R9 390,Version 9.0,Microsoft® Windows® 7 or later,4 GB available space,1
Bus Simulator 16,Intel Core i3 with 3.3 GHz / AMD Phenom II X4 960T with 3.0 GHz or comparable processor,4 GB RAM,GeForce GTX 470 (1 GB VRAM) or comparable graphics card,Version 9.0,Windows 7/8/10 64 bit,4500 MB available space,0
Bus Simulator 16,Intel Core i5 with 3.40 GHz / AMD FX-8320E with 3.2 GHz or comparable processor,8 GB RAM,GeForce GTX 660 (2 GB VRAM) or comparable graphics card,Version 9.0,Windows 7/8/10 64 bit,4500 MB available space,1
Bus Simulator 18,Intel Core i3 with 3.3 GHz or AMD Phenom II X4 with 3.2 GHz,6 GB RAM,NVIDIA GeForce GTX 750 (1GB VRAM) or AMD Radeon R7 360 (2GB VRAM) or higher,Version 11,Windows 7/8/10 64-Bit,6500 MB available space,0
Bus Simulator 18,Intel Core i5-4670 (4th gen.) with 3.4 GHz or AMD FX-8370 with 4 GHz or equivalent,8 GB RAM,NVIDIA GeForce GTX 970 (4GB VRAM) or AMD Radeon R9 290 (4GB VRAM) or higher,Version 11,Windows 10 64-Bit,6500 MB available space,1
Bus Simulator 2008,Pentium 1.7GHz or similar,512MB RAM,3D Video Card with at least 128 MB Video RAM,DirectX 9.0c,Windows XP/Vista,2GB hard disk space,0
Bus Simulator 21,Intel Core i3-2120 / AMD Phenom II X4 830 or equivalent,8 GB RAM,NVIDIA GeForce GTX 760 (2GB VRAM) / AMD Radeon R9 280 (2GB VRAM) or higher,Version 12,Windows 10 64-Bit,18 GB available space,0
Bus Simulator 21,Intel Core i5-4440 / AMD FX-8140 or equivalent,8 GB RAM,NVIDIA GeForce GTX 1070 (8GB VRAM) / AMD Radeon RX Vega 56 (8GB VRAM) or higher,Version 12,Windows 10 64-Bit,18 GB available space,1
BUTCHER,Core 2 Duo,512 MB RAM,DX 9.0/OpenGL 2 compliant with SM 2.0+,Version 9.0,Windows XP SP2+,200 MB available space,0
Cabal 2,"Intel Dual Core 2.5Ghz or higher
AMD Athlon 64 X2 2.5Ghz or higher",2GB or more,"Geforce 9500GT or higher / RAM 512M, ShaderModel 3.0
AMD Radeon HD 4000 series or higher / RAM 512M ShaderModel 3.0",DirectX 9.0c,"Windows XP, Vista, 7, 8",25GB,0
Cabal 2,"Intel i5 over
AMD X4 over Phenom",4GB or more,"Geforce GTS250 / RAM 1G, ShaderModel 3.0 
AMD Radeon HD 4850 / RAM 1G, ShaderModel 3.0",DirectX 9.0c,"Windows XP, Vista, 7, 8 (64Bit)",25GB,1
Cabal Online,Pentium 4 2.0GHz+,1 GB RAM,ATI Radeon 9800PRO/Geforce 6 Series or higher,Version 9.0c,Windows 2000 or above,5 GB available space,0
Cabal Online,Pentium 4 3.0GHz+,2 GB RAM,ATI Radeon HD/Geforce 7 Series or higher,Version 9.0c,Windows 2000 or above,5 GB available space,1
Cabals: Magic & Battle Cards,Intel Core™ 2 Duo E6600 (2.4 GHz) or AMD Athlon 64 X2 5000+ (2.6 GHz) or better,4 GB RAM,NVIDIA GeForce 8800 GT (512 MB) or ATI Radeon HD 4850 (512 MB) or better,Version 9.0c,Windows® XP SP2+/Windows® Vista/Windows® 7/Windows® 8/Windows® 10,2 GB available space,0
Cabela's Big Game Hunter 2009,Intel Pentium 4 / AMD ATHLON XP -1600Mhz         ,1024Mb,Geforce 6600 / ATI Radeon X1600 (128 MB VRAM) ,DirectX 9.0c (latest version) ,Windows2000/XP,1400 MB uncompressed HDD space                            ,0
Cabela's Big Game Hunter 2009,Intel Pentium 4 / AMD ATHLON XP -2000Mhz         ,1024Mb,GeForce 7900 / ATI Radeon X1900 (256Mb VRAM) ,DirectX 9.0c (latest version) ,Windows2000/XP,1400 MB uncompressed HDD space                            ,1
Cabela's Dangerous Hunts 2013,Intel Core® 2 Duo E2180 or AMD Athlon 64 X2 4000+ Socket AM2,2 GB RAM,NVidia GeForce 8800 GT 512MB/ ATI X1900XT 512MB,9.0c,Windows® XP 32-bit (with Service Pack 3),6 GB HD space,0
Cadence,2 GHz,512 MB RAM,Shader Model 2 Graphics Card,Version 9.0,Windows XP,80 MB available space,0
Caesar IV,Intel(R) Pentium(R) 4 1.6 GHz or equivalent AMD(R) Athlon(TM) processor or higher,512 MB of RAM,64 MB video card (with Hardware T&L including Pixel Shader 1.1 or higher support),DirectX(R) 9.0c,Windows(R) 2000/Windows XP Home or Professional (including Service Pack 2 or higher),2.0 GB of free hard disk space,0
CAFE 0 ~The Drowned Mermaid~,,256 MB,,,Windows XP,,0
Caffeine,2Ghz Dual Core Processor,4 GB RAM,1GB Dedicated Graphics Card,Version 11,Microsoft Windows 7 and above,4 GB available space,0
Caffeine,2.8Ghz Quad Core or Higher,8 GB RAM,AMD R9 270 or Nvidia GeForce 760 or Higher (2GB+ Recommended),Version 11,Microsoft Windows 7 and above,4 GB available space,1
CAGE,1 GHz,1024 MB RAM,1 GB or higher,Version 9.0c,Windows 7,300 MB available space,0
Cake Mania,Pentium II 400Mhz or better ,128 MB System RAM,3D Hardware Accelerated Video Card with 16MB Video RAM ,Direct-X 7 or above ,Windows 98/ME/2000/XP ,,0
Cake Mania,Pentium II 400Mhz or better ,256 MB recommended,3D Hardware Accelerated Video Card with 16MB Video RAM ,Direct-X 7 or above ,Windows 98/ME/2000/XP,,1
Cal Ripken's Real Baseball,1.4 GHz or faster ,256 MB or more,"GeForce 3 (or equivalent) and above, with at least 64MB*",DirectX 9.0c,Windows 2000/XP/Vista,Minimum 100 MB (Uncompressed) ,0
Cal Ripken's Real Baseball,2.0 GHz Recommended,512 MB Recommended,GeForce 6 card with 128 MB Recommeded*,DirectX 9.0c,Windows 2000/XP/Vista,120 MB Recommended,1
Caliber,Intel Core i5-4440,8 GB RAM,NVIDIA GeForce GTX 960+ / AMD HD 7xxx+,Version 11,Windows 7/10 (64 bits),60 GB available space,0
Caliber,Intel Core i7-8700 / AMD Ryzen 7 2700,16 GB RAM,NVIDIA GeForce GTX 980 / AMD Radeon R9 390X,Version 11,Windows 7/10 (64 bits),60 GB available space,1
Californium,Intel Core i3 2.00 GHz,4 GB RAM,DX9 (shader model 2.0),,Windows 7 or Higher,2 GB available space,0
Caligo,Intel Core i3 4010U @ 1.70GHz,4 GB RAM,NVIDIA GeForce GTX 660 or better,,"64 Bit Windows 7, 8 or 10",10 GB available space,0
Call of Cthulhu,Intel Core i5-3450 (3.1 GHz)/AMD FX-6300 (3.5 GHz),8 GB RAM,"2 GB, GeForce GTX 660/Radeon HD 7870",,Windows 7/8/10 (64 bits),13 GB available space,0
Call of Cthulhu,Intel Core i7-3820 (3.6 GHz)/AMD FX-8370 (4.0 GHz),8 GB RAM,"4 GB, GeForce GTX 970/Radeon R9 390",,Windows 7/8/10 (64 bits),13 GB available space,1
Call of Cthulhu: Dark Corners of the Earth,Pentium III 800Mhz or better ,256MB RAM,DirectX 9.0 3D compliant Video Card with 128MB Video RAM,DirectX 9.0,Windows XP/2000 ,2.0GB hard-drive space for installation.,0
Call of Cthulhu: The Wasted Land,Intel 1.6GHz Processor or equivalent,1 GB RAM,OpenGL compatible,Version 9.0,Windows XP,400 MB available space,0
Call of Duty,"- Pentium III 600MHz or Athlon 600MHz processor or higher for systems with Windows 98/ME
- Pentium III 700MHz or Athlon 700MHz processor or higher for systems with Windows 2000/XP",128MB RAM,3D hardware accelerator card required - 100% DirectX 9.0b compatible 32MB hardware T&L-capable video card and latest drivers*,DirectX 9.0b (included),English version of Microsoft Windows 98/ME/2000/XP,"1.4GB of uncompressed free hard disk space (plus 400MB for Windows 98/ME swap file, 600MB for Windows 2000/XP swap file)",0
Call of Duty 2,Pentium IV 1.4GHz or AMD Athlon XP 1700+ processor or higher,256MB RAM,3D hardware accelerator card required - 100% DirectX 9.0c compatible 64MB hardware accelerator video card and the latest drivers*,DirectX 9.0c,English version of Microsoft Windows 2000/XP,4.0GB of uncompressed free hard disk space (plus 600MB for Windows 2000/XP swap file),0
Call of Duty 2,Pentium IV 1.4GHz or AMD Athlon XP 1700+ processor or higher,512MB RAM recommended,3D hardware accelerator card required - 100% DirectX 9.0c compatible 64MB hardware accelerator video card and the latest drivers*,DirectX 9.0c,English version of Microsoft Windows 2000/XP,4.0GB of uncompressed free hard disk space (plus 600MB for Windows 2000/XP swap file),1
Call of Duty 4: Modern Warfare,Pentium 4 2.4 GHz/ Athlon 64 2800+ (Intel & Athlon 1.8 GHz Dual Core or better supported,512MB RAM (768MB for Vista),128MB 3d Hardware Accelerated card required-100% DirectX 9.0c compatible and latest drivers (NVIDIA GeForce 6600+ / ATI Radeon 9800 Pro+),DirectX 9.0c,Windows XP/Vista only,8 GB of uncompressed free hard disk space (plus 600 MB for Windows swap file),0
Call of Duty 4: Modern Warfare,2.4 GHz dual core or better is recommended,1 GB (2 GB for Windows Vista),3.0 Shader Support recommended. Nvidia Geforce 7800 or better or ATI Radeon X1800 or better,DirectX 9.0c,Windows XP/Vista only,8 GB of uncompressed free hard disk space (plus 600 MB for Windows swap file),1
Call of Duty: Advanced Warfare,Intel Core i3-530 @ 2.93 GHz / AMD Phenom II X4 810 @ 2.80 GHz or better,6 GB RAM,NVIDIA GeForce GTS 450 @ 1GB / ATI Radeon HD 5870 @ 1GB or better,11,Windows 7 64-Bit / Windows 8 64-Bit / Windows 8.1 64-Bit,55 GB available space,0
Call of Duty: Advanced Warfare,Intel Core i5-2500K @ 3.30GHz,8 GB RAM,NVIDIA® GeForce® GTX 760 @ 4GB,11,Windows 7 64-Bit / Windows 8 64-Bit / Windows 8.1 64-Bit,55 GB available space,1
Call of Duty: Black Ops,Intel® Core™2 Duo E6600 or AMD Phenom™ X3 8750 or better,2GB,Shader 3.0 or better 256MB NVIDIA® GeForce® 8600GT / ATI Radeon® X1950Pro or better,DirectX 9.0c,Windows® Vista / XP / 7,12GB,0
Call of Duty: Black Ops 4,Intel Core i3-4340 / AMD FX-6300,8 GB RAM,GeForce GTX 660 2GB / GeForce GTX 1050 2GB or Radeon HD 7950 2GB,Version 11.0 compatible video card or equivalent,Windows 7 or higher (64-bit),25GB HD space,0
Call of Duty: Black Ops 4,Intel i5-2500K / Ryzen R5 1600X,12 GB RAM,GeForce GTX 970 4GB / GTX 1060 6GB or Radeon R9 390 / AMD RX 580,Version 11.0 compatible video card or equivalent,Windows 10 (64-bit),25GB HD space,1
Call of Duty: Black Ops Cold War,Intel Core i3-4340 or AMD FX-6300,8GB RAM,NVIDIA GeForce GTX 670 / GeForce GTX 1650 or Radeon HD 7950,DirectX 12.0 compatible system,Windows 7 64-Bit (SP1) or Windows 10 64-Bit (v.1803 or higher),"50GB (MP only), 175GB (all game modes)",0
Call of Duty: Black Ops Cold War,Intel Core i5-2500K or AMD Ryzen R5 1600X processor,12GB RAM,NVIDIA GeForce GTX 970 / GTX 1660 Super or Radeon R9 390 / AMD RX 580,DirectX 12.0 compatible system,Windows 10 64 Bit (latest update),175GB HD space,1
Call of Duty: Black Ops II,Intel Core2 Duo E8200 2.66 GHz or AMD Phenom X3 8750 2.4 GHz,2GB for 32-bit OS or 4GB for 64-bit OS,Nvidia GeForce 8800GT 512 MB or ATI Radeon HD 3870 512 MB,DX10,Windows Vista SP2 or Windows 7,,0
Call of Duty: Black Ops III,Intel Core i3-530 @ 2.93 GHz / AMD Phenom™ II X4 810 @ 2.60 GHz,6 GB RAM,GeForce GTX 470 @ 1GB / Radeon HD 6970 @ 1GB,Version 11,Windows 7 64-Bit / Windows 8 64-Bit / Windows 8.1 64-Bit,100 GB available space,0
Call of Duty: Ghosts,Intel® Core™ 2 Duo E8200 2.66 GHZ / AMD Phenom™ X3 8750 2.4 GHZ or better,6 GB RAM,NVIDIA® GeForce® GTS 450 / ATI® Radeon™ HD 5870 or better,DirectX 11,Windows 7 64-Bit / Windows 8 64-Bit,40 GB,0
Call of Duty: Ghosts,Intel® Core™ i5-680 @ 3.6GHz,8 GB RAM,NVIDIA® GeForce™ GTX 760 @ 4GB,DirectX 11,Windows 7 64-Bit / Windows 8 64-Bit,40 GB,1
Call of Duty: Infinite Warfare,Intel Core i3-3225 @ 3.30GHz or equivalent,8 GB RAM,NVIDIA GeForce GTX 660 2GB / AMD Radeon HD 7850 2GB,Version 11,Windows 7 64-Bit or later,70 GB available space,0
Call of Duty: Modern Warfare,Intel® Core™ i3-4340 or AMD FX-6300,8 GB RAM,NVIDIA® GeForce® GTX 670 / NVIDIA® GeForce® GTX 1650 or AMD Radeon™ HD 7950,DirectX 12,Windows® 7 64-bit (SP1) or Windows® 10 64-bit,175 GB available hard drive space,0
Call of Duty: Modern Warfare,Intel® Core™ i5-2500K or AMD Ryzen™ 5 1600X Processor,12 GB RAM,NVIDIA® GeForce® GTX 970 / NVIDIA® GeForce® GTX 1660 or AMD Radeon™ R9 390 / AMD Radeon™ RX 580,DirectX 12,Windows® 10 64-bit latest update,175 GB available hard drive space,1
Call of Duty: Modern Warfare 2,Intel Pentium 4 3.2 GHz or AMD Athlon 64 3200+ processor or better supported,1 GB RAM,256 MB NVIDIA GeForce 6600GT or better or ATI Radeon 1600XT or better  (Shader 3.0),DirectX(R) 9.0c,Microsoft Windows XP or Windows Vista (Windows 95/98/ME/2000 are unsupported),12GB of free hard drive space,0
Call of Duty: Modern Warfare 2 (2022),Intel Core I3-6100 / Core I5-2500K or AMD Ryzen 3 1200,8 GB,"Nvidia GeForce GTX 960 or AMD Radeon RX 470, 2GB",DirectX 12,Windows 10 64-bit (latest update),"72 GB, Hi-rez assets cache: Up to 32GB",0
Call of Duty: Modern Warfare 2 (2022),Intel Core I5-6600K / Core I7-4770 or AMD Ryzen 5 1400,12 GB,"Nvidia GeForce GTX 1060 or AMD Radeon RX 580, 4GB",DirectX 12,Windows 10 64-bit (latest update) or Windows 11 64-bit (latest update),"72 GB, Hi-rez assets cache: Up to 32GB",1
Call of Duty: Modern Warfare 2 Campaign Remastered,Intel Core i3-4340 or AMD FX-6300,8 GB RAM,NVIDIA® GeForce® GTX 670 / NVIDIA® GeForce® GTX 1650 or AMD Radeon™ HD 7950,DirectX 11.0,"Windows 7 64-Bit (SP1), Windows 8 64-Bit or Windows 10 64-Bit",80 GB,0
Call of Duty: Modern Warfare 2 Campaign Remastered,Intel® Core™ i5-2500K or AMD Ryzen™ R5 1600X Processor,12 GB RAM,NVIDIA® GeForce® GTX 970 / NVIDIA® GeForce® GTX 1660 or AMD Radeon™ R9 390 / AMD Radeon™ RX 580,DirectX 11.0,Windows® 10 64-bit latest update,80 GB,1
Call of Duty: Modern Warfare 3,Intel® Core™ 2 Duo E6600 or AMD Phenom™ X3 8750 processor or better,2GB RAM,Shader 3.0 or better 256 MB NVIDIA®GeForce™ 8600GT / ATI® Radeon™ X1950 or better,DirectX® 9.0C or later,Windows® XP / Windows Vista® / Windows® 7,16 GB free hard drive space,0
Call of Duty: Modern Warfare Remastered,Intel Core i3-3225 @ 3.30GHz or equivalent,8 GB RAM,NVIDIA GeForce GTX 660 2GB / AMD Radeon HD 7850 2GB,Version 11,Windows 7 64-Bit or later,"55GB available space at launch (more space will be required for updates, DLC, etc.)",0
Call of Duty: United Offensive,Pentium III 800MHz or Athlon 800MHz processor or higher,128MB RAM,3D hardware accelerator card required - 100% DirectX 9.0c compatible 32MB hardware T&L-capable video card and the latest drivers*,DirectX 9.0c (included),English version of Microsoft Windows 98/ME/2000/XP,"1150MB of uncompressed free hard disk space (plus 400MB for Windows 98/ME swap file, 600MB for Windows 2000/XP swap file)",0
Call of Duty: United Offensive,Pentium III 800MHz or Athlon 800MHz processor or higher,256MB Recommended,3D hardware accelerator card required - 100% DirectX 9.0c compatible 32MB hardware T&L-capable video card and the latest drivers*,DirectX 9.0c (included),English version of Microsoft Windows 98/ME/2000/XP,"1150MB of uncompressed free hard disk space (plus 400MB for Windows 98/ME swap file, 600MB for Windows 2000/XP swap file)",1
Call of Duty: Vanguard,Intel Core i3-4340 or AMD FX-6300,8 GB RAM,"NVIDIA GeForce GTX 960 or AMD Radeon RX 470, 2 GB VRAM",DirectX 12,Windows 10 64-bit (latest update),36 GB at launch (Multiplayer and Zombies only),0
Call of Duty: Vanguard,Intel Core i5-2500K or AMD Ryzen 5 1600X,12 GB RAM,"NVIDIA GeForce GTX 1060 or AMD Radeon RX 580, 4 GB VRAM",DirectX 12,Windows 10 64-bit (latest update) or Windows 11 64-bit (latest update),61 GB at launch,1
Call of Duty: Warzone,Intel® Core™ i3-4340 or AMD FX-6300,8 GB RAM,NVIDIA® GeForce® GTX 670 / NVIDIA® GeForce® GTX 1650 or AMD Radeon™ HD 7950,DirectX 12,Windows® 7 64-bit (SP1) or Windows® 10 64-bit,175 GB available hard drive space,0
Call of Duty: Warzone,Intel® Core™ i5-2500K or AMD Ryzen™ 5 1600X Processor,12 GB RAM,NVIDIA® GeForce® GTX 970 / NVIDIA® GeForce® GTX 1660 or AMD Radeon™ R9 390 / AMD Radeon™ RX 580,DirectX 12,Windows® 10 64-bit latest update,175 GB available hard drive space,1
Call of Duty: Warzone 2.0,Intel® Core™ i3-6100 / Core™ i5-2500K or AMD Ryzen™ 3 1200,8 GB RAM,NVIDIA® GeForce® GTX 960 or AMD Radeon™ RX 470 - DirectX 12.0 compatible system,Version 12,Windows® 10 64 Bit (latest update),125 GB available space,0
Call of Duty: Warzone 2.0,Intel® Core™ i5-6600K / Core™ i7-4770 or AMD Ryzen™ 5 1400,12 GB RAM,NVIDIA® GeForce® GTX 1060 or AMD Radeon™ RX 580 - DirectX 12.0 compatible system,Version 12,Windows® 10 64 Bit (latest update) or Windows® 11 64 Bit (latest update),125 GB available space,1
Call of Duty: World at War,Intel(R) Pentium(R) 4 3.0 GHz or AMD(R) Athlon(TM) 64 3200+ processor or better supported,512MB RAM (1GB for Windows Vista),Nvidia 6600GT/ATI Radeon 1600XT or higher (Shader 3.0 or better) with 256MB memory ,Microsoft DirectX(R) 9.0c (included),Microsoft(R) Windows(R) XP or Windows Vista(R) (Windows 95/98/ME/2000 are unsupported),8GB ,0
Call of Duty: WWII,Intel® Core™ i3 3225 3.3 GHz or AMD Ryzen™ 5 1400,8 GB RAM,NVIDIA® GeForce® GTX 660 @ 2 GB / GTX 1050 or ATI® Radeon™ HD 7850 @ 2GB / AMD RX 550,Version 11,Windows 7 64-Bit or later,90 GB available space,0
Call of Duty: WWII,Intel® Core™ i5-2400 / AMD Ryzen R5 1600X,12 GB RAM,NVIDIA® GeForce® GTX 970 / GTX 1060 @ 6GB or AMD Radeon™ R9 390 / AMD RX 580,Version 11,Windows 7 64-Bit or later,90 GB available space,1
Call of Juarez,"2.2 GHz Pentium® 4, AMD Athlon™ 2400+, or 2.4 GHz Celeron or better (3 GHz Pentium 4, AMD Athlon 3000+, or 3 GHz Celeron or better recommended)",512 MB RAM (1 GB recommended),"nVidia: GF6600, ATI: Radeon 9800 or better video card*",DirectX 9.0c or higher,Windows® 2000/XP (only),2 GB Hard Drive Space,0
Call of Juarez: Bound in Blood,"Intel Pentium 4 3.2 GHz Intel Pentium D 2.66 Ghz, AMD Athlon 64 3500 +",1 GB for Windows XP / 2 GB for Windows Vista,"Graphics card with 256 MB RAM, compatible with DirectX 10.0 or DirectX 9.0c with Shader Model 3.0 - supported cards: NVIDIA GeForce 6800/7600-7950/8600-8800/9600-9800/GTX 260-280, ATI RADEON X1650 - 1950/HD 2400-2900/3650-3870/4650-4870",DirectX 10.0 or DirectX 9.0c,Windows XP (with SP3) / Windows Vista (with SP1),4 GB of disk space,0
Call of Juarez: Gunslinger,2 GHz Intel® Core™2 Duo or 2 GHz AMD Athlon™ 64 X2,2 GB RAM,512 MB DirectX® 9.0c–compliant,9.0c,Windows® XP (SP3) / Windows Vista® (SP2) / Windows® 7 (SP1) / Windows® 8,5 GB HD space,0
Call of Juarez: Gunslinger,3 GHz Intel® Core™2 Duo or 3 GHz AMD Athlon™ 64 X2 or better,4 GB RAM,1024 MB DirectX 10–compliant or higher,10,Windows® 7 (SP1),5 GB HD space,1
Call of Juarez: The Cartel,"Intel Core 2 Duo 2GHz, AMD Athlon 64 X2 2Ghz","1GB for Windows XP, 2GB for Windows Vista/7",Nvidia 8800GT /ATI 3850,DirectX®: 9.0c,Windows XP/Visa/7 ,8GB ,0
Call of Juarez: The Cartel,"Intel Core 2 Duo 3GHz, AMD Athlon 64 X2 3Ghz or better","2GB for Windows XP, 3GB for Windows Vista/7 ",Nvidia GTX 260/ATI 4870 or better,DirectX®: 9.0c,Windows XP/Visa/7 ,8GB ,1
Call of the Sea,AMD FX-6100/Intel i3-3220 or Equivalent,8 GB RAM,"AMD Radeon HD 7750, NVIDIA GeForce GTX 650 or Equivalent",Version 11,64-bit Windows 7/8.1/10,15 GB available space,0
Call of the Sea,AMD Ryzen 7 1700/Intel i7-6700K or Equivalent,16 GB RAM,"AMD RX Vega 56, Nvidia GTX 1070/GTX1660Ti or Equivalent",Version 11,64-bit Windows 7/8.1/10,15 GB available space,1
Call of the Wild: The Angler,Intel i5-6400 (4C / 4T) (Q3 ‘15) or AMD Ryzen 5 1600,8 GB RAM,NVIDIA GTX 780 3 GB or AMD RX 480 4 GB,Version 12,64 bit OS - Windows 10,25 GB available space,0
Call of the Wild: The Angler,Intel Core i7-4770 or AMD Ryzen 5 1600X,16 GB RAM,Nvidia GTX 1070 8 GB or AMD Vega 56 8GB,Version 12,64 bit OS - Windows 10/11,25 GB available space,1
Call to Arms,(Any),4 GB RAM,DirectX 11 compatible,Version 11,"64bit - Windows 7, 8, 10",40 GB available space,0
Call to Arms,(Any),8 GB RAM,DirectX 12 compatible,Version 12,64bit - Windows 10,40 GB available space,1
Call to Arms - Gates of Hell: Ostfront,Intel Pentium G-2.5Ghz,4 GB RAM,DirectX 11 compatible,Version 11,"64bit - Windows 7, 8, 10",20 GB available space,0
Call to Arms - Gates of Hell: Ostfront,Intel Core i3-3Ghz+ or i5-2.5Ghz+,16 GB RAM,DirectX 12 compatible,Version 12,64bit - Windows 10,20 GB available space,1
Calm Waters: A Point and Click Adventure,2.0GHz Dual Core,2 GB RAM,"GeForce FX and up, Radeon 9500 and up, Intel 9xx",Version 9.0,Windows 7+,1 GB available space,0
Calvino Noir,Intel i3,2 GB RAM,Intel HD 4600,,Windows XP / Vista / 7 / 8,2 GB available space,0
Calvino Noir,Intel i5,4 GB RAM,GeForce 860,,Windows 8,2 GB available space,1
Camper Jumper Simulator,2.5 GHz Intel Pentium 4 / AMD Athlon 64,4 GB RAM,NVIDIA 600 series or AMD R7 series,Version 9.0c,Windows 7 or newer,2 GB available space,0
Candle,2.8 GHz Dual Core CPU,4 GB RAM,"Nvidia GeForce GT 220, Radeon HD 8400",Version 9.0c,"Windows 7 SP1, Windows 8 (32/64 bit versions)",12 GB available space,0
Candle,3.6 GHz Dual Core CPU,8 GB RAM,"AMD Radeon HD 6670, GeForce GTX 260 or better",Version 9.0c,"Windows 7 SP1, Windows 8, Windows 10 (64 bit versions)",12 GB available space,1
Candleman: The Complete Journey,Intel CPU Core i3,4 GB RAM,Nvidia GPU GeForce GTX460,Version 11,"Windows 7, 64-bit",4 GB available space,0
Candleman: The Complete Journey,Intel CPU Core i7,8 GB RAM,Nvidia GPU GeForce GTX750,Version 11,"Windows 7/8/10, 64-bit",4 GB available space,1
Canyon Capers,1.4GHz or faster,2 GB RAM,"Graphics Card made within the last 4 years (Pixel Shader 3.0, Vertex Shader 3.0)",Version 9.0c,Microsoft® Windows® XP / Vista / 7 / Windows 8,250 MB available space,0
Capcom Arcade 2nd Stadium,Intel® Core™ i5-4460 or AMD FX™-6300 or better,4 GB RAM,NVIDIA® GeForce® GTX 760 or AMD Radeon™ R7 260x with 2GB Video RAM,Version 12,WINDOWS® 10 (64-BIT Required),4 GB available space,0
Capcom Arcade 2nd Stadium,Intel® Core™ i7-3770 or AMD FX™-9590 or better,8 GB RAM,NVIDIA® GeForce® GTX 1060 or AMD Radeon™ RX 480 with 3GB VRAM,Version 12,WINDOWS® 10 (64-BIT Required),4 GB available space,1
Capcom Beat 'Em Up Bundle,"Intel® Core™ 2 Duo 2.4 GHz, or better",4 GB RAM,"NVIDIA® GeForce® GTX460, or better",Version 11,Windows® 7 SP1/ 8/ 8.1/ 10 (64-BIT Required),２ GB available space,0
Capcom Beat 'Em Up Bundle,"Intel® Core™ 2 Quad 2.7 GHz, or better",4 GB RAM,"NVIDIA® GeForce® GTX 560, or better",Version 11,Windows® 7 SP1/ 8/ 8.1/ 10 (64-BIT Required),２ GB available space,1
Capes,"Quad-core Intel or AMD, 2.5 GHz or faster",8 GB RAM,DirectX 11 or 12 compatible graphics card,Version 11,Windows 10 64-bit,8 GB available space,0
Capsized,Intel Dual Core 2.0 GHz or AMD Athlon X2 5200+ 2.6 GHz,2 GB,3D graphics card compatible with DirectX 9.0c,DirectX 9.0c,Windows XP / Vista / 7,1 GB,0
Captain Kaon,Intel Core 2 Duo,500 MB RAM,Direct-X 9 compatible graphics card,Version 9.0c,Windows Vista,100 MB available space,0
Captain Kaon,Intel i3,1 GB RAM,Direct-X 9 compatible graphics card,Version 9.0c,Windows 7,100 MB available space,1
Captain Morgane and the Golden Turtle,Pentium 1.6 GHz,512 MB RAM,64 MB Graphic Card DirectX 9-compatible,DirectX 9.0c or higher,Windows XP/Vista/Seven,3 GB free hard disc space,0
Captain Morgane and the Golden Turtle,Pentium 2 GHz,1024 MB RAM,128 MB Graphic Card DirectX 9-compatible,DirectX 9.0c or higher,Windows XP/Vista/Seven,3 GB free hard disc space,1
