cpu,mainboard,ram,gpu,case,power,cooler,ssd,sys_cooler
19627808,21727307,27894470,18669413,17780918,15216788,,13276568,
18039269,18652877,18767360,18763670,18419840,21206702,,12339347,
18718631,17971604,17535233,27548141,18212909,12400805,,14905265,
16741349,11574545,11790199,14461811,17654444,9431634,18075779,17454683,
19627808,19755890,18767360,18713942,16542008,13934516,,18983477,
12625265,12069566,11790199,18373469,13381634,9431634,13342367,12339347,
16741349,11574545,11541857,14824829,11564300,9782097,15245648,5734544,
16741349,11649263,11790199,20274764,18788645,16200479,18714860,7136788,
18640379,18652877,18911780,18686546,16571885,18442058,14588288,17454683,
14927675,12067598,11541857,919975,17976938,18503426,17743070,13161353,
18640280,19772375,18911780,19714703,21625646,13934357,,13276568,
18640379,18167699,18911780,18307451,18539024,13168653,11780869,17454683,
19627808,17970146,18610958,18302282,17409059,18901058,,17000984,
18039569,18060350,16193474,19844222,18538994,17853017,,17000984,
18640379,18652877,18911780,14719271,5633207,9515844,15604913,12339347,
18039374,18652871,15764342,20312969,19743740,12487214,,13538642,
16741349,11574545,11790199,16348940,16604054,16200560,18076082,5734544,
16741349,11571368,11790199,21771362,18412487,20480564,,13276568,
18640319,18651506,18911780,18713942,18212909,12487214,,12339347,
21694499,18976055,17535233,19768010,18750881,20315813,,8034664,
18640319,17353070,15759071,12401186,8173504,13934516,14110475,17001050,
18640397,18649997,17535647,14861477,11884207,13934357,,13276568,
18039356,18651431,18911780,20729429,15063971,13934357,,12339347,
17913311,17917991,15759071,17982335,16571885,13168653,16862534,13190519,
18725225,18652877,18036599,18302282,8173504,12487337,,17001050,
18640379,18652877,18911780,19017281,11884207,18442058,12633692,17454683,
20613197,17917991,18490574,20312741,17976368,19961321,,17001050,
19174415,17926763,20644043,9790371,17409059,12487301,,13190630,
18640379,18652877,18911771,20312741,18539024,18442058,14588144,17454683,
19627601,18021581,20644043,19047491,18788645,15786305,,13276568,
21694499,18165161,18700841,20243312,12053192,13934357,,13276568,
17913710,20324882,17535233,19772036,18136580,13934357,,14905265,
19627808,19827572,18700841,20308373,16542008,20628194,,17001050,
18640442,18646550,15764342,17982335,12681023,19921292,18714860,13190573,
18039374,18652877,17000666,18307634,18419840,13168653,,18297722,
18039269,18652865,18883523,19702460,18419840,20057990,,13538642,
19627601,17971181,20546735,18108812,17136002,18329759,,20600147,
18039374,19756199,16875872,18302759,18419840,6217539,,7136788,
18039374,19628207,20644043,19702460,18449441,12487337,,14905214,
18039269,18060395,22170725,18686444,15055580,21206702,,17000984,
15594638,16088780,11790199,14461811,16571885,9431634,15245648,17454767,
18640379,18652871,18911780,19781723,16542008,15786305,,7136755,
18718496,19673600,18911780,19773293,10006971,12487301,,17001050,
16140809,18054803,18911780,14853878,14705840,13934357,,12339347,
21694499,19755890,17535233,20308373,18922763,12400646,,7136788,
18718496,20324882,18911780,13463144,16542008,18872015,,13562645,
19174415,17926763,16193474,19102883,11884168,20315651,,17001050,
18039356,18652877,19539911,13512254,11884168,5973034,19306148,13161338,
18640379,18652871,21695174,13512254,16542008,12400646,,12339347,
18640379,18652871,20369126,19781723,18419840,20009693,,17001050,
18640379,18652877,18911780,18686444,5633207,16200560,17743070,17454767,
18640379,18652877,18911780,14444705,16541294,9431634,17743070,12339347,
18640379,19098683,18911780,20502104,18788645,13934357,,13276568,
15594638,16088780,11790199,14461811,16571885,9431529,15245648,17454767,
18039269,18780872,19391135,13512254,11884168,12487214,,13161338,
18718496,20324882,19566122,19781723,21625646,18872015,,17001050,
18039269,18652877,18911780,20308373,16900727,13934357,,13161338,
18718496,20324882,16250267,18910439,5718431,16342190,,13161338,
18039569,18054803,18911780,19125611,16687646,15266783,,13538642,
16101326,16083650,11541857,919975,12572462,18503426,17743070,13161353,
19174415,17926772,16443341,17982347,20031989,9564369,,18297722,
