name,price,link,company,product_seq,image,category,rated_power,80plus_certification,eta_certification,lambda_certification,voltage_fluctuation,output_method,availability,pfc_circuit,pf_factor,fan_size,fan_number,bearing,output_12v,cable_connection,depth,main_power,sub_power,pcie_16pin,pcie_8pin,pcie_6pin,sata,ide_4,rgb_connector,feature,inside,protection,as_years,reg_date,bookmark
ASUS ROG THOR 1000P2,448010.0,https://prod.danawa.com/info/?pcode=16014875&cate=112777,ASUS,16014875,//img.danawa.com/prod_img/500000/875/014/img/16014875_1.jpg?shrink=330:*&_v=20220818171303,ATX 파워,1000,80 PLUS 플레티넘,A++,,,,,,,135.0,1,2볼,83,풀모듈러,190,24핀,8핀(4+4) 1개,,3.0,,10,5.0,2.0,19,0,63,10,202112,
시소닉 PRIME TITANIUM TX-1300 Full Modular,620000.0,https://prod.danawa.com/info/?pcode=17870045&cate=112777,시소닉,17870045,//img.danawa.com/prod_img/500000/045/870/img/17870045_1.jpg?shrink=330:*&_v=20220920151223,ATX 파워,1300,80 PLUS 티타늄,,,0.5,+12V 싱글레일,100.0,액티브PFC,99.0,135.0,1,FDB(유체),108.3,풀모듈러,210,24핀(20+4),8핀(4+4) 3개,2.0,8.0,,16,3.0,,63,6,383,12,202209,
마이크로닉스 Performance II 125 700W 80PLUS GOLD,100440.0,https://prod.danawa.com/info/?pcode=14939270&cate=112777,마이크로닉스,14939270,//img.danawa.com/prod_img/500000/270/939/img/14939270_1.jpg?shrink=330:*&_v=20220429103256,ATX 파워,700,80 PLUS 골드,,,0.8,+12V 싱글레일,100.0,액티브PFC,,120.0,1,FDB(유체),58.3,케이블일체형,125,24핀(20+4),8+8핀 1개,,4.0,,6,4.0,,59,6,47,7,202108,
be quiet DARK POWER 12 850W 80PLUS TITANIUM,271400.0,https://prod.danawa.com/info/?pcode=16282301&cate=112777,be quiet,16282301,//img.danawa.com/prod_img/500000/301/282/img/16282301_1.jpg?shrink=330:*&_v=20220426154808,ATX 파워,850,80 PLUS 티타늄,TITANIUM,A+,,+12V 싱글/다중,,액티브PFC,97.0,135.0,1,FDB(유체),70,풀모듈러,175,24핀(20+4),8+4+4핀 1개,,6.0,,12,5.0,,24,14,127,10,202201,
DEEPCOOL DQ650-M-V2L 80Plus Gold Full Modular,89000.0,https://prod.danawa.com/info/?pcode=12041018&cate=112777,DEEPCOOL,12041018,//img.danawa.com/prod_img/500000/018/041/img/12041018_1.jpg?shrink=330:*&_v=20220209085419,ATX 파워,650,80 PLUS 골드,,,,+12V 싱글레일,,액티브PFC,,120.0,1,Sleeve,54,풀모듈러,160,24핀(20+4),8핀(4+4) 1개,,2.0,,8,4.0,,56,0,0,10,202008,
AONE STORM 700W 80PLUS BRONZE,59000.0,https://prod.danawa.com/info/?pcode=9431529&cate=112777,AONE,9431529,//img.danawa.com/prod_img/500000/529/431/img/9431529_1.jpg?shrink=330:*&_v=20220916153349,ATX 파워,700,80 PLUS 브론즈,,,,+12V 싱글레일,95.0,액티브PFC,99.0,120.0,1,FDB(유체),53,케이블일체형,140,24핀(20+4),8핀(4+4) 1개,,4.0,,5,4.0,,40,2,59,3,201909,
마이크로닉스 Compact SFX 350W 80Plus Bronze,62783.0,https://prod.danawa.com/info/?pcode=2717067&cate=112777,마이크로닉스,2717067,//img.danawa.com/prod_img/500000/067/717/img/2717067_1.jpg?shrink=330:*&_v=20200327143134,M-ATX(SFX) 파워,350,80 PLUS 브론즈,,,,+12V 싱글레일,,액티브PFC,,80.0,1,,27,케이블일체형,,24핀(20+4),,,1.0,1.0,3,2.0,,24,0,0,3,201407,
맥스엘리트 MAXWELL COUNT 750W 80PLUS GOLD 풀모듈러 (본체+메탈그레이),154990.0,https://prod.danawa.com/info/?pcode=17102183&cate=112777,맥스엘리트,17102183,//img.danawa.com/prod_img/500000/183/102/img/17102183_1.jpg?shrink=330:*&_v=20220523170349,ATX 파워,750,80 PLUS 골드,,,,+12V 싱글레일,99.0,액티브PFC,99.0,120.0,1,FDB(유체),62 이상,풀모듈러,140,24핀(20+4),8핀(4+4) 2개,,2.0,,8,3.0,,28,14,383,10,202205,
be quiet DARK POWER 12 750W 80PLUS TITANIUM,212980.0,https://prod.danawa.com/info/?pcode=16282103&cate=112777,be quiet,16282103,//img.danawa.com/prod_img/500000/103/282/img/16282103_1.jpg?shrink=330:*&_v=20220426154804,ATX 파워,750,80 PLUS 티타늄,TITANIUM,A+,,+12V 싱글/다중,,액티브PFC,97.0,135.0,1,FDB(유체),62,풀모듈러,175,24핀(20+4),8+4+4핀 1개,,6.0,,12,5.0,,24,14,127,10,202201,
시소닉 FOCUS PLATINUM PX-750 Full Modular,223000.0,https://prod.danawa.com/info/?pcode=9515871&cate=112777,시소닉,9515871,//img.danawa.com/prod_img/500000/871/515/img/9515871_1.jpg?shrink=330:*&_v=20210618161254,ATX 파워,750,80 PLUS 플레티넘,,,3.0,+12V 싱글레일,,액티브PFC,99.0,120.0,1,FDB(유체),62,풀모듈러,140,24핀,8핀(4+4) 2개,,4.0,,10,3.0,,63,6,63,10,201909,
잘만 TeraMax II 750W 80PLUS Gold 풀모듈러 화이트 ATX 3.0 (PCIE5),146140.0,https://prod.danawa.com/info/?pcode=20662292&cate=112777,잘만,20662292,//img.danawa.com/prod_img/500000/292/662/img/20662292_1.jpg?shrink=330:*&_v=20230623135336,ATX 파워,750,80 PLUS 골드,PLATINUM,A-,,+12V 싱글레일,100.0,액티브PFC,99.0,120.0,1,FDB(유체),62.5,풀모듈러,140,24핀,8핀(4+4) 2개,1.0,3.0,,8,3.0,,56,6,63,10,202306,
마이크로닉스 CASLON M 850W 80PLUS BRONZE 230V EU,114500.0,https://prod.danawa.com/info/?pcode=14319440&cate=112777,마이크로닉스,14319440,//img.danawa.com/prod_img/500000/440/319/img/14319440_1.jpg?shrink=330:*&_v=20220401105459,ATX 파워,850,80 PLUS 브론즈,,,0.6,+12V 싱글레일,100.0,액티브PFC,99.0,120.0,1,FDB(유체),70.8,케이블일체형,140,24핀(20+4),8+4+4핀 1개,,4.0,,8,4.0,,43,6,59,6,202105,
3RSYS AK 800S 80PLUS STANDARD 230V EU,66000.0,https://prod.danawa.com/info/?pcode=12838997&cate=112777,3RSYS,12838997,//img.danawa.com/prod_img/500000/997/838/img/12838997_1.jpg?shrink=330:*&_v=20230525171622,ATX 파워,800,80 PLUS 스탠다드,,,,+12V 싱글레일,90.0,액티브PFC,99.0,120.0,1,HDB/HYB,60,케이블일체형,140,24핀(20+4),8+4+4핀 1개,,4.0,,6,3.0,,40,2,47,5,202012,
시소닉 PRIME TITANIUM Fanless TX-700 Full Modular,438000.0,https://prod.danawa.com/info/?pcode=11391306&cate=112777,시소닉,11391306,//img.danawa.com/prod_img/500000/306/391/img/11391306_1.jpg?shrink=330:*&_v=20210406173824,ATX 파워,700,80 PLUS 티타늄,,,0.5,+12V 싱글레일,99.0,액티브PFC,99.0,,0,,58,풀모듈러,170,24핀(20+4),8핀(4+4) 2개,,4.0,,10,5.0,,56,4,383,12,202005,
마이크로닉스 COOLMAX FOCUS II 800W ETA BRONZE,79900.0,https://prod.danawa.com/info/?pcode=17052878&cate=112777,마이크로닉스,17052878,//img.danawa.com/prod_img/500000/878/052/img/17052878_1.jpg?shrink=330:*&_v=20220517140302,ATX 파워,800,,BRONZE,STANDARD+,,+12V 싱글레일,,액티브PFC,99.0,120.0,1,HDB,62.5,케이블일체형,140,24핀(20+4),8+4핀 1개,,4.0,,5,3.0,,40,2,43,5,202205,
쿨러마스터 V750 SFX GOLD,183990.0,https://prod.danawa.com/info/?pcode=12573677&cate=112777,쿨러마스터,12573677,//img.danawa.com/prod_img/500000/677/573/img/12573677_1.jpg?shrink=330:*&_v=20201126150221,M-ATX(SFX) 파워,750,80 PLUS 골드,,,,+12V 싱글레일,,액티브PFC,,92.0,1,FDB(유체),62.5,풀모듈러,100,24핀,,,4.0,,8,4.0,,56,0,0,10,202010,
마이크로닉스 WIZMAX 850W 80PLUS SILVER,,https://prod.danawa.com/info/?pcode=18741287&cate=112777,마이크로닉스,18741287,//img.danawa.com/prod_img/500000/287/741/img/18741287_1.jpg?shrink=330:*&_v=20230112140124,ATX 파워,850,80 PLUS 실버,,,0.9,+12V 싱글레일,100.0,액티브PFC,99.0,120.0,1,HDB,70.8,케이블일체형,,24핀(20+4),8+4+4핀 1개,,4.0,,8,4.0,,58,6,619,6,202301,
마이크로닉스 COOLMAX FOCUS PRO 500W 80PLUS 230V EU,44500.0,https://prod.danawa.com/info/?pcode=12978929&cate=112777,마이크로닉스,12978929,//img.danawa.com/prod_img/500000/929/978/img/12978929_1.jpg?shrink=330:*&_v=20220119125026,ATX 파워,500,80 PLUS 스탠다드,,,,+12V 싱글레일,86.0,액티브PFC,99.0,120.0,1,HDB/HYB,36,케이블일체형,140,24핀(20+4),8핀(4+4) 1개,,2.0,,4,3.0,,40,2,43,5,202012,
시소닉 B12 BRONZE BC-850,129000.0,https://prod.danawa.com/info/?pcode=18087920&cate=112777,시소닉,18087920,//img.danawa.com/prod_img/500000/920/087/img/18087920_1.jpg?shrink=330:*&_v=20230221100238,ATX 파워,850,80 PLUS 브론즈,,,3.0,+12V 싱글레일,99.0,액티브PFC,99.0,120.0,1,Sleeve,70,케이블일체형,140,24핀(20+4),8핀(4+4) 2개,,3.0,,6,3.0,,50,4,383,5,202210,
마이크로닉스 Performance II HV 1000W 80PLUS Bronze FDB,173918.0,https://prod.danawa.com/info/?pcode=10054617&cate=112777,마이크로닉스,10054617,//img.danawa.com/prod_img/500000/617/054/img/10054617_1.jpg?shrink=330:*&_v=20220119131523,ATX 파워,1000,80 PLUS 브론즈,,,,+12V 싱글레일,99.0,액티브PFC,99.0,135.0,1,FDB(유체),83,세미모듈러,160,24핀(20+4),8+4+4핀 1개,,6.0,,12,5.0,,58,6,63,6,201912,
SuperFlower SF-1000F14TP LEADEX V PRO PLATINUM WHITE,275980.0,https://prod.danawa.com/info/?pcode=15298397&cate=112777,SuperFlower,15298397,//img.danawa.com/prod_img/500000/397/298/img/15298397_1.jpg?shrink=330:*&_v=20230220145440,ATX 파워,1000,80 PLUS 플레티넘,,,0.2,+12V 싱글레일,99.0,액티브PFC,99.0,120.0,1,FDB(유체),83.3,풀모듈러,130,24핀(20+4),8핀(4+4) 2개,,8.0,,12,4.0,,51,14,639,10,202109,
앱코 XPERT XP-500N,36000.0,https://prod.danawa.com/info/?pcode=17515637&cate=112777,앱코,17515637,//img.danawa.com/prod_img/500000/637/515/img/17515637_1.jpg?shrink=330:*&_v=20220725142533,ATX 파워,500,,,,,+12V 싱글레일,,,,120.0,1,,32.8,케이블일체형,140,24핀(20+4),8핀(4+4) 1개,,2.0,,4,3.0,,10,2,46,3,202207,
ASUS ROG STRIX 1200W Gold Aura Edition,396000.0,https://prod.danawa.com/info/?pcode=21506708&cate=112777,ASUS,21506708,//img.danawa.com/prod_img/500000/708/506/img/21506708_1.jpg?shrink=330:*&_v=20230712152619,ATX 파워,1200,80 PLUS 골드,,A+,,+12V 싱글레일,100.0,,,120.0,1,2볼,100,,180,24핀,8핀(4+4) 2개,1.0,2.0,2.0,5,4.0,1.0,82,0,63,10,202307,
ASUS ROG STRIX 850W Gold Aura Edition,302000.0,https://prod.danawa.com/info/?pcode=20049734&cate=112777,ASUS,20049734,//img.danawa.com/prod_img/500000/734/049/img/20049734_1.jpg?shrink=330:*&_v=20230508083338,ATX 파워,850,80 PLUS 골드,,A++,,+12V 싱글레일,100.0,,,120.0,1,2볼,70.8,,180,24핀,8핀(4+4) 2개,1.0,2.0,2.0,5,4.0,1.0,82,0,63,10,202305,
마이크로닉스 Classic II 500W 80PLUS 230V EU,52500.0,https://prod.danawa.com/info/?pcode=1928673&cate=112777,마이크로닉스,1928673,//img.danawa.com/prod_img/500000/673/928/img/1928673_1.jpg?shrink=330:*&_v=20220118170146,ATX 파워,500,80 PLUS 스탠다드,,,,+12V 싱글레일,,액티브PFC,,120.0,1,,37.5,케이블일체형,140,24핀(20+4),,,2.0,,6,3.0,,40,0,0,6,201302,
3RSYS TEAMMOST TM 1000W 80PLUS BRONZE 230V EU,97900.0,https://prod.danawa.com/info/?pcode=17145116&cate=112777,3RSYS,17145116,//img.danawa.com/prod_img/500000/116/145/img/17145116_1.jpg?shrink=330:*&_v=20230525171726,ATX 파워,1000,80 PLUS 브론즈,,,,+12V 싱글레일,99.0,액티브PFC,99.0,140.0,1,Sleeve,83,케이블일체형,160,24핀(20+4),8+4+4핀 1개,,4.0,,6,3.0,,40,6,379,5,202205,
쿨러마스터 MWE GOLD 1250 V2 FULL MODULAR,232000.0,https://prod.danawa.com/info/?pcode=14397236&cate=112777,쿨러마스터,14397236,//img.danawa.com/prod_img/500000/236/397/img/14397236_1.jpg?shrink=330:*&_v=20210611104547,ATX 파워,1250,80 PLUS 골드,,,,+12V 싱글레일,99.0,액티브PFC,,140.0,1,FDB(유체),104,풀모듈러,180,24핀,8+4+4핀 1개,,8.0,,12,4.0,,3,0,63,10,202106,
잘만 Tager GAMING 600W 벌크,39730.0,https://prod.danawa.com/info/?pcode=12461447&cate=112777,잘만,12461447,//img.danawa.com/prod_img/500000/447/461/img/12461447_1.jpg?shrink=330:*&_v=20210107162013,ATX 파워,600,,,,,+12V 싱글레일,90.0,,,120.0,1,,45,케이블일체형,140,24핀(20+4),8핀(4+4) 1개,,2.0,,4,3.0,,8,2,43,3,202010,
마이크로닉스 ASTRO Platinum 850W 풀모듈러,199000.0,https://prod.danawa.com/info/?pcode=6461849&cate=112777,마이크로닉스,6461849,//img.danawa.com/prod_img/500000/849/461/img/6461849_1.jpg?shrink=330:*&_v=20220119132305,ATX 파워,850,80 PLUS 플레티넘,,,0.5,+12V 싱글레일,100.0,액티브PFC,99.0,135.0,1,2볼,70.8,풀모듈러,180,24핀(20+4),8핀(4+4) 2개,,6.0,,8,6.0,,59,6,63,10,201809,
Antec SIGNATURE 1000W TITANIUM,455000.0,https://prod.danawa.com/info/?pcode=10920675&cate=112777,Antec,10920675,//img.danawa.com/prod_img/500000/675/920/img/10920675_1.jpg?shrink=330:*&_v=20211216125839,ATX 파워,1000,80 PLUS 티타늄,A+,A,,+12V 싱글레일,99.0,,,135.0,1,FDB(유체),83,풀모듈러,170,24핀,8핀(4+4) 2개,,8.0,,16,5.0,,55,12,639,10,202003,
앱코 SETTLER-II ST-600B ETA BRONZE,58000.0,https://prod.danawa.com/info/?pcode=19779059&cate=112777,앱코,19779059,//img.danawa.com/prod_img/500000/059/779/img/19779059_1.jpg?shrink=330:*&_v=20230511123256,ATX 파워,600,,BRONZE,STANDARD++,,+12V 싱글레일,100.0,액티브PFC,99.0,120.0,1,,50,케이블일체형,140,24핀(20+4),8+4+4핀 1개,,4.0,,6,3.0,,42,2,47,7,202304,
be quiet DARK POWER PRO 12 1200W 80PLUS TITANIUM,631700.0,https://prod.danawa.com/info/?pcode=16265510&cate=112777,be quiet,16265510,//img.danawa.com/prod_img/500000/510/265/img/16265510_1.jpg?shrink=330:*&_v=20220126163517,ATX 파워,1200,80 PLUS 티타늄,TITANIUM,A+,,+12V 싱글/다중,,액티브PFC,99.0,135.0,1,FDB(유체),100,풀모듈러,200,24핀(20+4),8+4+4핀 1개,,10.0,,16,8.0,,24,14,127,10,202201,
EATON Ellipse ECO 650 USB DIN 기본,222000.0,https://prod.danawa.com/info/?pcode=2722682&cate=112777,EATON,2722682,//img.danawa.com/prod_img/500000/682/722/img/2722682_1.jpg?shrink=330:*&_v=20201007112656,UPS,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,201407,
시소닉 PRIME PLATINUM PX-850 Full Modular,348000.0,https://prod.danawa.com/info/?pcode=11120934&cate=112777,시소닉,11120934,//img.danawa.com/prod_img/500000/934/120/img/11120934_1.jpg?shrink=330:*&_v=20210406173647,ATX 파워,850,80 PLUS 플레티넘,,,0.5,+12V 싱글레일,99.0,액티브PFC,99.0,135.0,1,FDB(유체),83,풀모듈러,170,24핀,8핀(4+4) 2개,,6.0,,14,5.0,,63,6,383,12,202004,
쿨러마스터 M2000 80plus PLATINUM 230V 풀모듈러,623620.0,https://prod.danawa.com/info/?pcode=16367276&cate=112777,쿨러마스터,16367276,//img.danawa.com/prod_img/500000/276/367/img/16367276_1.jpg?shrink=330:*&_v=20220210140627,ATX 파워,2000,80 PLUS 플레티넘,,,,,99.0,액티브PFC,,135.0,1,,166,풀모듈러,,24핀,8핀(4+4) 2개,,18.0,,12,3.0,,2,0,63,7,202202,
앱코 XTREAM XT-850G 80PLUS GOLD Full Modular,128000.0,https://prod.danawa.com/info/?pcode=16362002&cate=112777,앱코,16362002,//img.danawa.com/prod_img/500000/002/362/img/16362002_1.jpg?shrink=330:*&_v=20220210092409,ATX 파워,850,80 PLUS 골드,,,,+12V 싱글레일,100.0,액티브PFC,99.0,140.0,1,FDB(유체),70.8 이상,풀모듈러,183,24핀,8핀(4+4) 4개,,4.0,,8,5.0,,16,14,127,10,202202,
시소닉 B12 BRONZE BM-850 Modular,139000.0,https://prod.danawa.com/info/?pcode=18087932&cate=112777,시소닉,18087932,//img.danawa.com/prod_img/500000/932/087/img/18087932_1.jpg?shrink=330:*&_v=20221025084732,ATX 파워,850,80 PLUS 브론즈,,,3.0,+12V 싱글레일,99.0,액티브PFC,99.0,120.0,1,Sleeve,70,세미모듈러,140,24핀(20+4),8핀(4+4) 2개,,3.0,,6,3.0,,50,4,383,5,202210,
잘만 ZM1000-ARX 80PLUS PLATINUM,229000.0,https://prod.danawa.com/info/?pcode=4909726&cate=112777,잘만,4909726,//img.danawa.com/prod_img/500000/726/909/img/4909726_1.jpg?shrink=330:*&_v=20230116111854,ATX 파워,1000,80 PLUS 플레티넘,,,,+12V 싱글레일,99.0,액티브PFC,,135.0,1,볼,83,풀모듈러,180,24핀(20+4),8+4+4핀 1개,,6.0,,12,8.0,,59,2,63,10,201702,
CORSAIR HX1000i 2022 80PLUS PLATINUM,377970.0,https://prod.danawa.com/info/?pcode=17454815&cate=112777,CORSAIR,17454815,//img.danawa.com/prod_img/500000/815/454/img/17454815_1.jpg?shrink=330:*&_v=20220725092642,ATX 파워,1000,80 PLUS 플레티넘,,,,+12V 싱글레일,100.0,,,140.0,1,FDB(유체),83.3,풀모듈러,180,24핀,8핀(4+4) 3개,,6.0,,8,8.0,,147,6,61,10,202207,
쿨러마스터 V750 SFX GOLD White Edition,191470.0,https://prod.danawa.com/info/?pcode=17260823&cate=112777,쿨러마스터,17260823,//img.danawa.com/prod_img/500000/823/260/img/17260823_1.jpg?shrink=330:*&_v=20220622124914,M-ATX(SFX) 파워,750,80 PLUS 골드,,,,+12V 싱글레일,,액티브PFC,,92.0,1,FDB(유체),62.5,풀모듈러,100,24핀,8+4+4핀 1개,,4.0,,8,4.0,,56,0,63,10,202206,
AONE STORM 700LF,45910.0,https://prod.danawa.com/info/?pcode=20635220&cate=112777,AONE,20635220,//img.danawa.com/prod_img/500000/220/635/img/20635220_1.jpg?shrink=330:*&_v=20230821132028,ATX 파워,700,,,,,+12V 싱글레일,,액티브PFC,99.0,120.0,1,,58.3,,140,24핀(20+4),8핀(4+4) 1개,,2.0,,5,4.0,,32,0,59,3,202306,
COX SECURE SC-500N,36000.0,https://prod.danawa.com/info/?pcode=17526269&cate=112777,COX,17526269,//img.danawa.com/prod_img/500000/269/526/img/17526269_1.jpg?shrink=330:*&_v=20220729092005,ATX 파워,500,,,,,+12V 싱글레일,90.0,,,120.0,1,,32.8,케이블일체형,140,24핀(20+4),8핀(4+4) 1개,,2.0,,4,3.0,,10,2,46,3,202207,
앱코 XTREAM XT-750B 80PLUS STANDARD,58000.0,https://prod.danawa.com/info/?pcode=16060109&cate=112777,앱코,16060109,//img.danawa.com/prod_img/500000/109/060/img/16060109_1.jpg?shrink=330:*&_v=20220316134936,ATX 파워,750,80 PLUS 스탠다드,,,,+12V 싱글레일,100.0,액티브PFC,99.0,140.0,1,HDB/HYB,62.5,케이블일체형,165,24핀(20+4),8핀(4+4) 2개,,4.0,,8,5.0,,0,14,63,7,202112,
쿨러마스터 MWE GOLD 850 V2 FULL MODULAR,172990.0,https://prod.danawa.com/info/?pcode=13329584&cate=112777,쿨러마스터,13329584,//img.danawa.com/prod_img/500000/584/329/img/13329584_1.jpg?shrink=330:*&_v=20210205161935,ATX 파워,850,80 PLUS 골드,,,,+12V 싱글레일,91.0,액티브PFC,,120.0,1,HDB/HYB,70.8,풀모듈러,160,24핀(20+4),8핀(4+4) 1개,,4.0,,12,4.0,,8,0,63,7,202102,
잘만 ZM1200-ARX 80PLUS PLATINUM,248970.0,https://prod.danawa.com/info/?pcode=5488836&cate=112777,잘만,5488836,//img.danawa.com/prod_img/500000/836/488/img/5488836_1.jpg?shrink=330:*&_v=20230116111903,ATX 파워,1200,80 PLUS 플레티넘,,,,+12V 싱글레일,100.0,액티브PFC,,135.0,1,볼,100,풀모듈러,180,24핀(20+4),8+4+4핀 1개,,2.0,4.0,16,8.0,,27,2,63,10,201709,
MSI MPG A850GF 80PLUS GOLD,149000.0,https://prod.danawa.com/info/?pcode=13853267&cate=112777,MSI,13853267,//img.danawa.com/prod_img/500000/267/853/img/13853267_1.jpg?shrink=330:*&_v=20210929110116,ATX 파워,850,80 PLUS 골드,,,,+12V 다중레일,,액티브PFC,,140.0,1,2볼,"25, 40",풀모듈러,160,24핀,8핀(4+4) 2개,,6.0,,8,,,16,4,63,10,202104,
GIGABYTE P750GM 80PLUS GOLD 풀모듈러,93500.0,https://prod.danawa.com/info/?pcode=12676532&cate=112777,GIGABYTE,12676532,//img.danawa.com/prod_img/500000/532/676/img/12676532_1.jpg?shrink=330:*&_v=20210119124540,ATX 파워,750,80 PLUS 골드,,,,,,액티브PFC,,120.0,1,,61,풀모듈러,140,24핀(20+4),,,4.0,,8,3.0,,56,0,0,5,202011,
SuperFlower SF-1000F14TP LEADEX V PRO PLATINUM,268980.0,https://prod.danawa.com/info/?pcode=15298655&cate=112777,SuperFlower,15298655,//img.danawa.com/prod_img/500000/655/298/img/15298655_1.jpg?shrink=330:*&_v=20210928171014,ATX 파워,1000,80 PLUS 플레티넘,,,0.2,+12V 싱글레일,99.0,액티브PFC,99.0,120.0,1,FDB(유체),83.3,풀모듈러,130,24핀(20+4),8핀(4+4) 2개,,8.0,,12,4.0,,51,14,639,10,202109,
시소닉 PRIME GOLD GX-850 Full Modular,288000.0,https://prod.danawa.com/info/?pcode=10497549&cate=112777,시소닉,10497549,//img.danawa.com/prod_img/500000/549/497/img/10497549_1.jpg?shrink=330:*&_v=20210406173411,ATX 파워,850,80 PLUS 골드,,,0.5,+12V 싱글레일,99.0,액티브PFC,99.0,135.0,1,FDB(유체),70,풀모듈러,170,24핀(20+4),8핀(4+4) 2개,,6.0,,14,5.0,,63,6,383,12,202002,
GIGABYTE UD1300GM PG5 80PLUS GOLD 풀모듈러 ATX 3.0 피씨디렉트,347330.0,https://prod.danawa.com/info/?pcode=21688382&cate=112777,GIGABYTE,21688382,//img.danawa.com/prod_img/500000/382/688/img/21688382_1.jpg?shrink=330:*&_v=20230721155507,ATX 파워,1300,80 PLUS 골드,,,,+12V 싱글레일,99.0,,,140.0,1,2볼,108.3,풀모듈러,160,24핀(20+4),8핀(4+4) 2개,1.0,8.0,,12,6.0,,48,2,63,10,202307,
MSI MPG A750GF 화이트 80PLUS GOLD,111420.0,https://prod.danawa.com/info/?pcode=16526492&cate=112777,MSI,16526492,//img.danawa.com/prod_img/500000/492/526/img/16526492_1.jpg?shrink=330:*&_v=20220311142005,ATX 파워,750,80 PLUS 골드,,,,+12V 다중레일,,액티브PFC,,140.0,1,2볼,"25, 35",풀모듈러,160,24핀,8핀(4+4) 2개,,6.0,,8,4.0,,16,4,63,10,202203,
맥스엘리트 MAXWELL COUNT 750W 80PLUS GOLD 풀모듈러 (본체+딥블랙),155000.0,https://prod.danawa.com/info/?pcode=17102117&cate=112777,맥스엘리트,17102117,//img.danawa.com/prod_img/500000/117/102/img/17102117_1.jpg?shrink=330:*&_v=20220523170353,ATX 파워,750,80 PLUS 골드,,,,+12V 싱글레일,99.0,액티브PFC,99.0,120.0,1,FDB(유체),62 이상,풀모듈러,140,24핀(20+4),8핀(4+4) 2개,,2.0,,8,3.0,,28,14,383,10,202205,
마이크로닉스 Classic II 550W 80PLUS Bronze 230V EU HDB,51900.0,https://prod.danawa.com/info/?pcode=9326265&cate=112777,마이크로닉스,9326265,//img.danawa.com/prod_img/500000/265/326/img/9326265_1.jpg?shrink=330:*&_v=20220118170354,ATX 파워,550,80 PLUS 브론즈,,,,+12V 싱글레일,100.0,액티브PFC,99.0,120.0,1,HDB/HYB,45.8,케이블일체형,140,24핀(20+4),8+4핀 1개,,2.0,,6,4.0,,43,6,59,6,201908,
써멀테이크 터프파워 GF3 1650W GOLD 풀모듈러 ATX 3.0 (PCIE5),459400.0,https://prod.danawa.com/info/?pcode=27482198&cate=112777,써멀테이크,27482198,//img.danawa.com/prod_img/500000/198/482/img/27482198_1.jpg?shrink=330:*&_v=20230808151945,ATX 파워,1650,80 PLUS 골드,PLATINUM,,3.0,+12V 싱글레일,,액티브PFC,99.0,140.0,1,FDB(유체),137.5,풀모듈러,180,24핀,8+4+4핀 1개,2.0,9.0,,16,8.0,,59,2,63,10,202308,
3RSYS TEAMMOST TM 750W 80PLUS BRONZE 230V EU,64410.0,https://prod.danawa.com/info/?pcode=17144888&cate=112777,3RSYS,17144888,//img.danawa.com/prod_img/500000/888/144/img/17144888_1.jpg?shrink=330:*&_v=20230525171726,ATX 파워,750,80 PLUS 브론즈,,,,+12V 싱글레일,99.0,액티브PFC,99.0,120.0,1,HDB/HYB,62,케이블일체형,150,24핀(20+4),8+4+4핀 1개,,3.0,,6,3.0,,40,6,379,5,202205,
SuperFlower SF-500R12ST MEGA 80PLUS STANDARD 230V EU,50490.0,https://prod.danawa.com/info/?pcode=7179172&cate=112777,SuperFlower,7179172,//img.danawa.com/prod_img/500000/172/179/img/7179172_1.jpg?shrink=330:*&_v=20210108174558,ATX 파워,500,80 PLUS 스탠다드,,,,+12V 싱글레일,91.0,액티브PFC,,120.0,1,Sleeve,38,케이블일체형,140,24핀(20+4),8핀(4+4) 1개,,2.0,,6,4.0,,40,2,35,5,201902,
ASUS ROG STRIX 750W Gold Aura Edition,279000.0,https://prod.danawa.com/info/?pcode=20049668&cate=112777,ASUS,20049668,//img.danawa.com/prod_img/500000/668/049/img/20049668_1.jpg?shrink=330:*&_v=20230508082756,ATX 파워,750,80 PLUS 골드,,A++,,+12V 싱글레일,100.0,,,120.0,1,2볼,62.5,,180,24핀,8핀(4+4) 2개,1.0,2.0,2.0,5,4.0,1.0,82,0,63,10,202305,
Fractal Design Ion+ 2 560W Platinum,173000.0,https://prod.danawa.com/info/?pcode=15026450&cate=112777,Fractal Design,15026450,//img.danawa.com/prod_img/500000/450/026/img/15026450_1.jpg?shrink=330:*&_v=20210818233655,ATX 파워,560,80 PLUS 플레티넘,,,,+12V 싱글레일,99.0,,,140.0,1,FDB(유체),46.6,풀모듈러,150,24핀(20+4),8+4+4핀 1개,,4.0,,6,4.0,,24,2,63,10,202108,
잘만 TeraMax 750W 80PLUS Gold Full Modular,128040.0,https://prod.danawa.com/info/?pcode=16935488&cate=112777,잘만,16935488,//img.danawa.com/prod_img/500000/488/935/img/16935488_1.jpg?shrink=330:*&_v=20230116111545,ATX 파워,750,80 PLUS 골드,,,3.0,+12V 싱글레일,100.0,액티브PFC,99.0,120.0,1,FDB(유체),62.5,풀모듈러,140,24핀,8핀(4+4) 2개,,4.0,,8,3.0,,40,6,63,10,202204,
