name,price,link,company,product_seq,image,category,rated_power,80plus_certification,eta_certification,lambda_certification,voltage_fluctuation,output_method,availability,pfc_circuit,pf_factor,fan_size,fan_number,bearing,output_12v,cable_connection,depth,main_power,sub_power,pcie_16pin,pcie_8pin,pcie_6pin,sata,ide_4,rgb_connector,feature,inside,protection,as_years,reg_date,bookmark
쿨러마스터 V850 SFX GOLD ATX 3.0 WHITE (PCIE5),243380.0,https://prod.danawa.com/info/?pcode=22079648&cate=112777,쿨러마스터,22079648,//img.danawa.com/prod_img/500000/648/079/img/22079648_1.jpg?shrink=330:*&_v=20230808124654,M-ATX(SFX) 파워,850,80 PLUS 골드,,,,+12V 싱글레일,,액티브PFC,,92.0,1,FDB(유체),70.8,풀모듈러,100,24핀,8핀(4+4) 1개,1.0,4.0,,8,4.0,,16,2,63,10,202307,
쿨러마스터 MWE 650 BRONZE V2 230V,62500.0,https://prod.danawa.com/info/?pcode=12400748&cate=112777,쿨러마스터,12400748,//img.danawa.com/prod_img/500000/748/400/img/12400748_1.jpg?shrink=330:*&_v=20210107134613,ATX 파워,650,80 PLUS 브론즈,,,,+12V 싱글레일,99.0,액티브PFC,,120.0,1,HDB/HYB,54,케이블일체형,140,24핀,8+4+4핀 1개,,4.0,,6,3.0,,32,12,59,5,202010,
쿨러마스터 V1300 SFX PLATINUM ATX 3.0 (PCIE5),459510.0,https://prod.danawa.com/info/?pcode=23792255&cate=112777,쿨러마스터,23792255,//img.danawa.com/prod_img/500000/255/792/img/23792255_1.jpg?shrink=330:*&_v=20230727165408,M-ATX(SFX) 파워,1300,80 PLUS 플레티넘,,,,+12V 싱글레일,,액티브PFC,,92.0,1,FDB(유체),108.3,풀모듈러,100,24핀,8+4+4핀 1개,1.0,3.0,,8,4.0,,0,2,63,10,202307,
Antec NeoECO 1300W 80PLUS GOLD 풀 모듈러 ATX 3.0 (PCIE5),285790.0,https://prod.danawa.com/info/?pcode=21587153&cate=112777,Antec,21587153,//img.danawa.com/prod_img/500000/153/587/img/21587153_1.jpg?shrink=330:*&_v=20230724111250,ATX 파워,1300,80 PLUS 골드,,,,+12V 싱글레일,99.0,액티브PFC,,120.0,1,FDB(유체),108,풀모듈러,140,24핀(20+4),8핀(4+4) 2개,1.0,4.0,,12,4.0,,59,14,639,10,202307,
마이크로닉스 Compact SFX 700W 80PLUS GOLD,139000.0,https://prod.danawa.com/info/?pcode=10759575&cate=112777,마이크로닉스,10759575,//img.danawa.com/prod_img/500000/575/759/img/10759575_1.jpg?shrink=330:*&_v=20220119161253,M-ATX(SFX) 파워,700,80 PLUS 골드,,,,+12V 싱글레일,,액티브PFC,,92.0,1,FDB(유체),58.4,풀모듈러,100,24핀(20+4),,,4.0,,6,3.0,,56,0,0,7,202003,
마이크로닉스 Compact TFX 400W 80Plus 230V EU,60916.0,https://prod.danawa.com/info/?pcode=16729655&cate=112777,마이크로닉스,16729655,//img.danawa.com/prod_img/500000/655/729/img/16729655_1.jpg?shrink=330:*&_v=20220412105152,TFX 파워,400,80 PLUS 스탠다드,,,0.5,+12V 싱글레일,100.0,액티브PFC,,80.0,1,HDB/HYB,33.4,케이블일체형,175,24핀,8핀(4+4) 1개,,2.0,,4,2.0,,8,6,43,3,202204,
앱코 SETTLER-II ST-700B ETA BRONZE,65000.0,https://prod.danawa.com/info/?pcode=19779095&cate=112777,앱코,19779095,//img.danawa.com/prod_img/500000/095/779/img/19779095_1.jpg?shrink=330:*&_v=20230519102751,ATX 파워,700,,BRONZE,STANDARD+,,+12V 싱글레일,100.0,액티브PFC,99.0,120.0,1,,58.33,케이블일체형,140,24핀(20+4),8+4+4핀 1개,,6.0,,7,3.0,,42,2,47,7,202304,
잘만 TeraMax II 850W 80PLUS Gold 풀모듈러 블랙 ATX 3.0 (PCIE5),149560.0,https://prod.danawa.com/info/?pcode=20662490&cate=112777,잘만,20662490,//img.danawa.com/prod_img/500000/490/662/img/20662490_1.jpg?shrink=330:*&_v=20230628145343,ATX 파워,850,80 PLUS 골드,PLATINUM,A-,,+12V 싱글레일,100.0,액티브PFC,99.0,120.0,1,FDB(유체),70.83,풀모듈러,140,24핀,8핀(4+4) 2개,1.0,4.0,,12,3.0,,56,6,63,10,202306,
시소닉 PRIME TITANIUM TX-1600 Full Modular ATX 3.0,892400.0,https://prod.danawa.com/info/?pcode=21193022&cate=112777,시소닉,21193022,//img.danawa.com/prod_img/500000/022/193/img/21193022_1.jpg?shrink=330:*&_v=20230705151737,ATX 파워,1600,80 PLUS 티타늄,,A-,,+12V 싱글레일,100.0,액티브PFC,99.0,135.0,1,FDB(유체),133.3,풀모듈러,210,24핀(20+4),8핀(4+4) 3개,2.0,6.0,,16,3.0,,23,4,383,12,202307,
앱코 XPERT XP-600N,42000.0,https://prod.danawa.com/info/?pcode=17337491&cate=112777,앱코,17337491,//img.danawa.com/prod_img/500000/491/337/img/17337491_1.jpg?shrink=330:*&_v=20220720082414,ATX 파워,600,,,,,+12V 싱글레일,90.0,액티브PFC,99.0,120.0,1,,41.1,케이블일체형,140,24핀(20+4),8핀(4+4) 1개,,2.0,,4,3.0,,10,2,46,3,202206,
