name,price,link,company,product_seq,image,cpu_socket,chipset,form_factor,memory_type,memory_number,memory_capacity,xmp,expo,sata3_number,m2_number,m2_interface,m2_formfactor,pcie_version,vga_connection,wireless_lan,wired_lan_speed,phase,graphic_output,back_panel,io_header,feature,reg_date,bookmark
GIGABYTE B650M K 제이씨현,170850,https://prod.danawa.com/info/?pcode=20324882&cate=112751,GIGABYTE,20324882,//img.danawa.com/prod_img/500000/882/324/img/20324882_1.jpg?shrink=330:*&_v=20230822111204,AMD(소켓AM5),AMD B650,M-ATX (24.4x24.4cm),DDR5,4,192,2.0,1.0,4,2,10,88,12,PCIe4.0 x16,0,25.0,11.0,6,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2 / BIOS 플래시백,11568,72,202305,
ASUS PRIME A320M-K 대원씨티에스,67780,https://prod.danawa.com/info/?pcode=7452181&cate=112751,ASUS PRIME,7452181,//img.danawa.com/prod_img/500000/181/452/img/7452181_1.jpg?shrink=330:*&_v=20220712091917,AMD(소켓AM4),AMD A320,M-ATX (22.6x22.1cm),DDR4,2,32,,,4,1,7,14,2,,0,10.0,6.0,18,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,0,64,201705,
ASUS PRIME A520M-A II 대원씨티에스,79860,https://prod.danawa.com/info/?pcode=16284179&cate=112751,ASUS,16284179,//img.danawa.com/prod_img/500000/179/284/img/16284179_1.jpg?shrink=330:*&_v=20220712091916,AMD(소켓AM4),AMD A520,M-ATX (24.4x24.4cm),DDR4,4,,,,4,1,7,14,6,PCIe3.0 x16,0,10.0,6.0,22,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,11312,64,202201,
ASUS PRIME H610M-K D4 인텍앤컴퍼니,98990,https://prod.danawa.com/info/?pcode=16083650&cate=112751,ASUS,16083650,//img.danawa.com/prod_img/500000/650/083/img/16083650_1.jpg?shrink=330:*&_v=20220711140908,인텔(소켓1700),인텔 H610,M-ATX (23.4x20.3cm),DDR4,2,64,1.0,,4,1,7,14,14,PCIe4.0 x16,0,10.0,,18,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,9264,64,202201,
MSI MAG B760M 박격포,212490,https://prod.danawa.com/info/?pcode=18652871&cate=112751,MSI,18652871,//img.danawa.com/prod_img/500000/871/652/img/18652871_1.jpg?shrink=330:*&_v=20230808173337,인텔(소켓1700),인텔 B760,M-ATX (24.4x24.4cm),DDR5,4,192,2.0,,4,2,11,14,28,PCIe5.0 x16,0,25.0,14.0,6,USB 3.2 / USB 3.1 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,3248,75,202301,
MSI MAG B760M 박격포 맥스 WIFI,243850,https://prod.danawa.com/info/?pcode=18652877&cate=112751,MSI,18652877,//img.danawa.com/prod_img/500000/877/652/img/18652877_1.jpg?shrink=330:*&_v=20230808173217,인텔(소켓1700),인텔 B760,M-ATX (24.4x24.4cm),DDR5,4,192,2.0,,6,2,11,14,28,PCIe5.0 x16,3,25.0,14.0,6,USB 3.2 / USB 3.1 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,3248,75,202301,
MSI MAG B650 토마호크 WIFI,414980,https://prod.danawa.com/info/?pcode=17971181&cate=112751,MSI,17971181,//img.danawa.com/prod_img/500000/181/971/img/17971181_1.jpg?shrink=330:*&_v=20230908100120,AMD(소켓AM5),AMD B650,ATX (30.5x24.4cm),DDR5,4,192,1.0,,6,3,10,12,12,PCIe4.0 x16,3,25.0,17.0,6,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,11440,75,202210,
ASUS TUF Gaming B650-PLUS 대원씨티에스,297430,https://prod.danawa.com/info/?pcode=18021581&cate=112751,ASUS,18021581,//img.danawa.com/prod_img/500000/581/021/img/18021581_1.jpg?shrink=330:*&_v=20230627163523,AMD(소켓AM5),AMD B650,ATX (30.5x24.4cm),DDR5,4,128,,1.0,4,3,26,46,12,PCIe4.0 x16,0,25.0,14.0,6,USB 3.2 / USB 3.1 / USB 2.0 / RJ-45 / 오디오잭,3380,75,202210,
ASRock B760M Pro RS D5 에즈윈,182700,https://prod.danawa.com/info/?pcode=19536062&cate=112751,ASRock,19536062,//img.danawa.com/prod_img/500000/062/536/img/19536062_1.jpg?shrink=330:*&_v=20230328143054,인텔(소켓1700),인텔 B760,M-ATX (24.4x24.4cm),DDR5,4,192,2.0,,4,3,10,14,20,PCIe5.0 x16,4,25.0,9.0,6,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,11569,91,202303,
GIGABYTE B760M AORUS ELITE 제이씨현,209000,https://prod.danawa.com/info/?pcode=18649997&cate=112751,GIGABYTE,18649997,//img.danawa.com/prod_img/500000/997/649/img/18649997_1.jpg?shrink=330:*&_v=20230608153504,인텔(소켓1700),인텔 B760,M-ATX (24.4x24.4cm),DDR5,4,128,2.0,,4,2,10,40,8,PCIe4.0 x16,0,25.0,14.0,6,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,3248,91,202301,
ASUS TUF Gaming B550M-PLUS STCOM,136750,https://prod.danawa.com/info/?pcode=11571368&cate=112751,ASUS,11571368,//img.danawa.com/prod_img/500000/368/571/img/11571368_1.jpg?shrink=330:*&_v=20230627160321,AMD(소켓AM4),AMD B550,M-ATX (24.4x24.4cm),DDR4,4,128,,,4,2,7,46,12,PCIe4.0 x16,0,25.0,10.0,6,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭 / PS/2,11312,90,202006,
MSI MAG B660M 박격포 DDR4,168000,https://prod.danawa.com/info/?pcode=16089002&cate=112751,MSI,16089002,//img.danawa.com/prod_img/500000/002/089/img/16089002_1.jpg?shrink=330:*&_v=20220615170910,인텔(소켓1700),인텔 B660,M-ATX (24.4x24.4cm),DDR4,4,128,1.0,,6,2,15,14,14,PCIe4.0 x16,0,25.0,14.0,6,USB 3.2 / USB 3.1 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,11440,74,202201,
MSI MAG B650M 박격포 WIFI,268000,https://prod.danawa.com/info/?pcode=17971187&cate=112751,MSI,17971187,//img.danawa.com/prod_img/500000/187/971/img/17971187_1.jpg?shrink=330:*&_v=20230908100201,AMD(소켓AM5),AMD B650,M-ATX (24.4x24.4cm),DDR5,4,192,1.0,,6,2,10,12,12,PCIe4.0 x16,3,25.0,15.0,6,USB 3.2 / USB 3.1 / USB 3.0 / RJ-45 / S/PDIF / 오디오잭,11440,75,202210,
ASUS PRIME B660M-K D4 인텍앤컴퍼니,130490,https://prod.danawa.com/info/?pcode=16084070&cate=112751,ASUS,16084070,//img.danawa.com/prod_img/500000/070/084/img/16084070_1.jpg?shrink=330:*&_v=20220325142040,인텔(소켓1700),인텔 B660,M-ATX (24.4x21.1cm),DDR4,2,64,1.0,,4,2,14,14,14,PCIe4.0 x16,0,10.0,8.0,18,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,9264,64,202201,
GIGABYTE Z790 AORUS ELITE 피씨디렉트,351870,https://prod.danawa.com/info/?pcode=18060350&cate=112751,GIGABYTE,18060350,//img.danawa.com/prod_img/500000/350/060/img/18060350_1.jpg?shrink=330:*&_v=20230627163507,인텔(소켓1700),인텔 Z790,ATX (30.5x24.4cm),DDR5,4,128,1.0,,6,4,11,40,28,PCIe5.0 x16,0,25.0,19.0,6,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,11440,75,202210,
BIOSTAR A520MT 이엠텍,65740,https://prod.danawa.com/info/?pcode=20593100&cate=112751,BIOSTAR,20593100,//img.danawa.com/prod_img/500000/100/593/img/20593100_1.jpg?shrink=330:*&_v=20230619144635,AMD(소켓AM4),AMD A520,M-ATX (23.5x20.8cm),DDR4,2,64,,,4,1,6,14,4,PCIe3.0 x16,0,10.0,,6,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭,8464,64,202306,
ASUS TUF Gaming B450M-PRO II 대원씨티에스,105890,https://prod.danawa.com/info/?pcode=18357167&cate=112751,ASUS,18357167,//img.danawa.com/prod_img/500000/167/357/img/18357167_1.jpg?shrink=330:*&_v=20221123100147,AMD(소켓AM4),AMD B450,M-ATX (24.4x24.4cm),DDR4,4,128,,,6,2,7,14,6,PCIe3.0 x16,0,10.0,,6,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,10288,81,202011,
GIGABYTE B650M K 피씨디렉트,166690,https://prod.danawa.com/info/?pcode=21727307&cate=112751,GIGABYTE,21727307,//img.danawa.com/prod_img/500000/307/727/img/21727307_1.jpg?shrink=330:*&_v=20230913155524,AMD(소켓AM5),AMD B650,M-ATX (24.4x24.4cm),DDR5,4,192,2.0,1.0,4,2,8,88,12,PCIe4.0 x16,0,25.0,11.0,6,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2 / BIOS 플래시백,11568,72,202307,
ASUS TUF Gaming B760M-PLUS 코잇,224770,https://prod.danawa.com/info/?pcode=19628207&cate=112751,ASUS,19628207,//img.danawa.com/prod_img/500000/207/628/img/19628207_1.jpg?shrink=330:*&_v=20230404171724,인텔(소켓1700),인텔 B760,M-ATX (24.4x24.4cm),DDR5,4,128,1.0,,4,2,10,14,24,PCIe5.0 x16,0,25.0,13.0,6,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,3252,75,202304,
MSI PRO B650M-A WIFI,212990,https://prod.danawa.com/info/?pcode=17971184&cate=112751,MSI,17971184,//img.danawa.com/prod_img/500000/184/971/img/17971184_1.jpg?shrink=330:*&_v=20230908100246,AMD(소켓AM5),AMD B650,M-ATX (24.4x24.4cm),DDR5,4,192,1.0,,4,2,10,12,12,PCIe4.0 x16,3,25.0,8.0,6,USB 3.1 / USB 3.0 / RJ-45 / 오디오잭,11440,75,202210,
BIOSTAR H610MH D4 이엠텍,86890,https://prod.danawa.com/info/?pcode=16301447&cate=112751,BIOSTAR,16301447,//img.danawa.com/prod_img/500000/447/301/img/16301447_1.jpg?shrink=330:*&_v=20230421105251,인텔(소켓1700),인텔 H610,M-ATX (23.6x20.8cm),DDR4,2,64,1.0,,4,1,7,14,14,PCIe4.0 x16,0,10.0,10.0,18,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,8240,0,202201,
ASRock B650M Pro RS 디앤디컴,206470,https://prod.danawa.com/info/?pcode=20391572&cate=112751,ASRock,20391572,//img.danawa.com/prod_img/500000/572/391/img/20391572_1.jpg?shrink=330:*&_v=20230901155855,AMD(소켓AM5),AMD B650,M-ATX (24.4x24.4cm),DDR5,4,192,1.0,1.0,4,3,26,12,12,PCIe4.0 x16,4,25.0,11.0,6,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / BIOS 플래시백,11633,91,202306,
GIGABYTE B550M AORUS ELITE 제이씨현,121040,https://prod.danawa.com/info/?pcode=11684576&cate=112751,GIGABYTE,11684576,//img.danawa.com/prod_img/500000/576/684/img/11684576_1.jpg?shrink=330:*&_v=20221025101735,AMD(소켓AM4),AMD B550,M-ATX (24.4x24.4cm),DDR4,4,128,1.0,,4,2,7,46,12,PCIe4.0 x16,0,10.0,8.0,10,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,11312,64,202006,
BIOSTAR B760MZ-E PRO D5 이엠텍,141750,https://prod.danawa.com/info/?pcode=19177262&cate=112751,BIOSTAR,19177262,//img.danawa.com/prod_img/500000/262/177/img/19177262_1.jpg?shrink=330:*&_v=20230808105026,인텔(소켓1700),인텔 B760,M-ATX (24.4x24.4cm),DDR5,4,192,1.0,,4,2,10,14,12,PCIe4.0 x16,4,25.0,,30,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,11440,65,202302,
ASRock B650M-HDV/M.2 대원씨티에스,164120,https://prod.danawa.com/info/?pcode=19627259&cate=112751,ASRock,19627259,//img.danawa.com/prod_img/500000/259/627/img/19627259_1.jpg?shrink=330:*&_v=20230405093519,AMD(소켓AM5),AMD B650,M-ATX (24.4x22.6cm),DDR5,2,64,1.0,1.0,4,2,26,12,8,PCIe4.0 x16,4,25.0,11.0,6,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭,8369,77,202303,
ASRock B760M Pro RS D5 디앤디컴,179000,https://prod.danawa.com/info/?pcode=19498640&cate=112751,ASRock,19498640,//img.danawa.com/prod_img/500000/640/498/img/19498640_1.jpg?shrink=330:*&_v=20230502140623,인텔(소켓1700),인텔 B760,M-ATX (24.4x24.4cm),DDR5,4,192,2.0,,4,3,10,14,20,PCIe5.0 x16,4,25.0,9.0,6,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,11569,91,202303,
MSI A520M-A PRO,77990,https://prod.danawa.com/info/?pcode=12067598&cate=112751,MSI,12067598,//img.danawa.com/prod_img/500000/598/067/img/12067598_1.jpg?shrink=330:*&_v=20210804165604,AMD(소켓AM4),AMD A520,M-ATX (23.6x20cm),DDR4,2,64,1.0,,4,1,7,14,6,PCIe3.0 x16,0,10.0,,10,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,8240,64,202008,
GIGABYTE B760M AORUS ELITE 피씨디렉트,205590,https://prod.danawa.com/info/?pcode=18651431&cate=112751,GIGABYTE,18651431,//img.danawa.com/prod_img/500000/431/651/img/18651431_1.jpg?shrink=330:*&_v=20230103230003,인텔(소켓1700),인텔 B760,M-ATX (24.4x24.4cm),DDR5,4,128,2.0,,4,2,10,40,8,PCIe4.0 x16,0,25.0,14.0,6,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,3248,91,202301,
ASRock B550M Pro SE 에즈윈,126510,https://prod.danawa.com/info/?pcode=27915716&cate=112751,ASRock,27915716,//img.danawa.com/prod_img/500000/716/915/img/27915716_1.jpg?shrink=330:*&_v=20230908143829,AMD(소켓AM4),AMD B550,M-ATX (24.4x24.4cm),DDR4,4,128,1.0,,4,2,15,8,12,PCIe4.0 x16,0,25.0,8.0,6,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,11312,96,202308,
ASRock X670E 스틸레전드 대원씨티에스,409450,https://prod.danawa.com/info/?pcode=17926766&cate=112751,ASRock,17926766,//img.danawa.com/prod_img/500000/766/926/img/17926766_1.jpg?shrink=330:*&_v=20230316142424,AMD(소켓AM5),AMD X670E,ATX (30.5x24.4cm),DDR5,4,128,1.0,1.0,4,4,26,15,20,PCIe5.0 x16,3,25.0,19.0,6,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,11377,92,202209,
ASUS ROG MAXIMUS Z790 HERO STCOM,976000,https://prod.danawa.com/info/?pcode=18059849&cate=112751,ASUS,18059849,//img.danawa.com/prod_img/500000/849/059/img/18059849_1.jpg?shrink=330:*&_v=20221028132622,인텔(소켓1700),인텔 Z790,ATX (30.5x24.4cm),DDR5,4,128,1.0,,6,3,11,46,24,PCIe5.0 x16,3,25.0,21.0,3,USB 3.1 / USB 3.0 / 썬더볼트4 / RJ-45 / S/PDIF / 오디오잭,3184,89,202210,
ASRock X670E PG Lightning 대원씨티에스,329080,https://prod.danawa.com/info/?pcode=17926763&cate=112751,ASRock,17926763,//img.danawa.com/prod_img/500000/763/926/img/17926763_1.jpg?shrink=330:*&_v=20220927224740,AMD(소켓AM5),AMD X670E,ATX (30.5x24.4cm),DDR5,4,128,1.0,1.0,4,4,31,12,24,PCIe5.0 x16,4,25.0,17.0,6,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45,11377,76,202209,
MSI MAG B660M 박격포 WIFI DDR4,188900,https://prod.danawa.com/info/?pcode=16088780&cate=112751,MSI,16088780,//img.danawa.com/prod_img/500000/780/088/img/16088780_1.jpg?shrink=330:*&_v=20221026093406,인텔(소켓1700),인텔 B660,M-ATX (24.4x24.4cm),DDR4,4,128,1.0,,6,2,15,14,14,PCIe4.0 x16,3,25.0,14.0,6,USB 3.2 / USB 3.1 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,11440,74,202201,
ASRock B550M Phantom Gaming 4 에즈윈,104120,https://prod.danawa.com/info/?pcode=12464213&cate=112751,ASRock,12464213,//img.danawa.com/prod_img/500000/213/464/img/12464213_1.jpg?shrink=330:*&_v=20210730152158,AMD(소켓AM4),AMD B550,M-ATX (24.4x24.4cm),DDR4,4,128,1.0,,4,2,7,8,12,PCIe4.0 x16,0,10.0,8.0,6,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,11312,64,202010,
ASUS TUF Gaming Z790-PLUS WIFI 인텍앤컴퍼니,439000,https://prod.danawa.com/info/?pcode=18599705&cate=112751,ASUS,18599705,//img.danawa.com/prod_img/500000/705/599/img/18599705_1.jpg?shrink=330:*&_v=20221228090504,인텔(소켓1700),인텔 Z790,ATX (30.5x24.4cm),DDR5,4,128,1.0,,4,4,11,46,28,PCIe5.0 x16,3,25.0,17.0,6,USB 3.2 / USB 3.1 / USB 3.0 / RJ-45 / S/PDIF / 오디오잭,3252,91,202212,
GIGABYTE A620M GAMING X 제이씨현,166900,https://prod.danawa.com/info/?pcode=19673600&cate=112751,GIGABYTE,19673600,//img.danawa.com/prod_img/500000/600/673/img/19673600_1.jpg?shrink=330:*&_v=20230411132528,AMD(소켓AM5),AMD A620,M-ATX (24.4x24.4cm),DDR5,4,128,1.0,1.0,4,1,10,16,12,PCIe4.0 x16,0,10.0,11.0,6,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,11568,73,202304,
GIGABYTE Z790 AORUS ELITE AX-W 피씨디렉트,401690,https://prod.danawa.com/info/?pcode=19919207&cate=112751,GIGABYTE,19919207,//img.danawa.com/prod_img/500000/207/919/img/19919207_1.jpg?shrink=330:*&_v=20230425095845,인텔(소켓1700),인텔 Z790,ATX (30.5x24.4cm),DDR5,4,128,1.0,,6,4,10,40,28,PCIe5.0 x16,3,25.0,19.0,6,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭 / 클리어CMOS,11696,93,202304,
GIGABYTE B760M DS3H D4 피씨디렉트,144780,https://prod.danawa.com/info/?pcode=18651560&cate=112751,GIGABYTE,18651560,//img.danawa.com/prod_img/500000/560/651/img/18651560_1.jpg?shrink=330:*&_v=20230117154337,인텔(소켓1700),인텔 B760,M-ATX (24.4x24.4cm),DDR4,4,128,2.0,,4,2,10,8,12,PCIe4.0 x16,0,25.0,9.0,22,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,11312,73,202301,
MSI MAG B660M 박격포,177990,https://prod.danawa.com/info/?pcode=16427084&cate=112751,MSI,16427084,//img.danawa.com/prod_img/500000/084/427/img/16427084_1.jpg?shrink=330:*&_v=20220217164822,인텔(소켓1700),인텔 B660,M-ATX (24.4x24.4cm),DDR5,4,128,2.0,,6,2,15,14,14,PCIe4.0 x16,0,25.0,14.0,6,USB 3.2 / USB 3.1 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,11440,74,202202,
GIGABYTE A620M S2H 제이씨현,124040,https://prod.danawa.com/info/?pcode=20238110&cate=112751,GIGABYTE,20238110,//img.danawa.com/prod_img/500000/110/238/img/20238110_1.jpg?shrink=330:*&_v=20230519090859,AMD(소켓AM5),AMD A620,M-ATX (23x22.5cm),DDR5,2,96,1.0,1.0,4,1,10,16,12,PCIe4.0 x16,0,10.0,9.0,22,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2 / BIOS 플래시백,11312,64,202305,
ASUS TUF Gaming B550-PLUS 대원씨티에스 (무지박스),152680,https://prod.danawa.com/info/?pcode=20608010&cate=112751,ASUS,20608010,//img.danawa.com/prod_img/500000/010/608/img/20608010_1.jpg?shrink=330:*&_v=20230620131306,AMD(소켓AM4),AMD B550,ATX (30.5x24.4cm),DDR4,4,128,,,6,2,7,46,12,PCIe4.0 x16,0,25.0,10.0,6,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,11314,90,202306,
MSI MAG B760 토마호크 WIFI,267990,https://prod.danawa.com/info/?pcode=18652865&cate=112751,MSI,18652865,//img.danawa.com/prod_img/500000/865/652/img/18652865_1.jpg?shrink=330:*&_v=20230808173426,인텔(소켓1700),인텔 B760,ATX (30.5x24.4cm),DDR5,4,192,2.0,,4,3,11,46,28,PCIe5.0 x16,3,25.0,14.0,6,USB 3.2 / USB 3.1 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,3248,75,202301,
GIGABYTE B650M AORUS ELITE 피씨디렉트,243080,https://prod.danawa.com/info/?pcode=18165161&cate=112751,GIGABYTE,18165161,//img.danawa.com/prod_img/500000/161/165/img/18165161_1.jpg?shrink=330:*&_v=20230913155254,AMD(소켓AM5),AMD B650,M-ATX (24.4x24.4cm),DDR5,4,192,1.0,1.0,4,2,26,72,8,PCIe4.0 x16,0,25.0,15.0,6,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,11380,93,202210,
MSI B550M PRO-VDH WIFI,129000,https://prod.danawa.com/info/?pcode=18036947&cate=112751,MSI,18036947,//img.danawa.com/prod_img/500000/947/036/img/18036947_1.jpg?shrink=330:*&_v=20221019093504,AMD(소켓AM4),AMD B550,M-ATX (24.4x24.4cm),DDR4,4,128,1.0,,4,2,15,14,12,PCIe4.0 x16,3,10.0,,22,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,11568,73,202210,
ASUS PRIME A520M-K 대원씨티에스,75700,https://prod.danawa.com/info/?pcode=12069566&cate=112751,ASUS,12069566,//img.danawa.com/prod_img/500000/566/069/img/12069566_1.jpg?shrink=330:*&_v=20220712091916,AMD(소켓AM4),AMD A520,M-ATX (22.6x22.1cm),DDR4,2,64,,,4,1,7,14,4,PCIe3.0 x16,0,10.0,6.0,18,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,8240,64,202008,
GIGABYTE B650M AORUS ELITE AX 피씨디렉트,270960,https://prod.danawa.com/info/?pcode=18113015&cate=112751,GIGABYTE,18113015,//img.danawa.com/prod_img/500000/015/113/img/18113015_1.jpg?shrink=330:*&_v=20221026162145,AMD(소켓AM5),AMD B650,M-ATX (24.4x24.4cm),DDR5,4,128,1.0,1.0,4,2,26,104,8,PCIe4.0 x16,3,25.0,15.0,6,USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,11380,89,202210,
MSI MPG B650 카본 WIFI,378900,https://prod.danawa.com/info/?pcode=17971178&cate=112751,MSI,17971178,//img.danawa.com/prod_img/500000/178/971/img/17971178_1.jpg?shrink=330:*&_v=20230908095857,AMD(소켓AM5),AMD B650,ATX (30.5x24.4cm),DDR5,4,192,,1.0,6,4,26,44,12,PCIe4.0 x16,3,25.0,19.0,6,USB 3.2 / USB 3.1 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,11440,91,202210,
ASUS ROG STRIX B650E-I GAMING WIFI STCOM,398000,https://prod.danawa.com/info/?pcode=18376385&cate=112751,ASUS,18376385,//img.danawa.com/prod_img/500000/385/376/img/18376385_1.jpg?shrink=330:*&_v=20221201100226,AMD(소켓AM5),AMD B650E,M-iTX (17.0x17.0cm),DDR5,2,64,,1.0,2,2,26,14,16,PCIe5.0 x16,3,25.0,12.0,3,USB 3.2 / USB 3.1 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,3128,73,202211,
GIGABYTE X670 AORUS ELITE AX 피씨디렉트,405030,https://prod.danawa.com/info/?pcode=17926655&cate=112751,GIGABYTE,17926655,//img.danawa.com/prod_img/500000/655/926/img/17926655_1.jpg?shrink=330:*&_v=20221025100615,AMD(소켓AM5),AMD X670,ATX (30.5x24.4cm),DDR5,4,128,1.0,1.0,4,4,26,104,12,PCIe4.0 x16,3,25.0,20.0,2,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / 오디오잭,11380,76,202209,
GIGABYTE H610M H V2 D4 피씨디렉트,98120,https://prod.danawa.com/info/?pcode=20119583&cate=112751,GIGABYTE,20119583,//img.danawa.com/prod_img/500000/583/119/img/20119583_1.jpg?shrink=330:*&_v=20230511094427,인텔(소켓1700),인텔 H610,M-ATX (23.0x21.5cm),DDR4,2,64,1.0,,4,1,6,12,12,PCIe4.0 x16,0,10.0,8.0,18,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,8240,64,202305,
ASUS ROG CROSSHAIR X670E HERO STCOM,1034660,https://prod.danawa.com/info/?pcode=13147263&cate=112751,ASUS,13147263,//img.danawa.com/prod_img/500000/263/147/img/13147263_1.jpg?shrink=330:*&_v=20221025100333,AMD(소켓AM5),AMD X670E,ATX (30.5x24.4cm),DDR5,4,128,,1.0,6,5,26,46,24,PCIe5.0 x16,3,25.0,20.0,3,USB4 / USB 3.2 / USB 3.1 / RJ-45 / S/PDIF / 오디오잭,3184,88,202209,
ASUS PRIME H610M-CS D4 코잇,91980,https://prod.danawa.com/info/?pcode=20344700&cate=112751,ASUS,20344700,//img.danawa.com/prod_img/500000/700/344/img/20344700_1.jpg?shrink=330:*&_v=20230530101006,인텔(소켓1700),인텔 H610,M-ATX (22.6x19.3cm),DDR4,2,64,1.0,,4,1,6,0,12,PCIe4.0 x16,0,10.0,,18,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,8192,64,202305,
ASRock A620M-HDV/M.2+ 디앤디컴,138573,https://prod.danawa.com/info/?pcode=19827572&cate=112751,ASRock,19827572,//img.danawa.com/prod_img/500000/572/827/img/19827572_1.jpg?shrink=330:*&_v=20230831163210,AMD(소켓AM5),AMD A620,M-ATX (24.4x22.6cm),DDR5,2,96,1.0,1.0,4,2,10,12,12,PCIe4.0 x16,4,10.0,8.0,6,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭,8240,67,202304,
ASUS TUF Gaming B650-PLUS WIFI 대원씨티에스,326890,https://prod.danawa.com/info/?pcode=18021662&cate=112751,ASUS,18021662,//img.danawa.com/prod_img/500000/662/021/img/18021662_1.jpg?shrink=330:*&_v=20221018140900,AMD(소켓AM5),AMD B650,ATX (30.5x24.4cm),DDR5,4,128,,1.0,4,3,26,46,12,PCIe4.0 x16,3,25.0,14.0,6,USB 3.2 / USB 3.1 / USB 2.0 / RJ-45 / 오디오잭,3380,75,202210,
NZXT N7 B650E Matte White,491280,https://prod.danawa.com/info/?pcode=18976055&cate=112751,NZXT,18976055,//img.danawa.com/prod_img/500000/055/976/img/18976055_1.jpg?shrink=330:*&_v=20230224155940,AMD(소켓AM5),AMD B650E,ATX (30.5x24.4cm),DDR5,4,128,1.0,1.0,4,3,26,14,24,PCIe5.0 x16,3,25.0,19.0,2,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,2160,67,202302,
MSI MPG Z790 엣지 WIFI,525490,https://prod.danawa.com/info/?pcode=18167522&cate=112751,MSI,18167522,//img.danawa.com/prod_img/500000/522/167/img/18167522_1.jpg?shrink=330:*&_v=20230808170918,인텔(소켓1700),인텔 Z790,ATX (30.5x24.4cm),DDR5,4,192,2.0,,7,5,11,46,28,PCIe5.0 x16,3,25.0,18.0,6,USB 3.2 / USB 3.1 / USB 3.0 / RJ-45 / S/PDIF / 오디오잭,11440,91,202211,
