name,price,link,company,product_seq,image,cpu_socket,chipset,form_factor,memory_type,memory_number,memory_capacity,xmp,expo,sata3_number,m2_number,m2_interface,m2_formfactor,pcie_version,vga_connection,wireless_lan,wired_lan_speed,phase,graphic_output,back_panel,io_header,feature,reg_date,bookmark
GIGABYTE H610M H V2 D4 제이씨현,103580,https://prod.danawa.com/info/?pcode=20462924&cate=112751,GIGABYTE,20462924,//img.danawa.com/prod_img/500000/924/462/img/20462924_1.jpg?shrink=330:*&_v=20230608111241,인텔(소켓1700),인텔 H610,M-ATX (23.0x21.5cm),DDR4,2,64,1.0,,4,1,6,12,12,PCIe4.0 x16,0,10.0,8.0,18,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,8240,64,202306,
ASUS ROG STRIX X670E-E GAMING WIFI STCOM,765980,https://prod.danawa.com/info/?pcode=13158384&cate=112751,ASUS,13158384,//img.danawa.com/prod_img/500000/384/158/img/13158384_1.jpg?shrink=330:*&_v=20220930135502,AMD(소켓AM5),AMD X670E,ATX (30.5x24.4cm),DDR5,4,128,,1.0,4,4,26,14,16,PCIe5.0 x16,3,25.0,20.0,6,USB 3.2 / USB 3.1 / RJ-45 / S/PDIF / 오디오잭,3188,88,202209,
ASUS TUF Gaming B660M-PLUS WIFI D4 STCOM,232270,https://prod.danawa.com/info/?pcode=16102988&cate=112751,ASUS,16102988,//img.danawa.com/prod_img/500000/988/102/img/16102988_1.jpg?shrink=330:*&_v=20220127204821,인텔(소켓1700),인텔 B660,M-ATX (24.4x24.4cm),DDR4,4,128,1.0,,4,2,14,14,30,PCIe5.0 x16,3,25.0,11.0,6,USB 3.2 / USB 3.1 / USB 3.0 / USB 2.0 / RJ-45 / S/PDIF / 오디오잭,3377,90,202201,
ASUS PRIME H510M-K R2.0 인텍앤컴퍼니,90770,https://prod.danawa.com/info/?pcode=20027564&cate=112751,ASUS,20027564,//img.danawa.com/prod_img/500000/564/027/img/20027564_1.jpg?shrink=330:*&_v=20230504180941,인텔(소켓1200),인텔 H470,M-ATX (22.6x20.3cm),DDR4,2,64,1.0,,4,1,7,14,12,PCIe4.0 x16,0,10.0,,18,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,9264,64,202305,
GIGABYTE A520M S2H 듀러블에디션 제이씨현,84810,https://prod.danawa.com/info/?pcode=12077093&cate=112751,GIGABYTE,12077093,//img.danawa.com/prod_img/500000/093/077/img/12077093_1.jpg?shrink=330:*&_v=20210929150959,AMD(소켓AM4),AMD A520,M-ATX (24.4x20.5cm),DDR4,2,64,1.0,,4,1,7,46,4,PCIe3.0 x16,0,10.0,7.0,26,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,11312,64,202008,
ASUS PRIME A620M-E 대원씨티에스,125710,https://prod.danawa.com/info/?pcode=21400361&cate=112751,ASUS,21400361,//img.danawa.com/prod_img/500000/361/400/img/21400361_1.jpg?shrink=330:*&_v=20230706173306,AMD(소켓AM5),AMD A620,M-ATX (22.6x22.1cm),DDR5,2,96,,1.0,4,1,10,14,12,PCIe4.0 x16,0,10.0,,22,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,11312,64,202307,
ASRock Z790 Taichi D5 에즈윈,860760,https://prod.danawa.com/info/?pcode=18052667&cate=112751,ASRock,18052667,//img.danawa.com/prod_img/500000/667/052/img/18052667_1.jpg?shrink=330:*&_v=20230817161927,인텔(소켓1700),인텔 Z790,E-ATX (30.5x26.7cm),DDR5,4,128,2.0,,8,5,26,12,24,PCIe5.0 x16,3,25.0,27.0,3,USB 3.1 / USB 3.0 / USB 2.0 / 썬더볼트4 / RJ-45 / S/PDIF / 오디오잭,11376,93,202210,
ASUS PRO WS WRX80E-SAGE SE WIFI 대원씨티에스,1277340,https://prod.danawa.com/info/?pcode=13562387&cate=112751,ASUS,13562387,//img.danawa.com/prod_img/500000/387/562/img/13562387_1.jpg?shrink=330:*&_v=20230801172107,AMD(소켓sWRX8),AMD WRX80,E-ATX (30.98x33.02cm),DDR4,8,2048,,,8,3,15,46,12,PCIe4.0 x16,3,100.0,16.0,0,USB 3.2 / USB 3.1 / RJ-45 / S/PDIF / 오디오잭,8368,64,202103,
ASRock A620M Pro RS WIFI 에즈윈,190837,https://prod.danawa.com/info/?pcode=20471945&cate=112751,ASRock,20471945,//img.danawa.com/prod_img/500000/945/471/img/20471945_1.jpg?shrink=330:*&_v=20230608171653,AMD(소켓AM5),AMD A620,M-ATX (24.4x24.4cm),DDR5,4,128,1.0,1.0,4,3,14,12,8,PCIe4.0 x16,3,10.0,9.0,6,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / BIOS 플래시백,11568,91,202306,
ASUS TUF Gaming A620M-PLUS WIFI 대원씨티에스,181370,https://prod.danawa.com/info/?pcode=19927037&cate=112751,ASUS,19927037,//img.danawa.com/prod_img/500000/037/927/img/19927037_1.jpg?shrink=330:*&_v=20230425150540,AMD(소켓AM5),AMD A620,M-ATX (24.4x24.4cm),DDR5,4,128,,1.0,4,2,10,14,12,PCIe4.0 x16,3,25.0,,6,USB 3.0 / USB 2.0 / RJ-45 / 오디오잭 / PS/2,3376,65,202304,
