name,price,link,company,product_seq,image,category,cooling_type,aircool_form,tdp,intel_socket,amd_socket,fan_size,fan_count,airflow,noise,width,length,height,radiator,radiator_length,radiator_thickness,hose_length,feature,as_years,reg_date,bookmark
ID-COOLING SE-214 WHITE,17140.0,https://prod.danawa.com/info/?pcode=12888875&cate=11236855,ID-COOLING,12888875,//img.danawa.com/prod_img/500000/875/888/img/12888875_1.jpg?shrink=330:*&_v=20201210151338,CPU 쿨러,0.0,0.0,130,1030,6,120,1,74.5,35,123.0,,160,,,,,3,,202012,
DYNATRON R14,66580.0,https://prod.danawa.com/info/?pcode=5759605&cate=11236855,DYNATRON,5759605,//img.danawa.com/prod_img/500000/605/759/img/5759605_1.jpg?shrink=330:*&_v=20230614134534,CPU 쿨러,0.0,,150,256,0,60,,40.5,47.5,,,67,,,,,2,,201712,
써멀테이크 TOUGHFAN 12 라디에이터 팬 (1PACK),24651.0,https://prod.danawa.com/info/?pcode=14163620&cate=11236855,써멀테이크,14163620,//img.danawa.com/prod_img/500000/620/163/img/14163620_1.jpg?shrink=330:*&_v=20220801095236,시스템 쿨러,,,,0,0,120,1,58.35,22.3,,,,,,,,2,2,202105,
DYNATRON Q3,66610.0,https://prod.danawa.com/info/?pcode=16593566&cate=11236855,DYNATRON,16593566,//img.danawa.com/prod_img/500000/566/593/img/16593566_1.jpg?shrink=330:*&_v=20220315135117,CPU 쿨러,0.0,,,1,0,80,,22.28,59.1,,,28,,,,,2,,202203,
NOCTUA NH-L9i,72860.0,https://prod.danawa.com/info/?pcode=1827552&cate=11236855,NOCTUA,1827552,//img.danawa.com/prod_img/500000/552/827/img/1827552_1.jpg?shrink=330:*&_v=20210830102435,CPU 쿨러,0.0,3.0,,6,0,92,1,,23.6,,,37,,,,,0,,201210,
DYNATRON S6,70610.0,https://prod.danawa.com/info/?pcode=16311743&cate=11236855,DYNATRON,16311743,//img.danawa.com/prod_img/500000/743/311/img/16311743_1.jpg?shrink=330:*&_v=20230605175335,CPU 쿨러,0.0,,300,8,0,60,,76.95,50.9,82.0,,110,,,,,2,,202202,
EVERCOOL EC14025SL12SA (140mm 25T/S/3P/RoHS),4900.0,https://prod.danawa.com/info/?pcode=923006&cate=11236855,EVERCOOL,923006,//img.danawa.com/prod_img/500000/006/923/img/923006_1.jpg?shrink=330:*&_v=20211119143948,시스템 쿨러,,,,0,0,140,1,,,,,,,,,,0,,200908,
써멀테이크 SWAFAN EX12 RGB 라디에이터 팬 White TT 프리미엄 에디션 (3PACK/Controller),146880.0,https://prod.danawa.com/info/?pcode=19619156&cate=11236855,써멀테이크,19619156,//img.danawa.com/prod_img/500000/156/619/img/19619156_1.jpg?shrink=330:*&_v=20230405110532,시스템 쿨러,,,,0,0,120,3,57.11,30.6,,,,,,,,9,2,202304,
EVERCOOL COOLMARKER CM-11590,3620.0,https://prod.danawa.com/info/?pcode=20055575&cate=11236855,EVERCOOL,20055575,//img.danawa.com/prod_img/500000/575/055/img/20055575_1.jpg?shrink=330:*&_v=20230508145117,CPU 쿨러,0.0,2.0,65,6,0,,1,38,23,95.0,,50,,,,,0,,202305,
EVERCOOL COOLMARKER CM-M.2 방열판 쿨러,4660.0,https://prod.danawa.com/info/?pcode=13830725&cate=11236855,EVERCOOL,13830725,//img.danawa.com/prod_img/500000/725/830/img/13830725_1.jpg?shrink=330:*&_v=20210407145739,M.2 SSD 쿨러,,,,0,0,,,,,73.5,23.5,,,,,,0,,202104,
에너맥스 T.B.SILENCE ADV UCTBA14P,17590.0,https://prod.danawa.com/info/?pcode=9211599&cate=11236855,에너맥스,9211599,//img.danawa.com/prod_img/500000/599/211/img/9211599_1.jpg?shrink=330:*&_v=20200727133637,시스템 쿨러,,,,0,0,140,1,66.57,14.9,,,,,,,,2,,201908,
CORSAIR AF120 SLIM BLACK (1PACK),34440.0,https://prod.danawa.com/info/?pcode=17658650&cate=11236855,CORSAIR,17658650,//img.danawa.com/prod_img/500000/650/658/img/17658650_1.jpg?shrink=330:*&_v=20221107155752,시스템 쿨러,,,,0,0,120,1,56.3,27.5,,,,,,,,2,3,202208,
써멀테이크 TH240 ARGB Sync Snow,115730.0,https://prod.danawa.com/info/?pcode=12712919&cate=11236855,써멀테이크,12712919,//img.danawa.com/prod_img/500000/919/712/img/12712919_1.jpg?shrink=330:*&_v=20230321173505,CPU 쿨러,1.0,,,7,7,120,2,,28.2,,,,2.0,273,27,400,5,6,202011,
에너맥스 HF120 ARGB (3PACK),37690.0,https://prod.danawa.com/info/?pcode=17456579&cate=11236855,에너맥스,17456579,//img.danawa.com/prod_img/500000/579/456/img/17456579_1.jpg?shrink=330:*&_v=20220718165754,시스템 쿨러,,,,0,0,120,3,72.1,27,,,,,,,,7,1,202207,
조이쿨 RGB-4PIPE90 V2,16000.0,https://prod.danawa.com/info/?pcode=17007479&cate=11236855,조이쿨,17007479,//img.danawa.com/prod_img/500000/479/007/img/17007479_1.jpg?shrink=330:*&_v=20220509172348,CPU 쿨러,0.0,2.0,100,1031,6,90,1,50,19,110.0,,80,,,,,1,,202205,
써멀테이크 UX200 ARGB Lighting,33500.0,https://prod.danawa.com/info/?pcode=9364272&cate=11236855,써멀테이크,9364272,//img.danawa.com/prod_img/500000/272/364/img/9364272_1.jpg?shrink=330:*&_v=20230605152044,CPU 쿨러,0.0,0.0,130,1031,7,120,1,43.34,26.3,127.0,,153.5,,,,,0,,201908,
에너맥스 D.F PRESSURE UCDFP12P,16190.0,https://prod.danawa.com/info/?pcode=4033323&cate=11236855,에너맥스,4033323,//img.danawa.com/prod_img/500000/323/033/img/4033323_1.jpg?shrink=330:*&_v=20210316084036,시스템 쿨러,,,,0,0,120,1,85.43,27,,,,,,,,0,,201605,
ID-COOLING ID-12025M12S PWM LED-B,5940.0,https://prod.danawa.com/info/?pcode=17342114&cate=11236855,ID-COOLING,17342114,//img.danawa.com/prod_img/500000/114/342/img/17342114_1.jpg?shrink=330:*&_v=20220627171832,시스템 쿨러,,,,0,0,120,1,62,26.4,,,,,,,,3,,202206,
DYNATRON K2,56200.0,https://prod.danawa.com/info/?pcode=6864766&cate=11236855,DYNATRON,6864766,//img.danawa.com/prod_img/500000/766/864/img/6864766_1.jpg?shrink=330:*&_v=20181214143016,CPU 쿨러,0.0,3.0,,6,0,75,,11.9,44,,,,,,,,2,,201812,
DYNATRON N11,71380.0,https://prod.danawa.com/info/?pcode=16593356&cate=11236855,DYNATRON,16593356,//img.danawa.com/prod_img/500000/356/593/img/16593356_1.jpg?shrink=330:*&_v=20230605175413,CPU 쿨러,0.0,,270,16,0,60,,49.32,54.3,82.0,,66,,,,,2,,202203,
