,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,name,cpu,ram,gpu,dx,os,sto,spec_class
9071,9071,9071,9071,9071,9071,9071,SPACEPLAN,Intel Core2 Duo T5600 (2 * 1830) or better,1 GB RAM,GeForce GS 7600 (128 MB) or better,,Windows 7 or later,250 MB available space,0
9072,9072,9072,9072,9072,9072,9072,Spareware,DualCore AMD/Intel 2.3 GHz,4 GB RAM,AMD Radeon 4850 / Nvidia 8800 GTS 512 Mb or equivalent,Version 9.0c,Windows 7 or newer,1024 MB available space,0
9073,9073,9073,9073,9073,9073,9073,Sparkle ZERO,Dual core from Intel or AMD at 2.0 GHz,2 GB RAM,"nVidia 320M or higher, or Radeon 7000 or higher, or Intel HD 3000 or higher",Version 9.0a,Windows 7,100 MB available space,0
9074,9074,9074,9074,9074,9074,9074,Sparklite,(Any),2 GB RAM,Intel HD 4400 Or Higher,,Windows 7 or later,3 GB available space,0
9075,9075,9075,9075,9075,9075,9075,Speaking Simulator,2.0 GHz,2 GB RAM,Nvidia Geforce GTX 670 or better,Version 9.0,Windows XP,600 MB available space,0
9076,9076,9076,9076,9076,9076,9076,Speaking Simulator,2.0 GHz or better,2 GB RAM,Nvidia Geforce GTX 970 or comparable,Version 9.0,Windows 10,600 MB available space,1
9077,9077,9077,9077,9077,9077,9077,Spear Master,1.7 GHz Dual Core CPU,2 GB RAM,"NVIDIA GeForce GTX 260, ATI Radeon 4870 HD, or equivalent card with at least 512 MB VRAM",,Windows 7 or higher,400 MB available space,0
9078,9078,9078,9078,9078,9078,9078,Spec Ops: The Line,Intel Core 2 Duo @ 2Ghz / AMD Athlon 64 X2 equivalent ,2 GB RAM,NVIDIA GeForce 8600 / ATI Radeon HD 2600XT (256 MB memory) ,9.0 ,Windows XP SP3 ,6 GB free,0
9079,9079,9079,9079,9079,9079,9079,Spec Ops: The Line,2.4 GHz Quad Core processor ,3 GB RAM ,NVIDIA GeForce 9800 GTX/ATI Radeon HD 4850 (512+ MB memory) ,9.0 ,Windows Vista/7,10 GB free ,1
9080,9080,9080,9080,9080,9080,9080,Special Forces: Nemesis strike,Pentium III 1GHz Processor,128MB RAM,DirectX compatible GeForce 3 or ATi Radeon 8500 Class Video Card,DirectX 9,Windows 98/ME/2000/XP,3.5GB Hard Disk Space,0
9081,9081,9081,9081,9081,9081,9081,Special Forces: Nemesis strike,Pentium 4 or AMD Athlon 1.5GHz Processor,128MB RAM (256MB for 2000/XP),GeForce 5000 or Radeon 9000 Class Video Card,DirectX 9,Windows 98/ME/2000/XP,3.5GB Hard Disk Space,1
9082,9082,9082,9082,9082,9082,9082,Special Forces: Team X,Dual-Core CPU,2 GB RAM,256MB DX9 GPU (Geforce 8xxx or Radeon HD2xxx),9.0c,"Windows Vista, Windows 7 (32-bit)",1 GB HD space,0
9083,9083,9083,9083,9083,9083,9083,Special Forces: Team X,Quad-Core CPU,4 GB RAM,1GB+ DX10 GPU,10,Windows 7 (64-bit),1 GB HD space,1
9084,9084,9084,9084,9084,9084,9084,Spectra,2.6 GHz Dual Core,2 GB RAM,512 MB VRAM,Version 9.0c,Win XP / Win 7 / Win 8,200 MB available space,0
9085,9085,9085,9085,9085,9085,9085,Spectra,2.8 GHz Quad Core,4 GB RAM,1-2 GB VRAM,Version 9.0c,Win XP / Win 7 / Win 8,200 MB available space,1
9086,9086,9086,9086,9086,9086,9086,Spectromancer,P3 class or faster,128 MB,GeForce-2 class or faster with 32+ MB RAM,DirectX 8,Windows 2000/XP/Vista,50 MB,0
9087,9087,9087,9087,9087,9087,9087,Speed Brawl,Intel Core i3 or equivalent,2 GB RAM,NVIDIA GeForce GTX 650 or equivalent,,Windows 7,5420 MB available space,0
9088,9088,9088,9088,9088,9088,9088,Speed Brawl,Intel Core i5 or equivalent,4 GB RAM,NVIDIA GeForce GTX 960 or equivalent,,Windows 10,5420 MB available space,1
9089,9089,9089,9089,9089,9089,9089,SpeedRunners,1Ghz and up,3 GB RAM,Dedicated video card recommended,,Windows XP and up,800 MB available space,0
9090,9090,9090,9090,9090,9090,9090,Spellbreak,Intel(R) Core(TM) i5-6400 CPU @ 2.70GHz (4 CPUs),8 GB RAM,NVIDIA GeForce GT 640/Radeon R7 GPU,,64-bit Windows 10,18 GB available space,0
9091,9091,9091,9091,9091,9091,9091,Spellcraft,Pentium 4 2.00 GHz,4 GB RAM,AMD Radeon HD 5670 / Nvidia GeForce 8800,Version 9.0,Windows 8,,0
9092,9092,9092,9092,9092,9092,9092,Spellcraft,3.00 Ghz Intel or AMD,4 GB RAM,AMD Radeon HD 5670 / Nvidia GeForce 8800,Version 10,Windows 10,4 GB available space,1
9093,9093,9093,9093,9093,9093,9093,SpellForce,Pentium III 1GHz,256MB RAM,32MB DirectX compatible Video Card,DirectX 9.0a,Windows XP/ME/2000/98,4 GB free disk space,0
9094,9094,9094,9094,9094,9094,9094,SpellForce,Pentium 4 1.8GHz,512MB RAM,64MB DirectX compatible Video Card,DirectX 9.0a,Windows XP/ME/2000/98,4 GB free disk space,1
9095,9095,9095,9095,9095,9095,9095,Spellforce 2,Pentium 4 1.5 GHz/Athlon XP or better,512 MB,3D-Graphics card with 128 MB RAM (compatible with Geforce 4 Ti or better),DirectX 9.0c,Windows 2000/XP,5 GB free disk space,0
9096,9096,9096,9096,9096,9096,9096,Spellforce 2,Pentium 4 2.5 GHz/Athlon XP or better,1 GB,3D-Graphics card with 256 MB RAM (compatible with Geforce 6600 GT or better),DirectX 9.0c,Windows 2000/XP,5 GB free disk space,1
9097,9097,9097,9097,9097,9097,9097,SpellForce 3 Reforced,"Intel Core i5-3570, AMD FX-6350",6 GB RAM,"NVIDIA GTX 660 2GB, AMD Radeon 7850 2GB",Version 11,"Windows 7, 8, Windows 10 (64 bit)",15 GB available space,0
