,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,name,cpu,ram,gpu,dx,os,sto,spec_class
2814,2814,2814,2814,2814,2814,2814,DRAGON QUEST XI: Echoes of an Elusive Age,Intel Core i5-6600 / AMD Ryzen 7 1800X,8 GB RAM,NVIDIA GeForce GTX 1060 / AMD Radeon RX Vega 56,Version 11,Windows 7 SP1/ Windows 8.1 / Windows 10 64-bit,32 GB available space,1
2815,2815,2815,2815,2815,2815,2815,Dragon's Dogma: Dark Arisen,Intel Core i5 660 CPU or equivalent,4 GB RAM,Radeon HD 5870 or equivalent,Version 9.0c,Windows Vista or newer,20 GB available space,0
2816,2816,2816,2816,2816,2816,2816,Dragon's Dogma: Dark Arisen,Intel Core i7-4770K or equivalent,8 GB RAM,NVIDIA GeForce GTX 760 or equivalent,Version 9.0c,Windows Vista or newer,20 GB available space,1
2817,2817,2817,2817,2817,2817,2817,Dragon's Prophet,Core 2 Duo 2.4GHz or higher,2048,Nvidia 8600 GT,10,Vista & Windows 7 ,10 GB available space,0
2818,2818,2818,2818,2818,2818,2818,Dragon's Prophet,i5 2400 or higher,4 GB RAM,Nvidia 560 TI or higher,10,Vista & Windows 7,10 GB available space,1
2819,2819,2819,2819,2819,2819,2819,Dragonblade: Cursed Lands Treasure,Pentium III 800 MHz,128MB RAM,64 MB graphic card,,Windows 98/ME/2000/XP,800 MB,0
2820,2820,2820,2820,2820,2820,2820,Dragonshard,1.3 GHz processor,512 MB RAM,64 MB 3D video card with DirectX 9.0c support,DirectX 9.0c,"Windows 98, ME, 2000, or XP",3 GB free hard-disk space,0
2821,2821,2821,2821,2821,2821,2821,Drake Hollow,Intel® Core™ i5-2500K / AMD FX-6300,8 GB RAM,Nvidia GeForce GTX 750 Ti 2GB / AMD Radeon R7 360 2GB,,Windows 10 64 Bit,7 GB available space,0
2822,2822,2822,2822,2822,2822,2822,Drakensang: The Dark Eye,Pentium 4 with 2.4 GHz or an equal CPU,"1 GB (XP)
1,5 GB (Vista) 32 bit
2 GB (Vista) 64 bit",Geforce 6600 GT with 256 Megabyte video memory,,Windows XP / Vista,6 GB,0
2823,2823,2823,2823,2823,2823,2823,Drakensang: The Dark Eye,Dual Core processor with 2.6 GHz ,"2 GB (XP)
2,5 GB (Vista)",Geforce 8600,,Windows XP / Vista,6 GB,1
2824,2824,2824,2824,2824,2824,2824,Draugen,Intel Core i5,6 GB RAM,GeForce GTX 670/AMD HD 7870 2GB VRAM,Version 11,Windows 7 (64-bit),10 GB available space,0
2825,2825,2825,2825,2825,2825,2825,Draugen,Intel Core i7,8 GB RAM,4GB VRAM,Version 11,Windows 10 (64-bit),10 GB available space,1
2826,2826,2826,2826,2826,2826,2826,Dread Hunger,"Quad-core Intel or AMD, 2.5 GHz",8 GB RAM,NVIDIA GeForce 760 GTX or AMD Radeon R9 280,,"Windows 7, 64-bit",15 GB available space,0
2827,2827,2827,2827,2827,2827,2827,Dread Hunger,Intel Core i7-4770K or AMD Ryzen 5 2600,8 GB RAM,NVIDIA GeForce 1060-6GB or AMD RX 580,,"Windows 10, 64-bit",15 GB available space,1
2828,2828,2828,2828,2828,2828,2828,Dread Nautical,Intel Core i5-2500K or AMD equivalent,4 GB RAM,Intel HD 4400 or Nvidia and AMD equivalent,DirectX 11,"Windows 7, 64-bit",2.5 GB available space,0
2829,2829,2829,2829,2829,2829,2829,Dread Nautical,Intel Core i7-3770/AMD FX-8350 or better,6 GB RAM,GeForce GTX 750 or AMD equivalent,,"Windows 10, 64-bit",,1
2830,2830,2830,2830,2830,2830,2830,Dread Pilots,Dual Core 2 GHz (64 bit),4 GB RAM,Intel HD 4600 (AMD or NVIDIA equivalent),Version 11,Windows 7 (64 bit),4 GB available space,0
2831,2831,2831,2831,2831,2831,2831,Dread Pilots,Dual Core 2 GHz (64 bit),4 GB RAM,GTX 970 (Dedicated 4GB AMD or NVIDIA equivalent),Version 11,Windows 7 (64 bit),4 GB available space,1
2832,2832,2832,2832,2832,2832,2832,Dreadlands,Dual Core 2.4GHz Processor,2 GB RAM,"Shader 4.0 Compatible Card (minimum: Nvidia GeForce 8xxx, AMD Radeon 2xxx)",Version 11,Windows Vista / Windows 7,16 GB available space,0
2833,2833,2833,2833,2833,2833,2833,Dreadlands,Quad-core Intel or AMD CPU,4 GB RAM,"DirectX 11 compatible Nvidia or AMD ATI card, ATI Radeon HD6870 or higher, Nvidia GeForce GTX or higher. Graphics card memory: 1 GB",Version 11,Windows 10 64-bit,16 GB available space,1
2834,2834,2834,2834,2834,2834,2834,Dreadnought,AMD Phenom II X2 series 3.0GHz / Intel Core 2 Duo E7000 series 2.6GHz,4 GB RAM,NVIDIA GTS 450 / AMD HD 5750 / Intel Iris Pro 6200,Version 11,Windows 7 (64-bit),25 GB available space,0
2835,2835,2835,2835,2835,2835,2835,Dreadnought,Intel Core i5-8400 2.8 GHz or AMD Ryzen 7 1700 3.0 GHz,8 GB RAM,NVIDIA GeForce GTX 1060 3GB or AMD Radeon RX 580 4 GB,,"Windows 7, 8, 8.1, 10 (64-bit)",25 GB available space,1
2836,2836,2836,2836,2836,2836,2836,DreadOut,Intel Dual-Core 2.4 GHz or AMD Dual-Core Athlon 2.5 GHz,2 GB RAM,NVIDIA GeForce 8800GT or AMD Radeon HD 3850 or Intel HD Graphics 4000 with 512 MB VRAM minimum 128 Bit,9.0c,Windows 7 / 8 64 bits,5 GB available space,0
2837,2837,2837,2837,2837,2837,2837,DreadOut,Intel Core i5-2300 or AMD Phenom II X4 940 or better,8 GB RAM,NVIDIA GeForce GTX 550 or AMD Radeon HD 7750 with 1 GB VRAM or better,11,Windows 7 / 8 64 bits,10 GB available space,1
2838,2838,2838,2838,2838,2838,2838,DreadOut 2,Intel i5 3570K / AMD FX-8350,4 GB RAM,GTX 770 with 2GB VRAM / Radeon R9 280X 3GB,Version 11,"Windows 8.1, 64-bit",16 GB available space,0
2839,2839,2839,2839,2839,2839,2839,DreadOut 2,Intel i7,16 GB RAM,GTX 1050  / Radeon Rx 570,Version 12,"Windows 10, 64-bit",,1
2840,2840,2840,2840,2840,2840,2840,Dream,3.0 GHz Dual Core Processor,4 GB RAM,Shader Model 3 compliant graphics cards (GeForce GT 520/Radeon HD 3850 and above),Version 9.0c,"Windows XP (SP3), Windows Vista (SP2), Windows 7, Windows 8",5 GB available space,0
2841,2841,2841,2841,2841,2841,2841,Dream Cycle,Intel Core i5-7400 / AMD Ryzen 3 1200,8 GB RAM,NVIDIA GeForce GTX 1050ti / AMD Radeon RX 570,Version 11,"Windows 10, 64-bit",25 GB available space,0
2842,2842,2842,2842,2842,2842,2842,Dream Cycle,Intel Core i7-8700 / AMD Ryzen 5 3600,16 GB RAM,NVIDIA GeForce GTX 1070 / AMD Radeon RX Vega 56,Version 11,"Windows 10, 64-bit",25 GB available space,1
2843,2843,2843,2843,2843,2843,2843,Dream Daddy: A Dad Dating Simulator,2.2 GHz,4 GB RAM,DirectX compatible card,,Windows 7 (64 bit),4 GB available space,0
2844,2844,2844,2844,2844,2844,2844,Dream Pinball 3D,2.0 GHz Single Core,1 GB RAM,Shader 1.3 graphics card with 128 MB,,Windows XP SP2 / Vista / 7 / 8,900 MB HD space,0
2845,2845,2845,2845,2845,2845,2845,Dream Pinball 3D,Intel or AMD Multicore CPU,2 GB RAM,Shader 2.0 graphics card with 256 MB,,Windows XP SP2 / Vista / 7 / 8,900 MB HD space,1
2846,2846,2846,2846,2846,2846,2846,Dreambreak,1.2 Ghz,512 MB RAM,128 MB,Version 9.0,"Windows XP, Vista, 7, 8 or 10",50 MB available space,0
2847,2847,2847,2847,2847,2847,2847,Dreamfall Chapters,Core 2 Duo 2GHz or equivalent,3 GB RAM,Intel HD Graphics 4000,9.0c,Windows XP SP3,5 GB available space,0
2848,2848,2848,2848,2848,2848,2848,Dreamfall Chapters,Quad Core i5 2.5GHz,4 GB RAM,ATI or Nvidia card with 1GB VRAM,11,Windows 7,20 GB available space,1
2849,2849,2849,2849,2849,2849,2849,Dreamfall: The Longest Journey,Intel Pentium 4 1.6 GHz or AMD Sempron 2800+ or higher,512 MB RAM,3D Hardware Accelerator Card Required - 100% DirectX 9.0c compatible 128 MB with latest drivers,DirectX 9.0 or higher ,Windows XP (with service pack 2),7 GB free disk space,0
2850,2850,2850,2850,2850,2850,2850,Dreamfall: The Longest Journey,Intel Pentium 4 2.5 GHz or AMD Athlon XP 3500+,1 GB,256 MB 3D Hardware Accelerator Card,DirectX 9.0 or higher ,Windows XP (with service pack 2),7 GB free disk space,1
2851,2851,2851,2851,2851,2851,2851,Dreamkiller,2.4 GHz Dual Core Processor (Intel Core 2 Duo or AMD Athlon X2),"XP – 1 GB RAM, Vista – 2 GB RAM",3D Hardware Accelerator Card Required – 100% DirectX 9.0c compatible 256 MB Video Memory with Shader 3.0 support | ATI: Radeon HD 2600 | Nvidia: Geforce 7600,DirectX 9.0c,"Windows XP SP3, Windows Vista SP2, Windows 7 (Does not support Windows 95/98/ME/2000/NT)",10.1 GB + 1 GB Swap File,0
2852,2852,2852,2852,2852,2852,2852,Dreamkiller,Intel Core 2 Duo 2.8 GHz or AMD Athlon X2 Dual-Core 5200+,2 GB RAM,512 MB 3D Hardware Accelerator Card | ATI: Radeon HD 3870 | Nvidia: Geforce 8800 GT,DirectX 9.0c,"Windows XP SP3, Windows Vista SP2, Windows 7 (Does not support Windows 95/98/ME/2000/NT)",10.1 GB + 1 GB Swap File,1
2853,2853,2853,2853,2853,2853,2853,Dreamlords - The Reawakening,1.4 Ghz Intel P4 or equivalent,256 MB RAM,64 MB NVIDIA Geforce 3/ATI Radeon 8500 series or equivalent with Pixel Shader 1.1 support,Direct X 9.0c,Microsoft Windows XP,1.5 GB hard drive space,0
2854,2854,2854,2854,2854,2854,2854,Dreamlords - The Reawakening,2.4 Ghz Intel P4 or equivalent,At least 512 MB RAM,Geforce 5 series/ATI Radeon 9800 or equivalent with Pixel Shader 2.0 support,Direct X 9.0c,Microsoft Windows XP,1.5 GB hard drive space,1
2855,2855,2855,2855,2855,2855,2855,Dreamscaper,Intel Core i3,3 GB RAM,GeForce GT 640,Version 10,Windows 7 64-bit,6 GB available space,0
2856,2856,2856,2856,2856,2856,2856,Dreamscaper,Intel Core i5,4 GB RAM,GeForce GTX 970,Version 10,Windows 10 64-bit,6 GB available space,1
2857,2857,2857,2857,2857,2857,2857,DreamWorks Dragons: Dawn of New Riders,Intel Core 2 Quad Q6600 (2.4 GHz) or AMD equivalent,4 GB RAM,GeForce GT 430 (1024 MB)/ Radeon HD 6850 (1024 MB),Version 9.0c,7 / 8 / 10,3 GB available space,0
2858,2858,2858,2858,2858,2858,2858,DREDGE,Intel Core i3-2100 | AMD Phenom II X4 965,4 GB RAM,Nvidia 8800 GT 512MB | Radeon HD 6570 1GB,Version 11,Windows 10,2 GB available space,0
2859,2859,2859,2859,2859,2859,2859,DREDGE,Intel Core i5-2550K | AMD FX-8370,6 GB RAM,Nvidia GTS 450 1GB | Radeon HD 5770 1GB,Version 11,Windows 10 (64-bit),2 GB available space,1
2860,2860,2860,2860,2860,2860,2860,Dreii,Any,,Any,,Windows 7+,500 MB available space,0
2861,2861,2861,2861,2861,2861,2861,Drift King: Survival,2.2GHz Dual Core,512 MB RAM,512 MB VRAM,,Windows XP / Vista / 7 / 8 / 10,220 MB available space,0
2862,2862,2862,2862,2862,2862,2862,DRIFT21,i5,8 GB RAM,970 (Recommended: 1060),Version 11,"Windows 7 SP2, 64-bit (Recommended: Windows 10, 64-bit)",20 GB available space,0
2863,2863,2863,2863,2863,2863,2863,Drifting Lands,Anything for gaming bought in the past 2 or 3 years,2 GB RAM,Any AMD/ATI or NVidia with more than 512Mb of DEDICATED RAM,Version 9.0c,Windows XP or Better,1 GB available space,0
2864,2864,2864,2864,2864,2864,2864,Drifting Lands,Intel Quad Processor,4 GB RAM,Any powerful AMD/ATI or NVIDIA card with more than 512 of RAM,Version 9.0c,Windows 7 or 8,1 GB available space,1
2865,2865,2865,2865,2865,2865,2865,Drill Man Rumble,2.0 Ghz,2 GB RAM,GeForce 8800 or Radeon® HD4800 series,,Windows 7/8/10,2 GB available space,0
2866,2866,2866,2866,2866,2866,2866,Drive Megapolis,x86 based,2048 MB RAM,NVIDIA 730 or dx10 capable GPU,Version 10,Windows 7,9 GB available space,0
2867,2867,2867,2867,2867,2867,2867,Drive Megapolis,Core i3 or better,4096 MB RAM,NVIDIA 760 or better,Version 11,Windows 7,9 GB available space,1
2868,2868,2868,2868,2868,2868,2868,Drive-By Hero,Intel Pentium 4 (2001) and above or AMD Processors after 2003,512 MB RAM,Any graphics card that supports Direct X 9 or above.,Version 9.0,Windows XP or later,250 MB available space,0
2869,2869,2869,2869,2869,2869,2869,Driver 3,Pentium® 4 2 GHz or AMD Athlon™ 2 GHz,256 MB RAM,"64 MB Hardware T&L-compatible video card* : ATI RADEON® 8500 or superior, NVIDIA® GeForce™ 3 or superior",DirectX® version 9.0c,Windows® 2000/XP,5.5 GB Free,0
2870,2870,2870,2870,2870,2870,2870,Driver: Parallel Lines,Pentium 4/AMD Athlon 2.0GHz Processor,256 MB,64 MB DirectX® 9.0c-compliant supporting Shader Model 1.1 (see supported list*) (ATI Radeon 8500/Nvidia GeForce 3),DirectX 9.0c,Windows® XP (SP 1 required)/Vista (only),4.8GB Hard Disk Space,0
2871,2871,2871,2871,2871,2871,2871,Driver: Parallel Lines,Pentium 4/AMD Athlon 3.4GHz Processor,512 MB,128 MB Shader Model 2.0 card recommended (see supported list*),DirectX 9.0c,Windows® XP (SP 1 required)/Vista (only),4.8GB Hard Disk Space,1
2872,2872,2872,2872,2872,2872,2872,Driver: San Francisco,Intel Pentium D 3.0 Ghz or AMD Athlon64 X2 4400+ 2.2Ghz,1GB Windows XP / 2GB Windows Vista - Windows 7,"256 MB DirectX–compliant, Shader 4.0 enabled video card*",DirectX®: 9.0c libraries (included) ,"Windows XP (32/64 bit), Windows Vista (32/64 bit), Windows 7 (32/64 bit) ",10GB ,0
2873,2873,2873,2873,2873,2873,2873,Driver: San Francisco,Intel Core2Quad Q6600 2.4Ghz or Athlon II X4 620 2.6Ghz,2GB for XP / Vista / 7 recommended,"512 MB DirectX compliant, Shader 4.0 enabled video card*",DirectX®: 9.0c libraries (included) ,"Windows XP (32/64 bit), Windows Vista (32/64 bit), Windows 7 (32/64 bit) ",10GB ,1
2874,2874,2874,2874,2874,2874,2874,Drizzlepath,"Intel Core 2 Duo 2GHz, AMD Athlon 64 X2 2GHz or better (multi-core processor is strongly recommended)",4 GB RAM,"NVIDIA series 400, AMD Radeon HD 6000 Series or better (DirectX 11 minimum)",Version 11,"Windows Vista SP1, Windows 7, Windows 8, Windows 8.1",2200 MB available space,0
2875,2875,2875,2875,2875,2875,2875,Drizzlepath,Quad Core or Six Core CPU,8 GB RAM,"NVIDIA GTX780, AMD Radeon R9 290X",Version 11,"Windows Vista SP1, Windows 7, Windows 8, Windows 8.1",2200 MB available space,1
2876,2876,2876,2876,2876,2876,2876,Droid Assault,1GHz,512 MB RAM,OpenGL 1.5 capable graphics card,,Windows XP,120 MB HD space,0
2877,2877,2877,2877,2877,2877,2877,Droid Assault,1GHz,512 MB RAM,OpenGL 2.1 capable graphics card,,Windows XP,120 MB HD space,1
2878,2878,2878,2878,2878,2878,2878,DRONE The Game,Dual Core 2.2 GHz or equivalent,4 GB RAM,1 GB VRAM or better / Nvidia GTX 650 or AMD Radeon HD 6790,Version 11,Windows 7 (64-bit),13 GB available space,0
2879,2879,2879,2879,2879,2879,2879,DRONE The Game,Quad Core 2.5 GHz or better,8 GB RAM,2 GB VRAM or better / Nvidia GTX 670 or AMD Radeon HD 7970,Version 11,Windows 10 (64-bit),13 GB available space,1
2880,2880,2880,2880,2880,2880,2880,DRONE Zero Gravity,Intel Core 2 Quad CPU Q6600 @ 2.40GHz (4 CPUs) / AMD Phenom 9850 Quad-Core Processor (4 CPUs) @ 2.5GHz,4 GB RAM,"NVIDIA 9800 GT 1GB / AMD HD 4870 1GB (DX 10, 10.1, 11)",Version 10,"Windows 8.1 64 Bit, Windows 8 64 Bit, Windows 7 64 Bit Service Pack 1, Windows Vista 64 Bit Service Pack 2* (*NVIDIA video card recommended if running Vista OS)",12 GB available space,0
2881,2881,2881,2881,2881,2881,2881,DRONE Zero Gravity,Intel Core i5 3470 @ 3.2GHz (4 CPUs) / AMD X8 FX-8350 @ 4GHz (8 CPUs),8 GB RAM,NVIDIA GTX 660 2GB / AMD HD 7870,Version 10,"Windows 8.1 64 Bit, Windows 8 64 Bit, Windows 7 64 Bit Service Pack 1",12 GB available space,1
2882,2882,2882,2882,2882,2882,2882,Dropsy,,1 GB RAM,,,Windows 7 or later,1 GB available space,0
2883,2883,2883,2883,2883,2883,2883,Dropzone,2.8 GHz Dual Core,4 GB RAM,GTX 460 or better,Version 11,"Windows 7 (SP1), Windows 8.x, Windows 10",6 GB available space,0
2884,2884,2884,2884,2884,2884,2884,Drug Dealer Simulator,i5-2500 3.30 GHz,8 GB RAM,NVIDIA GeForce 780 GTX or AMD Radeon R7 260X series card or higher,,Windows 7 64-bit or later,15 GB available space,0
2885,2885,2885,2885,2885,2885,2885,Drug Wars,Core Duo,2 GB RAM,"NVIDIA GeForce 6800 GT, ATI Radeon 9800 Pro (Radeon X800 Pro for Vista) or better",Direct X 9 ,XP/Vista,900 MB Free Space,0
2886,2886,2886,2886,2886,2886,2886,Druidstone: The Secret of the Menhir Forest,Quad Core 2.66 Ghz Intel or 3.2 GHz AMD,4 GB RAM,Geforce GTX 660 Ti or AMD Radeon 6850 or better,Version 11,Windows 7 64-bit,2 GB available space,0
2887,2887,2887,2887,2887,2887,2887,Druidstone: The Secret of the Menhir Forest,Quad Core 2.66 Ghz Intel or 3.2 GHz AMD,4 GB RAM,Geforce GTX 1050 or AMD Radeon RX 570,Version 11,Windows 10 64-bit,2 GB available space,1
2888,2888,2888,2888,2888,2888,2888,Drunk-Fu: Wasted Masters,DualCore AMD/Intel 2.3 GHz,4 GB RAM,AMD Radeon 4850 / Nvidia 8800 GTS 512 Mb or equivalent,Version 10,Windows 7 or newer,512 MB available space,0
2889,2889,2889,2889,2889,2889,2889,DUAL GEAR,"Intel quad-core Q6600, AMD Phenom II X4",4 GB RAM,"NVIDIA GTX 550, VGA AMD 7750 or better",Version 11,"Windows 7, 8, 10 64bit",10 GB available space,0
2890,2890,2890,2890,2890,2890,2890,DUAL GEAR,"AMD Six-core CPU, Intel quad-core CPU or better",8 GB RAM,"NVIDIA GTX 960, VGA AMD 7950 or better",Version 11,"Windows 7, 8, 10 64bit",10 GB available space,1
2891,2891,2891,2891,2891,2891,2891,Dual Universe,Intel Core i5 6500 (3.2 GHz) / AMD Ryzen 5 2600 (3.4 GHz),8 GB RAM,NVIDIA GeForce GTX 1060 (3 GB) / AMD Radeon RX 580,Version 11,Windows 10,40 GB available space,0
2892,2892,2892,2892,2892,2892,2892,Dual Universe,Intel Core i7 7700 (3.6 GHz) / AMD Ryzen 7 1700 (3.00 GHZ),16 GB RAM,AMD RX 580 (8 GB) / NVIDIA GeForce GTX 1080 (8 GB),Version 11,Windows 10,40 GB available space,1
2893,2893,2893,2893,2893,2893,2893,DUCATI - 90th Anniversary,Intel Core i3-530 @ 2.93 GHz / AMD Phenom II X4 810 @ 2.60 GHz,4 GB RAM,NVIDIA GeForce GTX 550 @ 1GB / ATI Radeon HD 6790 @ 1GB*,Version 10,Windows Vista SP2 / Windows 7 SP1 / Windows 8 / Windows 8.1 / Windows 10,15 GB available space,0
2894,2894,2894,2894,2894,2894,2894,DUCATI - 90th Anniversary,Intel Core i7-3770 @ 3.4 GHz / AMD FX-8350 @ 4.0 GHz,8 GB RAM,NVIDIA GeForce GTX 960 / AMD Radeon R9 290X*,Version 11,Windows 7 SP1 64-Bit / Windows 8 64-Bit / Windows 8.1 64-Bit / Windows 10,,1
2895,2895,2895,2895,2895,2895,2895,Duck Game,2.0GHZ,1 GB RAM,Pixel Shader 2.0,Version 9.0,Windows 7,150 MB available space,0
2896,2896,2896,2896,2896,2896,2896,Duck Season,Intel i5 4590,8 GB RAM,GTX 970,,Windows 7 (64-bit),7 GB available space,0
2897,2897,2897,2897,2897,2897,2897,Duck Season,Intel i7 6700,16 GB RAM,GTX 980 / GTX 1060,,Windows 10 (64-bit),7 GB available space,1
2898,2898,2898,2898,2898,2898,2898,Duck Season PC,Dual Core 2.0ghz or equivalent,4 GB RAM,GTX 260 or newer,,Windows 7 64bit,8 GB available space,0
2899,2899,2899,2899,2899,2899,2899,DuckTales: Remastered,Intel™ Pentium 4 2.4 ghz with Hyper Threading,1 GB RAM,"NVIDIA® Geforce 9600GT, AMD® Radeon™ HD 3870 or higher (it must be able to manage Pixel Shader 3.0) with at least 512MB of display memory.",,"Windows®XP™ SP2, Windows®Vista™ or Windows®7 ",1 GB available space,0
2900,2900,2900,2900,2900,2900,2900,DuckTales: Remastered,Intel™ Core 2 Duo / AMD™ Athlon 64 X2 or higher.,4 GB RAM,"NVIDIA® GeForce™ 200 series or higher, AMD® Radeon™ HD5000 series or higher (it must be able to manage Pixel Shader 3.0) with at least 512MB of display memory. ",,"Windows®XP™ SP2, Windows®Vista™ or Windows®7 ",1 GB available space,1
2901,2901,2901,2901,2901,2901,2901,"Dude, Stop",Intel Pentium 4 / AMD Athlon 64,512 MB RAM,256 MB,Version 9.0,Windows Vista,257 MB available space,0
2902,2902,2902,2902,2902,2902,2902,"Dude, Stop",Intel Core 2 Duo,1024 MB RAM,512 MB,Version 9.0,Windows 8+,257 MB available space,1
2903,2903,2903,2903,2903,2903,2903,Duelyst,1.5Ghz dual-core Intel Core i5,4 GB RAM,Open GL 3.1+ Compliant,,Windows 7 32-bit,1 GB available space,0
2904,2904,2904,2904,2904,2904,2904,Duelyst,2.0Ghz dual-core Intel Core i5 or higher,8 GB RAM,NVIDIA Geforce 600 series with 2GB memory or higher,,Windows 7 64-bit,1 GB available space,1
2905,2905,2905,2905,2905,2905,2905,Duke Nukem 3D Atomic Edition,486DX2/66,16Mb of memory,8 megabytes of memory and VGA graphics,,,,0
2906,2906,2906,2906,2906,2906,2906,Duke Nukem 3D: 20th Anniversary World Tour,Intel Pentium Dual Core E2220 (2*2400) or equivalent	AMD Athlon(tm) 64 X2 5000+ (2*2600) or equivalent,2048 MB RAM,GeForce 8600 GT (512 MB) or equivalent	Radeon HD 4670 (512 MB) or equivalent,Version 11,Windows 7/8/8.1/10 x64,1200 MB available space,0
2907,2907,2907,2907,2907,2907,2907,Duke Nukem 3D: 20th Anniversary World Tour,Intel Core i3-530 (2*2930) or equivalent	AMD Phenom x4 9850 (4*2500) or equivalent,2048 MB RAM,GeForce GT 610 (1024 MB) or equivalent	Radeon HD 6850 (1024 MB) or equivalent,Version 11,Windows 7/8/8.1/10 x64,1200 MB available space,1
2908,2908,2908,2908,2908,2908,2908,Duke Nukem Forever,Intel Core 2 Duo @ 2.0 Ghz / AMD Athlon 64 X2 @ 2.0 Ghz ,1 Gb ,"256 MB, Video Card: nVidia GeForce 7600 / ATI Radeon HD 2600",,Windows XP/Vista/7 ,10 Gb free ,0
2909,2909,2909,2909,2909,2909,2909,Duke Nukem Forever,Intel Core 2 Duo @ 2.4 Ghz / AMD Athlon 64 X2 @ 2.6 Ghz ,2 Gb ,"512 MB, nVidia GeForce 8800 GTS / ATI Radeon HD 3850",,Windows XP/Vista/7 ,10 Gb free ,1
2910,2910,2910,2910,2910,2910,2910,Duke Nukem Manhattan Project,Pentium II 350 or faster,64 MB RAM,DirectX 8.1 compatible 8 MB 2xAGP enabled video accelerator or faster,DirectX 8.1,Windows 98/ME/2000/XP,300 MB hard disk space,0
2911,2911,2911,2911,2911,2911,2911,Duke Nukem Manhattan Project,Pentium III 500 or faster,64 MB RAM,DirectX 8.1 compatible 32 MB 2xAGP enabled video accelerator or faster,DirectX 8.1,Windows 98/ME/2000/XP,300 MB hard disk space,1
2912,2912,2912,2912,2912,2912,2912,Dune: Spice Wars,Intel Core i5 2.5 GHz / AMD Ryzen 5,8 GB RAM,NVidia GTX 1050 / AMD RX 550,,"Windows 10 and Windows 11, 64-bit",4 GB available space,0
2913,2913,2913,2913,2913,2913,2913,Dune: Spice Wars,Intel Core i7 2.8GHz / AMD Ryzen 7,16 GB RAM,NVidia GTX 1080 / AMD 6600,,"Windows 10 and Windows 11, 64-bit",4 GB available space,1
2914,2914,2914,2914,2914,2914,2914,Dungeon Defenders,1 Ghz Dual-Core CPU,1 GB RAM,"Graphics Card with Shader Model 3 support, 256 MB video memory",9.0c,Windows XP,2GB,0
2915,2915,2915,2915,2915,2915,2915,Dungeon Defenders,2Ghz Dual-Core CPU,2 GB RAM,"Graphics Card with Shader Model 3 support, 512 MB video memory",9.0c,Windows 7,2GB,1
2916,2916,2916,2916,2916,2916,2916,Dungeon Defenders Eternity,1 Ghz Dual-Core CPU,1 GB RAM,"Graphics Card with Shader Model 3 support, 256 MB video memory",Version 9.0c,Windows XP,,0
2917,2917,2917,2917,2917,2917,2917,Dungeon Defenders Eternity,2Ghz Dual-Core CPU,2 GB RAM,"Graphics Card with Shader Model 3 support, 512 MB video memory",Version 9.0c,Windows 7,,1
2918,2918,2918,2918,2918,2918,2918,Dungeon Defenders II,2.0 Ghz Dual-Core CPU,3 GB RAM,"ATI Radeon HD 2600 or better / NVIDIA GeForce 8600 or better, 512 MB video memory, with Shader Model 3 support",Version 9.0,Windows 7 (SP1) 64-Bit,20 GB available space,0
2919,2919,2919,2919,2919,2919,2919,Dungeon Defenders II,Intel Core i5 or AMD Quad-Core or better,4 GB RAM,NVIDIA GeForce GTX 260 or AMD Radeon HD 4770 or better (1GB VRAM),Version 9.0,Windows 7 (SP1) / Windows 8.1 / Windows 10 64-Bit,20 GB available space,1
2920,2920,2920,2920,2920,2920,2920,Dungeon Defenders: Awakened,Intel Core i3-3210 or AMD FX-4350,4 GB RAM,Nvidia GeForce GTX 750 or AMD Radeon HD 8760,Version 11,Windows 10 (64-bit Only),30 GB available space,0
2921,2921,2921,2921,2921,2921,2921,Dungeon Defenders: Awakened,Intel Core i7-4770K or AMD Ryzen 5 1500X,8 GB RAM,Nvidia GeForce GTX 1050 or AMD RX 470,Version 11,Windows 10 (64-bit Only),30 GB available space,1
2922,2922,2922,2922,2922,2922,2922,DUNGEON ENCOUNTERS,AMD A8-7600 / Intel® Core™ i3-3210,4 GB RAM,AMD Radeon™ R7 240 / NVIDIA® GeForce® GT 730,Version 10,Windows® 10 64-bit,2500 MB available space,0
2923,2923,2923,2923,2923,2923,2923,DUNGEON ENCOUNTERS,AMD A8-7600 / Intel® Core™ i3-3210,4 GB RAM,AMD Radeon™ R7 260X / NVIDIA® GeForce® GTX 750,Version 10,Windows® 10 64-bit,2500 MB available space,1
2924,2924,2924,2924,2924,2924,2924,Dungeon Fighter Online,Intel Core 2 Duo E7500,2 GB RAM,VRAM 512MB,Version 9.0,Microsoft Windows 7 32bit,18 GB available space,0
2925,2925,2925,2925,2925,2925,2925,Dungeon Fighter Online,Intel Core 2 Duo E7500 or higher,4 GB RAM,VRAM 512MB or higher,Version 9.0,Microsoft Windows 7 64bit and higher,18 GB available space,1
2926,2926,2926,2926,2926,2926,2926,Dungeon Gambit Boy,Dual Core AMD or Intel / AMD E-350 APU,1 GB RAM,Intel HD 4000 / Radeon HD 6310,Version 9.0c,Windows XP or above,500 MB available space,0
2927,2927,2927,2927,2927,2927,2927,Dungeon Hunter Champions,Intel(R) Core(TM) 2 Duo CPU @ 2.9GHz,4 GB RAM,"NVIDIA Geforce 210, Intel(R) HD Graphics Family",Version 10,Windows 7 SP1 or newer,3 GB available space,0
