name,price,link,company,product_seq,image,size,capacity,interface,rpm,transfer_rate,buffer_capacity,recording_method,thickness,as_years,reg_date,bookmark
"Western Digital WD BLACK 7200/64M (WD1003FZEX, 1TB)",119000.0,https://prod.danawa.com/info/?pcode=2307177&cate=112763,Western Digital WD,2307177,//img.danawa.com/prod_img/500000/177/307/img/2307177_1.jpg?shrink=330:*&_v=20200528142457,8.9,1024.0,SATA3(6Gb/s),7200,150,64.0,0.0,26.1,,201311,
"Seagate BarraCuda 7200/16M (ST500DM002, 500GB)",63640.0,https://prod.danawa.com/info/?pcode=1464268&cate=112763,Seagate,1464268,//img.danawa.com/prod_img/500000/268/464/img/1464268_1.jpg?shrink=330:*&_v=20200528093631,8.9,500.0,SATA3(6Gb/s),7200,,16.0,,20.0,,201108,
"Seagate BarraCuda Pro 7200/256M (ST10000DM0004, 10TB)",,https://prod.danawa.com/info/?pcode=4355589&cate=112763,Seagate,4355589,//img.danawa.com/prod_img/500000/589/355/img/4355589_1.jpg?shrink=330:*&_v=20200528093625,8.9,10240.0,SATA3 (6Gb/s),7200,220,256.0,,,,201608,
"Western Digital WD BLUE 7200/16M (WD5000AAKX, 500GB)",61410.0,https://prod.danawa.com/info/?pcode=1218955&cate=112763,Western Digital WD,1218955,//img.danawa.com/prod_img/500000/955/218/img/1218955_1.jpg?shrink=330:*&_v=20200528094214,8.9,500.0,SATA3(6Gb/s),7200,126,16.0,,25.4,,201011,
"Seagate BarraCuda 7200/32M (ST500DM009, 500GB)",77000.0,https://prod.danawa.com/info/?pcode=4556071&cate=112763,Seagate,4556071,//img.danawa.com/prod_img/500000/071/556/img/4556071_1.jpg?shrink=330:*&_v=20201120182508,8.9,500.0,SATA3 (6Gb/s),7200,210,32.0,2.0,20.0,,201610,
"Seagate BarraCuda Pro 7200/128M (ST4000DM006, 4TB)",265220.0,https://prod.danawa.com/info/?pcode=4857319&cate=112763,Seagate,4857319,//img.danawa.com/prod_img/500000/319/857/img/4857319_1.jpg?shrink=330:*&_v=20200528093625,8.9,4096.0,SATA3 (6Gb/s),7200,220,128.0,,26.0,,201701,
Western Digital WD WD5000AZLX (SATA3/7200/32M) (500GB),68000.0,https://prod.danawa.com/info/?pcode=3572596&cate=112763,Western Digital WD,3572596,//img.danawa.com/prod_img/500000/596/572/img/3572596_1.jpg?shrink=330:*&_v=20201106175614,8.9,500.0,SATA3(6Gb/s),7200,150,32.0,,26.1,,201511,
"Seagate BarraCuda 7200.11 SATA2/7200/32M (ST31000340AS, 1TB)",61330.0,https://prod.danawa.com/info/?pcode=563293&cate=112763,Seagate,563293,//img.danawa.com/prod_img/500000/293/563/img/563293_1.jpg?shrink=330:*&_v=20200528093652,8.9,1024.0,SATA2(3Gb/s),7200,,32.0,,26.1,,200710,
"Seagate Desktop HDD.15 5900/64M (ST4000DM000, 4TB)",,https://prod.danawa.com/info/?pcode=1961610&cate=112763,Seagate,1961610,//img.danawa.com/prod_img/500000/610/961/img/1961610_1.jpg?shrink=330:*&_v=20200528173228,8.9,4096.0,SATA3(6Gb/s),5900,,64.0,,26.1,,201303,
"Seagate BarraCuda 7200.9 SATA2/7200.9/8M (ST3250824AS, 250GB)",,https://prod.danawa.com/info/?pcode=134199&cate=112763,Seagate,134199,//img.danawa.com/prod_img/large/group_268/134199_1.jpg?shrink=330:*&_v=20200528091107,8.9,250.0,SATA2(3Gb/s),7200,,8.0,,26.1,,200512,
"Seagate Pipeline HD SATA2/5900/64M (ST2000VM003, 2TB)",64890.0,https://prod.danawa.com/info/?pcode=2281269&cate=112763,Seagate,2281269,//img.danawa.com/prod_img/500000/269/281/img/2281269_1.jpg?shrink=330:*&_v=20200529165821,8.9,2048.0,SATA2(3Gb/s),5900,,64.0,,26.1,,201310,
"Seagate BarraCuda 5900/64M (ST4000DM005, 4TB)",,https://prod.danawa.com/info/?pcode=4519087&cate=112763,Seagate,4519087,//img.danawa.com/prod_img/500000/087/519/img/4519087_1.jpg?shrink=330:*&_v=20201120182146,8.9,4096.0,SATA3 (6Gb/s),5900,,64.0,,26.1,,201610,
