name,price,link,company,product_seq,image,code,socket,core_number,thread_number,l2_cache,l3_cache,tdp,pbpmtp,has_graphic,graphic_name,graphic_core_speed,memory_capacity,memory_type,memory_clock,memory_channel,pcie_channel_number,pcie_version,has_cooler,clock_basic,clock_max,nm,tech_support,bench_mark,reg_date,bookmark
인텔 제온 스케일러블 실버 4214,2082000.0,https://prod.danawa.com/info/?pcode=9309312&cate=112747,인텔,9309312,//img.danawa.com/prod_img/500000/312/309/img/9309312_1.jpg?shrink=330:*&_v=20190820174112,캐스케이드레이크,인텔(소켓3647),12,24,,16.5,85.0,,0,,,1024.0,2.0,2400.0,6.0,48.0,4.0,0,2.2,3.2,14.0,,16190,201908,
인텔 제온 스케일러블 골드 6326,2512970.0,https://prod.danawa.com/info/?pcode=19830578&cate=112747,인텔,19830578,//img.danawa.com/prod_img/500000/578/830/img/19830578_1.jpg?shrink=330:*&_v=20230418142718,아이스레이크,인텔(소켓4189),16,32,,24.0,185.0,,0,,,6144.0,2.0,3200.0,8.0,64.0,2.0,1,2.9,3.5,10.0,,35224,202304,
인텔 제온 E 2134,436610.0,https://prod.danawa.com/info/?pcode=7271575&cate=112747,인텔,7271575,//img.danawa.com/prod_img/500000/575/271/img/7271575_1.jpg?shrink=330:*&_v=20200417140235,커피레이크,인텔(소켓1151v2),4,8,,8.0,71.0,,0,,,128.0,2.0,2666.0,2.0,16.0,,0,3.5,4.5,14.0,,9166,201902,
인텔 제온 스케일러블 골드 6140,3462300.0,https://prod.danawa.com/info/?pcode=5449025&cate=112747,인텔,5449025,//img.danawa.com/prod_img/500000/025/449/img/5449025_1.jpg?shrink=330:*&_v=20170901093540,스카이레이크,인텔(소켓3647),18,36,,24.75,140.0,,0,,,,2.0,2666.0,,48.0,,0,2.6,3.7,14.0,,23782,201709,
인텔 코어2쿼드 Q8200,2440.0,https://prod.danawa.com/info/?pcode=4148340&cate=112747,인텔,4148340,//img.danawa.com/prod_img/500000/340/148/img/4148340_1.jpg?shrink=330:*&_v=20181115105137,요크필드,인텔(소켓775),4,4,4.0,,95.0,,0,,,,,1333.0,,,,0,2.33,,45.0,,1777,201606,
인텔 펜티엄 G860,1080.0,https://prod.danawa.com/info/?pcode=1513439&cate=112747,인텔,1513439,//img.danawa.com/prod_img/500000/439/513/img/1513439_1.jpg?shrink=330:*&_v=20181115120720,샌디브릿지,인텔(소켓1155),2,2,0.5,3.0,65.0,,1,인텔 HD,850.0,,8.0,,,16.0,,0,3.0,,32.0,,1459,201110,
인텔 제온 스케일러블 골드 5222,2524130.0,https://prod.danawa.com/info/?pcode=9308574&cate=112747,인텔,9308574,//img.danawa.com/prod_img/500000/574/308/img/9308574_1.jpg?shrink=330:*&_v=20190820172044,캐스케이드레이크,인텔(소켓3647),4,8,,19.25,105.0,,0,,,1024.0,2.0,2933.0,6.0,48.0,4.0,0,3.8,3.9,14.0,,9504,201908,
인텔 제온 스케일러블 골드 6142,4244000.0,https://prod.danawa.com/info/?pcode=5449019&cate=112747,인텔,5449019,//img.danawa.com/prod_img/500000/019/449/img/5449019_1.jpg?shrink=330:*&_v=20191010135550,스카이레이크,인텔(소켓3647),16,32,,22.0,150.0,,0,,,,2.0,2666.0,,48.0,,0,2.6,3.7,14.0,,27114,201709,
인텔 제온 스케일러블 골드 6148,5199980.0,https://prod.danawa.com/info/?pcode=5449014&cate=112747,인텔,5449014,//img.danawa.com/prod_img/500000/014/449/img/5449014_1.jpg?shrink=330:*&_v=20170901093138,스카이레이크,인텔(소켓3647),20,40,,27.5,150.0,,0,,,,2.0,2666.0,,48.0,,0,2.4,3.7,14.0,,28993,201709,
인텔 제온 스케일러블 브론즈 3204,378940.0,https://prod.danawa.com/info/?pcode=9309411&cate=112747,인텔,9309411,//img.danawa.com/prod_img/500000/411/309/img/9309411_1.jpg?shrink=330:*&_v=20190822092439,캐스케이드레이크,인텔(소켓3647),6,6,,8.25,85.0,,0,,,1024.0,2.0,2133.0,6.0,48.0,4.0,0,1.9,1.9,14.0,,4804,201909,
