name,price,link,company,product_seq,image,category,size,power_included,power_support,board_support,bay_133,bay_89,bay_64,pci_horizontal,pci_vertical,cooling_fan,led_fan,front_type,side_open,side_type,back_vent,front_vent,top_vent,bottom_vent,external_port,width,height,depth,gpu_size,cpu_cooler_size,power_size,liquid_cooler,radiator_top,radiator_front,radiator_rear,radiator_side,feature,led_color,reg_date,bookmark
COUGAR CONQUER MINI PINK EDITION,369420.0,https://prod.danawa.com/info/?pcode=8496843&cate=112775,COUGAR,8496843,//img.danawa.com/prod_img/500000/843/496/img/8496843_1.jpg?shrink=330:*&_v=20200911095021,,미니타워,,표준-ATX,36,,1,1,4.0,,,,,,강화유리,,,,,2,223.5,568.0,469.0,314.0,145.0,150.0,,240.0,,,,0,,201907,
SilverStone SST-RM400,242990.0,https://prod.danawa.com/info/?pcode=19684184&cate=112775,SilverStone,19684184,//img.danawa.com/prod_img/500000/184/684/img/19684184_1.jpg?shrink=330:*&_v=20230407111402,랙마운트,랙마운트(4U),파워미포함,표준-ATX,0,3,8,3,7.0,,2.0,,,,,80mm x1,120mm x1,,,2,430.0,176.0,469.0,,130.0,160.0,,,,,,0,,202304,
에너맥스 STARRYFORT SF30,490000.0,https://prod.danawa.com/info/?pcode=9625872&cate=112775,에너맥스,9625872,//img.danawa.com/prod_img/500000/872/625/img/9625872_1.jpg?shrink=330:*&_v=20191209150539,PC케이스(ATX),미들타워,파워미포함,표준-ATX,38,,2,3,7.0,,4.0,4,,,강화유리,120mm LED x1,120mm LED x3,,,2,205.0,480.0,415.0,375.0,157.0,235.0,3.0,280.0,360.0,120.0,,0,RGB,201910,
PNC PARTNER  EVEREST PCI-E 1x to 16X 009S-PLUS LED 라이저카드,7260.0,https://prod.danawa.com/info/?pcode=15983618&cate=112775,PNC PARTNER,15983618,//img.danawa.com/prod_img/500000/618/983/img/15983618_1.jpg?shrink=330:*&_v=20220510123925,액세서리,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,202112,
투렉스 DOMA T1,50850.0,https://prod.danawa.com/info/?pcode=9321789&cate=112775,투렉스,9321789,//img.danawa.com/prod_img/500000/789/321/img/9321789_1.jpg?shrink=330:*&_v=20230313100257,,,,표준-ATX,38,,2,3,7.0,,,,,,,,,,,0,280.0,464.0,322.0,,,,,,,,,0,,201908,
투렉스 DOMA PRO MAX,40570.0,https://prod.danawa.com/info/?pcode=1992558&cate=112775,투렉스,1992558,//img.danawa.com/prod_img/500000/558/992/img/1992558_1.jpg?shrink=330:*&_v=20230313100246,,,,표준-ATX,6,1,4,4,7.0,,,,,,,,,,,0,221.0,,265.0,,,,,,,,,0,,201304,
투렉스 DIY PRO MINI,45050.0,https://prod.danawa.com/info/?pcode=16269719&cate=112775,투렉스,16269719,//img.danawa.com/prod_img/500000/719/269/img/16269719_1.jpg?shrink=330:*&_v=20230313100217,,데스크탑,,표준-ATX,16,,2,,1.0,,,,,,,,,,,0,250.0,160.0,220.0,,,,,,,,,0,,202201,
LINKUP SR-030 Ultra PCIe 4.0 X16 라이저 케이블,95000.0,https://prod.danawa.com/info/?pcode=14437454&cate=112775,LINKUP,14437454,//img.danawa.com/prod_img/500000/454/437/img/14437454_1.jpg?shrink=330:*&_v=20210610164851,액세서리,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,202106,
SilverStone SST-LD03-AF,178000.0,https://prod.danawa.com/info/?pcode=11480673&cate=112775,SilverStone,11480673,//img.danawa.com/prod_img/500000/673/480/img/11480673_1.jpg?shrink=330:*&_v=20200604154603,미니ITX,미니ITX(리틀밸리),파워미포함,M-ATX(SFX),0,,1,1,2.0,,2.0,,,,강화유리,,,120mm x1,120mm x1,0,265.0,414.0,230.0,309.0,190.0,130.0,,,,,,0,,202006,
ADATA XPG 인베이더 (블랙),115170.0,https://prod.danawa.com/info/?pcode=10001385&cate=112775,ADATA,10001385,//img.danawa.com/prod_img/500000/385/001/img/10001385_1.jpg?shrink=330:*&_v=20200626123641,PC케이스(ATX),미들타워,파워미포함,표준-ATX,38,,2,2,,,2.0,,,,강화유리,120mm x1,120mm x1,,,2,206.0,470.0,482.0,400.0,170.0,225.0,3.0,240.0,360.0,120.0,,0,RGB,201912,
셀텍 E-U3 실버 (기본),37990.0,https://prod.danawa.com/info/?pcode=9458247&cate=112775,셀텍,9458247,//img.danawa.com/prod_img/500000/247/458/img/9458247_1.jpg?shrink=330:*&_v=20190916091045,미니ITX,미니ITX(리틀밸리),,,0,,,1,,,,,,,,,,,,0,45.0,190.0,190.0,,,,,,,,,0,,201909,
1st HANYANG K4U SP 랙마운트 4U Server,102000.0,https://prod.danawa.com/info/?pcode=2401212&cate=112775,1st HANYANG,2401212,//img.danawa.com/prod_img/500000/212/401/img/2401212_1.jpg?shrink=330:*&_v=20140114084643,랙마운트,랙마운트(4U),파워미포함,표준-ATX,0,2,9,,7.0,,,,,,,80mm,120mm,,,1,221.0,177.0,505.0,260.0,,,,,,,,0,,201401,
BIGS LUNA 블랙,23630.0,https://prod.danawa.com/info/?pcode=1875773&cate=112775,BIGS,1875773,//img.danawa.com/prod_img/500000/773/875/img/1875773_1.jpg?shrink=330:*&_v=20170413143920,PC케이스(M-ATX),미니타워,파워미포함,표준-ATX,4,2,2,3,4.0,,,,,,통풍구,80mm,,,,1,180.0,380.0,413.0,,,,,,,,,0,,201212,
IN WIN B1 PURE (해외구매) (화이트),,https://prod.danawa.com/info/?pcode=17431889&cate=112775,IN WIN,17431889,//img.danawa.com/prod_img/500000/889/431/img/17431889_1.jpg?shrink=330:*&_v=20220711131055,미니ITX,미니ITX(리틀밸리),200W,M-ATX(SFX),0,,,2,,,1.0,,,,,,,80mm x1,,0,302.0,108.0,238.0,,60.0,,,,,,,0,,202207,
PB이노베이션 GENIIUM PBC07 (BG),418700.0,https://prod.danawa.com/info/?pcode=11450361&cate=112775,PB이노베이션,11450361,//img.danawa.com/prod_img/500000/361/450/img/11450361_1.jpg?shrink=330:*&_v=20201013160646,,미들타워,,표준-ATX,38,,,3,7.0,,,,,,강화유리,,,,,2,211.0,455.0,495.0,350.0,160.0,,,360.0,,,,0,,202006,
