program_id,cpu_id,gpu_id,ram,dx,storage,os,spec_class
58,375,,8,,,"Windows 7,10",1
59,400,1072.0,2,Version 10,2,Windows XP/Vista/7/8/10 (32 or 64 bit),0
59,114,1105.0,2,Version 10,2,Windows 7/8/10 (64 bit),1
60,216,1135.0,4,,1,"Windows 7 SP1, Windows 8.1 or later, Windows 10",0
61,311,911.0,4,Version 11,50,Windows 7 / 8 / 8.1 / 10 (64-bit OS required),0
61,150,876.0,8,Version 11,50,Windows 7 / 8 / 8.1 / 10 (64-bit OS required),1
62,400,1106.0,2,9.0c,16,"Windows XP , Windows Vista, Windows 7, 8 (32 or 64 bit versions, optimized for 64 bit and multicore processors )",0
62,374,1106.0,4,9.0c,20,"Windows Vista, Windows 7, 8 (32 or 64 bit versions, optimized for 64 bit and multicore processors )",1
63,400,123.0,1,Version 11,1,"Windows 7, 8, 8.1, 10",0
64,400,123.0,2,9.0c,0.2,Windows XP with SP3 / Vista / 7,0
64,320,421.0,4,9.0c,,Windows XP with SP3 / Vista / 7,1
65,400,1103.0,1,DirectX® 9.0c,0.12,Windows Vista/XP,0
66,123,1005.0,8,Version 12,30,"Windows 10, 64-bit",0
66,22,674.0,16,Version 12,30,"Windows 10, 64-bit",1
67,356,1173.0,1,DirectX® 9.0c,2.6,Windows XP SP2/Vista,0
68,328,1106.0,2.0,10,15,WINDOWS VISTA/WINDOWS 7/WINDOWS 8,0
68,287,1079.0,4.0,11,15,WINDOWS VISTA/WINDOWS 7/WINDOWS 8,1
69,400,1097.0,0.25,DirectX® version 9.0c (included) or higher,1.4,Windows® 98/SE/Me/2000/XP,0
69,400,1103.0,0.375,DirectX® version 9.0c (included) or higher,3.5,Windows® 98/SE/Me/2000/XP,1
70,400,1097.0,0.25,DirectX® version 9.0c (included) or higher,,Windows® 98/SE/Me/2000/XP,0
70,400,1103.0,0.375,DirectX® version 9.0c (included) or higher,,Windows® 98/SE/Me/2000/XP,1
71,196,1106.0,8,Version 11,5,Windows® 8.1 64-bit / Windows® 10 64-bit,0
71,351,1065.0,8,Version 11,5,Windows® 8.1 64-bit / Windows® 10 64-bit,1
72,400,1153.0,4,,2.5,Windows 7/8 64-bit,0
72,328,421.0,8,,2.5,Windows 7/8/10 64-bit,1
73,265,911.0,12,Version 11,21,"Windows 10, 64-bit",0
75,400,1102.0,1,Version 9.0,1.7,Windows XP/Windows Vista/Windows 7/Windows 8/Windows 10,0
75,182,1102.0,2,Version 9.0,1.7,Windows XP/Windows Vista/Windows 7/Windows 8/Windows 10,1
76,400,,1,,0.12,Windows XP,0
76,182,,1,,0.12,Windows 7,1
77,400,123.0,4,Version 11,4,Windows 7,0
77,364,1007.0,4,Version 11,4,Windows 10,1
78,369,1068.0,8,Version 11,6.0,Windows 64 bits,0
78,297,1135.0,16,Version 11,6.0,Windows 10 64 bits,1
79,182,1103.0,0.25,DirectX 9.0 (included with download),5.5,Windows 2000/XP,0
79,400,1173.0,0.5,DirectX 9.0 (included with download),5.5,Windows 2000/XP,1
80,375,,0.5,Version 9.0,0.06,Windows XP,0
81,400,1173.0,0.5,Version 10,0.7,Microsoft® Windows® Vista or higher,0
81,292,72.0,1,Version 11,0.7,Microsoft® Windows® 7 or higher,1
82,198,1106.0,4,Version 9.0c,3,Windows 7 / 8 / 10,0
82,400,,4,Version 11,5,Windows 10,1
83,400,1106.0,1,,1,"Windows®XP™ SP2, Windows®Vista™ or Windows®7",0
83,400,72.0,4,,2,"Windows®XP™ SP2, Windows®Vista™ or Windows®7",1
84,424,1072.0,1,Version 9.0c,0.5,Windows 7,0
84,424,,2,Version 9.0c,1,Windows 10,1
85,375,,2,,1,Windows XP or later,0
86,375,1103.0,2,,2,Windows XP SP2+,0
87,400,1106.0,4,Version 10,2,Windows 7,0
87,114,896.0,8,Version 11,2,Windows 10,1
88,162,1072.0,1.953125,Version 10,0.5,"Windows 10, 64-bit",0
89,287,421.0,4,,,Windows 10 (64-bit),0
89,216,102.0,8,,,Windows 10 (64-bit),1
90,424,896.0,4,Version 11,3,"Win 7, 8, 10, 64bit",0
90,320,200.0,4,Version 11,3,"Win 7, 8, 10, 64bit",1
91,401,1065.0,4,Version 9.0c,4,Windows Vista (32bit),0
91,114,1079.0,8,Version 11,4,Windows 7 (64bit) or higher,1
92,280,872.0,8,Version 12,25,Windows® 10 64 bit,0
92,180,990.0,16,Version 12,25,Windows 10 64-bit,1
93,400,,0.25,DirectX 8.0,1.5,Win 98/2000/XP/ME ,0
93,400,,0.5,DirectX 9.0,1.5,Win 98/2000/XP/ME ,1
94,182,200.0,2,Version 11,,Windows 7,0
94,400,1102.0,3,Version 11,,Windows 7,1
95,120,872.0,12,Version 11,,Windows 10 - 64 bit,0
96,126,102.0,12,,30,Windows 10 64-bit,0
96,223,990.0,16,,30,Windows 10 64-bit,1
97,423,1097.0,2,Version 11,5,Windows® Vista/7/ 8/10 64-bit (latest Service Pack),0
98,400,200.0,3,DirectX 9.0c,,Windows XP SP 2 / Windows Vista / Windows  7,0
99,259,200.0,1,Version 9.0c,1,Windows 7 and above,0
100,198,1106.0,4,Version 9.0c,3,Windows 7/8/10 (64-bit OS required),0
100,398,1007.0,8,Version 11,3,Windows 8/10 (64-bit OS required),1
101,328,421.0,4,Version 11,5,"Windows 7 SP1, 64-bit",0
101,263,1192.0,8,Version 11,5,"Windows 10, 64-bit",1
102,299,1068.0,4,,5,Windows 7 64 Bit,0
102,251,323.0,8,,5,Windows 10 64 Bit,1
103,182,1079.0,4,Version 10,,"Windows 7, Windows 8, Windows 8.1, Windows 10 (64-bit)",0
103,400,102.0,8,Version 11,,"Windows 7, Windows 8, Windows 8.1, Windows 10 (64-bit)",1
104,162,1098.0,6,Version 11,10,Windows 10 (64-bit),0
104,114,898.0,16,Version 11,10,Windows 10 (64-bit),1
106,259,1173.0,2.0,Version 9.0c,,Windows XP/Vista/7/8/10,0
106,400,1173.0,3.0,Version 9.0c,,Windows XP/Vista/7/8/10,1
