name,price,link,company,product_seq,image,category,size,power_included,power_support,board_support,bay_133,bay_89,bay_64,pci_horizontal,pci_vertical,cooling_fan,led_fan,front_type,side_open,side_type,back_vent,front_vent,top_vent,bottom_vent,external_port,width,height,depth,gpu_size,cpu_cooler_size,power_size,liquid_cooler,radiator_top,radiator_front,radiator_rear,radiator_side,feature,led_color,reg_date,bookmark
앱코 V30 스퀘어 강화유리,37830,https://prod.danawa.com/info/?pcode=24138818&cate=112775,앱코,24138818,//img.danawa.com/prod_img/500000/818/138/img/24138818_1.jpg?shrink=330:*&_v=20230807081247,PC케이스(ATX),미들타워,파워미포함,,38,,2,4,7.0,2,6,4,메쉬,,강화유리,120mm LED x1,120mm LED x3,120mm x2,,3,210,475,352이하,335,165,,2,280.0,360.0,120.0,,0,,202307,
3RSYS S403 Quiet (블랙),68000,https://prod.danawa.com/info/?pcode=20220104&cate=112775,3RSYS,20220104,//img.danawa.com/prod_img/500000/104/220/img/20220104_1.jpg?shrink=330:*&_v=20230526163747,PC케이스(M-ATX),미니타워,,,20,,2,2,5.0,,3,3,강화유리,,강화유리,120mm LED x1,,,,6,285,370,425,400,160,200 ,,360.0,,,280.0,0,,202305,
DAVEN V200 (BLACK),18180,https://prod.danawa.com/info/?pcode=20598131&cate=112775,DAVEN,20598131,//img.danawa.com/prod_img/500000/131/598/img/20598131_1.jpg?shrink=330:*&_v=20230807102510,PC케이스(M-ATX),미니타워,파워미포함,표준-ATX,36,,2,2,,,1,,,,강철,80mm x1,,,,3,165,378,260,250,140,190,,,,,,0,,202306,
DAVEN APEX MESH 강화유리 (Black),47700,https://prod.danawa.com/info/?pcode=21625646&cate=112775,DAVEN,21625646,//img.danawa.com/prod_img/500000/646/625/img/21625646_1.jpg?shrink=330:*&_v=20230728091457,PC케이스(ATX),미들타워,,,22,,2,4,7.0,3,4,4,메쉬,스윙도어,강화유리,140mm LED x1,140mm LED x3,,,11,220,490,395,350,185,160~190,3,280.0,360.0,140.0,,0,LED 색상,202307,
잘만 Z9 아이스버그 MS (Black),122510,https://prod.danawa.com/info/?pcode=27678524&cate=112775,잘만,27678524,//img.danawa.com/prod_img/500000/524/678/img/27678524_1.jpg?shrink=330:*&_v=20230821154214,PC케이스(ATX),미들타워,,,39,,4,,7.0,3,4,4,메쉬,,강화유리,140mm LED x1,140mm LED x3,,,11,245,496,478,390,185,195~270,3,360.0,360.0,140.0,,0,LED 색상,202308,
리안리 PC-O11D EVO XL (Black),374780,https://prod.danawa.com/info/?pcode=27499652&cate=112775,리안리,27499652,//img.danawa.com/prod_img/500000/652/499/img/27499652_1.jpg?shrink=330:*&_v=20230905152225,PC케이스(ATX),,파워미포함,표준-ATX,39,,4,3,8.0,,,,,,강화유리,,,,,10,304,531.9,522,460,167,220,3,360.0,,,360.0,0,LED 색상,202308,
BRAVOTEC 스텔스 EX270 파노라마 윈도우 (블랙),66470,https://prod.danawa.com/info/?pcode=3471240&cate=112775,BRAVOTEC,3471240,//img.danawa.com/prod_img/500000/240/471/img/3471240_1.jpg?shrink=330:*&_v=20220506162957,PC케이스(ATX),빅타워,파워미포함,표준-ATX,39,최대 3,4,,8.0,,5,,,,아크릴,120mm,120mm 화이트 LED x2,120mm x 2,,3,210,505,510,310,최대 165,300,3,360.0,240.0,120.0,,0,,201510,
DAVEN D4 MESH (BLACK),35250,https://prod.danawa.com/info/?pcode=19583933&cate=112775,DAVEN,19583933,//img.danawa.com/prod_img/500000/933/583/img/19583933_1.jpg?shrink=330:*&_v=20230403123322,PC케이스(ATX),미들타워,파워미포함,표준-ATX,22,,2,2,7.0,,4,4,메쉬,,강화유리,120mm LED x1,120mm LED x3,,,3,216,463,366,330,173,150~170,3,280.0,360.0,120.0,,0,LED 색상,202303,
DAVEN V300 (Black),37020,https://prod.danawa.com/info/?pcode=20685455&cate=112775,DAVEN,20685455,//img.danawa.com/prod_img/500000/455/685/img/20685455_1.jpg?shrink=330:*&_v=20230713080546,PC케이스(M-ATX),미니타워,파워미포함,,20,,2,3,,,3,,,,강화유리,120mm x1,120mm x2,,,1,275,304,350,315,160,210,2,,,120.0,240.0,0,,202306,
앱코 O20M 오피스 (화이트),21000,https://prod.danawa.com/info/?pcode=27922283&cate=112775,앱코,27922283,//img.danawa.com/prod_img/500000/283/922/img/27922283_1.jpg?shrink=330:*&_v=20230904104326,PC케이스(M-ATX),미니타워,파워미포함,표준-ATX,36,,2,1,3.0,,1,,,,통풍구,92mm x1,,,,3,165,350,280,260,145,140~275,,,,,,0,,202308,
1stPlayer Mi8 WING (White),,https://prod.danawa.com/info/?pcode=27477173&cate=112775,1stPlayer,27477173,//img.danawa.com/prod_img/500000/173/477/img/27477173_1.jpg?shrink=330:*&_v=20230913080857,PC케이스(ATX),미들타워,파워미포함,,22,,3,,7.0,,4,4,강화유리,,강화유리,120mm LED x1,,,,10,245,475,450,425,180,180,,360.0,,,360.0,0,,202308,
3RSYS S406 Quiet GI (블랙),78100,https://prod.danawa.com/info/?pcode=27672713&cate=112775,3RSYS,27672713,//img.danawa.com/prod_img/500000/713/672/img/27672713_1.jpg?shrink=330:*&_v=20230821102611,PC케이스(ATX),미들타워,파워미포함,표준-ATX,22,,2,2,7.0,,4,4,강화유리,,강화유리,120mm LED x1,,,,7,210,465,420,410,165,210,3,360.0,,,,0,LED 색상,202308,
3RSYS S401 Quiet (화이트),96000,https://prod.danawa.com/info/?pcode=18564128&cate=112775,3RSYS,18564128,//img.danawa.com/prod_img/500000/128/564/img/18564128_1.jpg?shrink=330:*&_v=20230525171631,PC케이스(ATX),미들타워,파워미포함,표준-ATX,22,,1,2,7.0,,4,4,강화유리,,강화유리,,,,,6,285,400,440,400,160,200,3,360.0,,120.0,280.0,0,LED 색상,202212,
