name,price,link,company,product_seq,image,chipset_company,chipset,nm,base_clock,boost_clock,cuda_processor,stream_processor,interface,memory_type,memory_capacity,memory_clock,memory_bus,port,monitor_support,additional_function,usage_power,recommend_power,cooling_type,pan_number,length,thickness,pin,feature,as_years,bench_mark,reg_date,bookmark
이엠텍 지포스 RTX 4070 Ti GAMINGPRO D6X 12GB,1128990.0,https://prod.danawa.com/info/?pcode=18668606&cate=112753,이엠텍,18668606,//img.danawa.com/prod_img/500000/606/668/img/18668606_1.jpg?shrink=330:*&_v=20230105230006,NVIDIA,RTX 4070 Ti,4,2310,2610.0,7680.0,,PCIe4.0x16,GDDR6X(DDR6X),,21000.0,192.0,4,4.0,57,285.0,750.0,11,3.0,328.9,63.4,100,7,3.0,,202301,
이엠텍 지포스 RTX 4060 Ti STORM X Dual OC D6 8GB,565530.0,https://prod.danawa.com/info/?pcode=20274764&cate=112753,이엠텍,20274764,//img.danawa.com/prod_img/500000/764/274/img/20274764_1.jpg?shrink=330:*&_v=20230524215959,NVIDIA,RTX 4060 Ti,4,2310,2685.0,4352.0,,PCIe4.0x16(at x8),GDDR6(DDR6),,18000.0,128.0,4,4.0,185,160.0,650.0,9,2.0,249.9,40.1,10000,7,3.0,,202305,
갤럭시 GALAX 지포스 RTX 4070 EX GAMER WHITE OC D6X 12GB,844610.0,https://prod.danawa.com/info/?pcode=19773293&cate=112753,갤럭시,19773293,//img.danawa.com/prod_img/500000/293/773/img/19773293_1.jpg?shrink=330:*&_v=20230413215954,NVIDIA,RTX 4070,,1920,2535.0,5888.0,,PCIe4.0x16,GDDR6X(DDR6X),,21000.0,192.0,4,,9,215.0,600.0,11,3.0,323.0,48,10000,5,3.0,,202304,
이엠텍 지포스 RTX 3060 STORM X Dual OC D6 12GB,383300.0,https://prod.danawa.com/info/?pcode=13463144&cate=112753,이엠텍,13463144,//img.danawa.com/prod_img/500000/144/463/img/13463144_1.jpg?shrink=330:*&_v=20220711095454,NVIDIA,RTX 3060,8,,1837.0,3584.0,,PCIe4.0x16,GDDR6(DDR6),,15000.0,192.0,4,4.0,185,180.0,550.0,11,2.0,245.0,40,10000,7,3.0,,202102,
SAPPHIRE 라데온 RX 7600 PULSE OC D6 8GB,376190.0,https://prod.danawa.com/info/?pcode=20315144&cate=112753,SAPPHIRE,20315144,//img.danawa.com/prod_img/500000/144/315/img/20315144_1.jpg?shrink=330:*&_v=20230825095444,AMD(ATi),RX 7600,,,2754.0,,2048,PCIe4.0,GDDR6(DDR6),,18000.0,128.0,4,,57,,550.0,11,2.0,240.0,44.07,10000,1,3.0,,202305,
ZOTAC GAMING 지포스 RTX 4060 Ti TWIN Edge D6 8GB,555980.0,https://prod.danawa.com/info/?pcode=20308373&cate=112753,ZOTAC,20308373,//img.danawa.com/prod_img/500000/373/308/img/20308373_1.jpg?shrink=330:*&_v=20230524215959,NVIDIA,RTX 4060 Ti,4,,2535.0,4352.0,,PCIe4.0x16(at x8),GDDR6(DDR6),,18000.0,128.0,4,4.0,1,160.0,500.0,11,2.0,225.5,40.1,10000,5,3.0,,202305,
이엠텍 지포스 GTX 1660 SUPER MIRACLE II D6 6GB,249340.0,https://prod.danawa.com/info/?pcode=18767216&cate=112753,이엠텍,18767216,//img.danawa.com/prod_img/500000/216/767/img/18767216_1.jpg?shrink=330:*&_v=20230126172252,NVIDIA,GTX 1660 SUPER,12,1530,1785.0,1408.0,,PCIe3.0x16,GDDR6(DDR6),,14000.0,192.0,1028,3.0,312,125.0,450.0,11,2.0,220.0,45,10000,1,3.0,,202301,
ASUS DUAL 지포스 RTX 4060 O8G OC D6 8GB,429720.0,https://prod.danawa.com/info/?pcode=20696243&cate=112753,ASUS,20696243,//img.danawa.com/prod_img/500000/243/696/img/20696243_1.jpg?shrink=330:*&_v=20230711103226,NVIDIA,RTX 4060,4,,2535.0,3072.0,,PCIe4.0,GDDR6(DDR6),,17000.0,128.0,4,4.0,155,,550.0,9,2.0,227.2,49.6,10000,1,3.0,,202306,
이엠텍 지포스 RTX 4060 STORM X Dual OC D6 8GB,431470.0,https://prod.danawa.com/info/?pcode=27161939&cate=112753,이엠텍,27161939,//img.danawa.com/prod_img/500000/939/161/img/27161939_1.jpg?shrink=330:*&_v=20230807125840,NVIDIA,RTX 4060,4,1830,2670.0,3072.0,,PCIe4.0x16(at x8),GDDR6(DDR6),,17000.0,128.0,4,4.0,185,115.0,600.0,11,2.0,249.9,40.2,10000,5,,,202308,
GIGABYTE 지포스 RTX 3060 Ti Gaming OC D6X 8GB 피씨디렉트,528090.0,https://prod.danawa.com/info/?pcode=18713942&cate=112753,GIGABYTE,18713942,//img.danawa.com/prod_img/500000/942/713/img/18713942_1.jpg?shrink=330:*&_v=20230110131820,NVIDIA,RTX 3060 Ti,8,1755,,4864.0,,PCIe4.0x16,GDDR6X(DDR6X),,19000.0,256.0,4,4.0,57,,750.0,11,3.0,286.0,59,20000,5,3.0,,202301,
이엠텍 지포스 RTX 4090 GAMEROCK OC D6X 24GB,2475190.0,https://prod.danawa.com/info/?pcode=18108812&cate=112753,이엠텍,18108812,//img.danawa.com/prod_img/500000/812/108/img/18108812_1.jpg?shrink=330:*&_v=20221026124717,NVIDIA,RTX 4090,4,2235,2610.0,16384.0,,PCIe4.0x16,GDDR6X(DDR6X),,21000.0,384.0,4,4.0,249,450.0,1000.0,15,3.0,329.4,71.5,100,7,3.0,,202210,
ASUS ProArt 지포스 RTX 4070 Ti O12G OC D6X 12GB,1152260.0,https://prod.danawa.com/info/?pcode=20500949&cate=112753,ASUS,20500949,//img.danawa.com/prod_img/500000/949/500/img/20500949_1.jpg?shrink=330:*&_v=20230612094310,NVIDIA,RTX 4070 Ti,4,,2640.0,7680.0,,PCIe4.0x16,GDDR6X(DDR6X),,21000.0,192.0,4,4.0,177,,750.0,11,3.0,300.0,50,100,1,,,202306,
MSI 지포스 RTX 4070 게이밍 X 트리오 D6X 12GB 트라이프로져3,888970.0,https://prod.danawa.com/info/?pcode=19781723&cate=112753,MSI,19781723,//img.danawa.com/prod_img/500000/723/781/img/19781723_1.jpg?shrink=330:*&_v=20230627163538,NVIDIA,RTX 4070,4,,2625.0,5888.0,,PCIe4.0x16,GDDR6X(DDR6X),,21000.0,192.0,4,,314,215.0,650.0,11,3.0,338.0,59,100,5,,,202304,
MSI 지포스 RTX 4070 Ti 게이밍 X 트리오 D6X 12GB 트라이프로져3,1246900.0,https://prod.danawa.com/info/?pcode=18686444&cate=112753,MSI,18686444,//img.danawa.com/prod_img/500000/444/686/img/18686444_1.jpg?shrink=330:*&_v=20230106125403,NVIDIA,RTX 4070 Ti,4,,2745.0,7680.0,,PCIe4.0x16,GDDR6X(DDR6X),,21000.0,192.0,4,4.0,377,285.0,700.0,11,3.0,337.0,62,100,7,3.0,,202301,
이엠텍 지포스 RTX 4060 Ti STORM X Dual D6 8GB,557000.0,https://prod.danawa.com/info/?pcode=20274611&cate=112753,이엠텍,20274611,//img.danawa.com/prod_img/500000/611/274/img/20274611_1.jpg?shrink=330:*&_v=20230524215959,NVIDIA,RTX 4060 Ti,4,2310,2535.0,4352.0,,PCIe4.0x16(at x8),GDDR6(DDR6),,18000.0,128.0,4,4.0,185,160.0,650.0,9,2.0,249.9,40.1,10000,7,3.0,,202305,
ASUS DUAL 지포스 RTX 4070 O12G OC D6X 12GB,807020.0,https://prod.danawa.com/info/?pcode=19756598&cate=112753,ASUS,19756598,//img.danawa.com/prod_img/500000/598/756/img/19756598_1.jpg?shrink=330:*&_v=20230417134852,NVIDIA,RTX 4070,,,2550.0,5888.0,,PCIe4.0x16,GDDR6X(DDR6X),,21000.0,192.0,4,4.0,153,,650.0,11,2.0,267.0,51.13,10000,1,,,202304,
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,408980.0,https://prod.danawa.com/info/?pcode=13512254&cate=112753,MSI,13512254,//img.danawa.com/prod_img/500000/254/512/img/13512254_1.jpg?shrink=330:*&_v=20220711084107,NVIDIA,RTX 3060,8,,1807.0,3584.0,,PCIe4.0x16,GDDR6(DDR6),,15000.0,192.0,4,4.0,184,170.0,550.0,11,2.0,235.0,42,10000,1,3.0,,202103,
SAPPHIRE 라데온 RX 7900 XTX NITRO+ Vapor-X OC D6 24GB,1559900.0,https://prod.danawa.com/info/?pcode=18704651&cate=112753,SAPPHIRE,18704651,//img.danawa.com/prod_img/500000/651/704/img/18704651_1.jpg?shrink=330:*&_v=20230110150909,AMD(ATi),RX 7900 XTX,5,,2680.0,,6144,PCIe4.0x16,GDDR6(DDR6),,20000.0,384.0,4,4.0,121,420.0,800.0,15,3.0,320.0,71.6,30000,5,3.0,,202301,
이엠텍 지포스 RTX 4080 BLACK STORM D6X 16GB,1499680.0,https://prod.danawa.com/info/?pcode=19702460&cate=112753,이엠텍,19702460,//img.danawa.com/prod_img/500000/460/702/img/19702460_1.jpg?shrink=330:*&_v=20230831165116,NVIDIA,RTX 4080,,2205,2505.0,9728.0,,PCIe4.0x16,GDDR6X(DDR6X),,22400.0,256.0,4,4.0,57,320.0,850.0,11,3.0,328.9,63.5,100,3,3.0,,202304,
MSI 지포스 RTX 4090 슈프림 X D6X 24GB 트라이프로져3S,2666790.0,https://prod.danawa.com/info/?pcode=17982335&cate=112753,MSI,17982335,//img.danawa.com/prod_img/500000/335/982/img/17982335_1.jpg?shrink=330:*&_v=20221017142321,NVIDIA,RTX 4090,4,,2625.0,16384.0,,PCIe4.0x16,GDDR6X(DDR6X),,21000.0,384.0,4,4.0,377,480.0,1000.0,15,3.0,336.0,78,100,7,,,202210,
SAPPHIRE 라데온 RX 7800 XT NITRO+ OC D6 16GB,807140.0,https://prod.danawa.com/info/?pcode=28057739&cate=112753,SAPPHIRE,28057739,//img.danawa.com/prod_img/500000/739/057/img/28057739_1.jpg?shrink=330:*&_v=20230908105834,AMD(ATi),RX 7800 XT,,,2565.0,,3840,PCIe4.0x16,GDDR6(DDR6),,19500.0,256.0,4,4.0,88,288.0,700.0,11,3.0,320.0,61.57,20000,5,3.0,,202309,
MSI 라데온 RX 6600 메크 2X D6 8GB,259000.0,https://prod.danawa.com/info/?pcode=15435041&cate=112753,MSI,15435041,//img.danawa.com/prod_img/500000/041/435/img/15435041_1.jpg?shrink=330:*&_v=20220713161453,AMD(ATi),RX 6600,7,,2491.0,,1792,PCIe4.0x16(at x8),GDDR6(DDR6),,14000.0,128.0,4,4.0,185,132.0,500.0,11,2.0,235.0,46,10000,1,3.0,,202110,
이엠텍 지포스 RTX 4060 MIRACLE BLACK D6 8GB,417680.0,https://prod.danawa.com/info/?pcode=24703415&cate=112753,이엠텍,24703415,//img.danawa.com/prod_img/500000/415/703/img/24703415_1.jpg?shrink=330:*&_v=20230803175750,NVIDIA,RTX 4060,4,1830,2460.0,3072.0,,PCIe4.0x16(at x8),GDDR6(DDR6),,17000.0,128.0,4,,185,115.0,600.0,11,2.0,252.0,42,10000,5,3.0,,202307,
ZOTAC GAMING 지포스 RTX 3060 TWIN Edge D6 8GB,348790.0,https://prod.danawa.com/info/?pcode=18348743&cate=112753,ZOTAC,18348743,//img.danawa.com/prod_img/500000/743/348/img/18348743_1.jpg?shrink=330:*&_v=20221123090614,NVIDIA,RTX 3060,8,,1777.0,3574.0,,PCIe4.0x16,GDDR6(DDR6),,15000.0,128.0,4,4.0,185,170.0,600.0,11,2.0,224.1,39.2,10000,1,3.0,,202211,
이엠텍 지포스 RTX 3060 Ti MIRACLE II D6 8GB,463080.0,https://prod.danawa.com/info/?pcode=27887297&cate=112753,이엠텍,27887297,//img.danawa.com/prod_img/500000/297/887/img/27887297_1.jpg?shrink=330:*&_v=20230830123749,NVIDIA,RTX 3060 Ti,8,1410,1665.0,4864.0,,PCIe4.0x16,GDDR6(DDR6),,,,4,4.0,57,,,9,2.0,230.0,,10000,1,3.0,,202308,
XFX 라데온 RX 7800 XT MERC 319 BLACK D6 16GB,798320.0,https://prod.danawa.com/info/?pcode=28030553&cate=112753,XFX,28030553,//img.danawa.com/prod_img/500000/553/030/img/28030553_1.jpg?shrink=330:*&_v=20230906221710,AMD(ATi),RX 7800 XT,,,2565.0,,3840,PCIe4.0,GDDR6(DDR6),,19500.0,256.0,4,4.0,25,,700.0,11,3.0,326.0,58,20000,5,3.0,,202309,
MSI 지포스 RTX 4060 Ti 벤투스 2X 블랙 OC D6 8GB,568790.0,https://prod.danawa.com/info/?pcode=20312969&cate=112753,MSI,20312969,//img.danawa.com/prod_img/500000/969/312/img/20312969_1.jpg?shrink=330:*&_v=20230525094946,NVIDIA,RTX 4060 Ti,4,,2580.0,4352.0,,PCIe4.0x16(at x8),GDDR6(DDR6),,18000.0,128.0,4,4.0,185,160.0,550.0,11,2.0,199.0,42,10000,3,,,202305,
MSI 지포스 RTX 4060 벤투스 2X 블랙 OC D6 8GB,420200.0,https://prod.danawa.com/info/?pcode=20740013&cate=112753,MSI,20740013,//img.danawa.com/prod_img/500000/013/740/img/20740013_1.jpg?shrink=330:*&_v=20230630130944,NVIDIA,RTX 4060,4,,2505.0,3072.0,,PCIe4.0x16(at x8),GDDR6(DDR6),,17000.0,128.0,4,4.0,185,115.0,550.0,11,2.0,199.0,41,10000,1,,,202306,
이엠텍 지포스 RTX 4070 GAMINGPRO D6X 12GB,868990.0,https://prod.danawa.com/info/?pcode=19755191&cate=112753,이엠텍,19755191,//img.danawa.com/prod_img/500000/191/755/img/19755191_1.jpg?shrink=330:*&_v=20230413215944,NVIDIA,RTX 4070,4,1920,2475.0,5888.0,,PCIe4.0x16,GDDR6X(DDR6X),,21000.0,192.0,4,4.0,57,200.0,750.0,11,3.0,328.9,63.4,100,7,3.0,,202304,
MSI 지포스 RTX 4070 Ti 벤투스 3X OC D6X 12GB,1153070.0,https://prod.danawa.com/info/?pcode=18686546&cate=112753,MSI,18686546,//img.danawa.com/prod_img/500000/546/686/img/18686546_1.jpg?shrink=330:*&_v=20230106125343,NVIDIA,RTX 4070 Ti,4,,2640.0,7680.0,,PCIe4.0x16,GDDR6X(DDR6X),,21000.0,192.0,4,4.0,313,285.0,700.0,11,3.0,308.0,59,100,3,3.0,,202301,
이엠텍 지포스 RTX 4070 Ti BLACK STORM D6X 12GB,1112000.0,https://prod.danawa.com/info/?pcode=20502104&cate=112753,이엠텍,20502104,//img.danawa.com/prod_img/500000/104/502/img/20502104_1.jpg?shrink=330:*&_v=20230612111018,NVIDIA,RTX 4070 Ti,4,,2610.0,7680.0,,PCIe4.0x16,GDDR6X(DDR6X),,21000.0,192.0,4,4.0,185,285.0,750.0,11,3.0,328.9,63.5,100,3,3.0,,202306,
ASUS DUAL 라데온 RX 6600 D6 8GB 대원씨티에스,254270.0,https://prod.danawa.com/info/?pcode=15605021&cate=112753,ASUS,15605021,//img.danawa.com/prod_img/500000/021/605/img/15605021_1.jpg?shrink=330:*&_v=20220712091952,AMD(ATi),RX 6600,7,,2491.0,,1792,PCIe4.0x16(at x8),GDDR6(DDR6),,14000.0,128.0,4,4.0,185,,500.0,11,2.0,243.0,49,10000,1,3.0,,202111,
갤럭시 GALAX 지포스 RTX 4060 Ti EX WHITE OC D6 8GB,641930.0,https://prod.danawa.com/info/?pcode=20297981&cate=112753,갤럭시,20297981,//img.danawa.com/prod_img/500000/981/297/img/20297981_1.jpg?shrink=330:*&_v=20230524215959,NVIDIA,RTX 4060 Ti,4,2310,2640.0,4352.0,,PCIe4.0x16(at x8),GDDR6(DDR6),,18000.0,128.0,4,4.0,185,160.0,550.0,11,2.0,251.0,40,10000,5,3.0,,202305,
ZOTAC GAMING 지포스 RTX 3060 TWIN Edge OC D6 12GB LHR,388110.0,https://prod.danawa.com/info/?pcode=14853878&cate=112753,ZOTAC,14853878,//img.danawa.com/prod_img/500000/878/853/img/14853878_1.jpg?shrink=330:*&_v=20220711103029,NVIDIA,RTX 3060,8,,1807.0,3584.0,,PCIe4.0x16,GDDR6(DDR6),,15000.0,192.0,4,4.0,185,170.0,600.0,11,2.0,224.1,39.2,10000,1,3.0,,202107,
갤럭시 GALAX 지포스 RTX 4070 Ti EX GAMER WHITE OC D6X 12GB,1149080.0,https://prod.danawa.com/info/?pcode=19060016&cate=112753,갤럭시,19060016,//img.danawa.com/prod_img/500000/016/060/img/19060016_1.jpg?shrink=330:*&_v=20230307130706,NVIDIA,RTX 4070 Ti,4,2310,2670.0,7680.0,,PCIe4.0x16,GDDR6X(DDR6X),,21000.0,192.0,4,4.0,57,285.0,800.0,11,3.0,323.0,60,100,5,,,202302,
MSI 지포스 RTX 4060 게이밍 X D6 8GB 트윈프로져9,450200.0,https://prod.danawa.com/info/?pcode=20739584&cate=112753,MSI,20739584,//img.danawa.com/prod_img/500000/584/739/img/20739584_1.jpg?shrink=330:*&_v=20230724170312,NVIDIA,RTX 4060,4,,2610.0,3072.0,,PCIe4.0x16(at x8),GDDR6(DDR6),,17000.0,128.0,4,4.0,185,115.0,550.0,11,2.0,247.0,41,10000,5,,,202306,
XFX 라데온 RX 7700 XT QICK 319 BLACK D6 12GB,703000.0,https://prod.danawa.com/info/?pcode=28030793&cate=112753,XFX,28030793,//img.danawa.com/prod_img/500000/793/030/img/28030793_1.jpg?shrink=330:*&_v=20230906221710,AMD(ATi),RX 7700 XT,,,2600.0,,3456,PCIe4.0,GDDR6(DDR6),,18000.0,192.0,4,4.0,25,,700.0,11,3.0,335.0,52,20000,1,3.0,,202309,
갤럭시 GALAX 지포스 RTX 4060 EX WHITE OC D6 8GB,455680.0,https://prod.danawa.com/info/?pcode=20729429&cate=112753,갤럭시,20729429,//img.danawa.com/prod_img/500000/429/729/img/20729429_1.jpg?shrink=330:*&_v=20230629233748,NVIDIA,RTX 4060,4,1830,2565.0,3072.0,,PCIe4.0x16(at x8),GDDR6(DDR6),,17000.0,128.0,4,4.0,185,115.0,550.0,11,2.0,251.0,40,10000,5,3.0,,202306,
ASUS DUAL 지포스 RTX 3070 O8G OC D6 8GB,648990.0,https://prod.danawa.com/info/?pcode=15754070&cate=112753,ASUS,15754070,//img.danawa.com/prod_img/500000/070/754/img/15754070_1.jpg?shrink=330:*&_v=20211123110458,NVIDIA,RTX 3070,8,,1800.0,5888.0,,PCIe4.0x16,GDDR6(DDR6),,14000.0,256.0,4,4.0,249,,750.0,11,2.0,267.0,59,20000,5,,,202111,
이엠텍 지포스 RTX 3060 MIRACLE V2 D6 12GB,374740.0,https://prod.danawa.com/info/?pcode=21444533&cate=112753,이엠텍,21444533,//img.danawa.com/prod_img/500000/533/444/img/21444533_1.jpg?shrink=330:*&_v=20230823143435,NVIDIA,RTX 3060,8,1320,1777.0,3584.0,,PCIe4.0x16,GDDR6(DDR6),,15000.0,192.0,4,,184,170.0,550.0,11,2.0,250.0,42,10000,7,3.0,,202307,
PowerColor 라데온 RX 6700 XT Fighter D6 12GB,448710.0,https://prod.danawa.com/info/?pcode=20145302&cate=112753,PowerColor,20145302,//img.danawa.com/prod_img/500000/302/145/img/20145302_1.jpg?shrink=330:*&_v=20230512152321,AMD(ATi),RX 6700 XT,7,,2581.0,,2560,PCIe4.0x16,GDDR6(DDR6),,16000.0,192.0,4,4.0,57,,650.0,11,2.0,228.0,39,110000,1,3.0,,202305,
이엠텍 지포스 RTX 4090 GAMEROCK D6X 24GB,2378990.0,https://prod.danawa.com/info/?pcode=17980988&cate=112753,이엠텍,17980988,//img.danawa.com/prod_img/500000/988/980/img/17980988_1.jpg?shrink=330:*&_v=20221019171941,NVIDIA,RTX 4090,4,2235,2520.0,16384.0,,PCIe4.0x16,GDDR6X(DDR6X),,21000.0,384.0,4,4.0,249,450.0,1000.0,15,3.0,329.4,71.5,100,7,3.0,,202210,
GIGABYTE 지포스 RTX 4070 WINDFORCE OC D6X 12GB 제이씨현,826880.0,https://prod.danawa.com/info/?pcode=19772036&cate=112753,GIGABYTE,19772036,//img.danawa.com/prod_img/500000/036/772/img/19772036_1.jpg?shrink=330:*&_v=20230413215954,NVIDIA,RTX 4070,,,2490.0,5888.0,,PCIe4.0x16,GDDR6X(DDR6X),,21000.0,192.0,4,4.0,25,,650.0,15,3.0,261.0,59,10000,1,3.0,,202304,
XFX 라데온 RX 7800 XT QICK 319 CORE D6 16GB,794960.0,https://prod.danawa.com/info/?pcode=28031723&cate=112753,XFX,28031723,//img.danawa.com/prod_img/500000/723/031/img/28031723_1.jpg?shrink=330:*&_v=20230906221710,AMD(ATi),RX 7800 XT,,,2430.0,,3840,PCIe4.0,GDDR6(DDR6),,19500.0,256.0,4,4.0,25,,700.0,11,3.0,335.0,52,20000,1,3.0,,202309,
SAPPHIRE 라데온 RX 7800 XT PULSE D6 16GB,,https://prod.danawa.com/info/?pcode=28057757&cate=112753,SAPPHIRE,28057757,//img.danawa.com/prod_img/500000/757/057/img/28057757_1.jpg?shrink=330:*&_v=20230908110713,AMD(ATi),RX 7800 XT,5,,2430.0,,3840,PCIe4.0x16,GDDR6(DDR6),,19500.0,256.0,4,4.0,24,266.0,700.0,11,2.0,280.0,52.57,20000,1,3.0,,202309,
ZOTAC GAMING 지포스 RTX 4080 AMP EXTREME AIRO D6X 16GB,1589530.0,https://prod.danawa.com/info/?pcode=18302282&cate=112753,ZOTAC,18302282,//img.danawa.com/prod_img/500000/282/302/img/18302282_1.jpg?shrink=330:*&_v=20230831165645,NVIDIA,RTX 4080,4,,2565.0,9728.0,,PCIe4.0x16,GDDR6X(DDR6X),,22400.0,256.0,4,4.0,249,320.0,750.0,15,3.0,355.5,72.1,100,5,3.0,,202211,
GIGABYTE 지포스 RTX 4070 Ti WINDFORCE OC D6X 12GB 제이씨현,1157000.0,https://prod.danawa.com/info/?pcode=19644539&cate=112753,GIGABYTE,19644539,//img.danawa.com/prod_img/500000/539/644/img/19644539_1.jpg?shrink=330:*&_v=20230712154533,NVIDIA,RTX 4070 Ti,4,,2625.0,7680.0,,PCIe4.0x16,GDDR6X(DDR6X),,21000.0,192.0,4,4.0,281,,750.0,11,3.0,261.0,50,20000,1,3.0,,202304,
GIGABYTE 지포스 RTX 4060 Ti WINDFORCE OC D6 8GB 제이씨현,570920.0,https://prod.danawa.com/info/?pcode=20730644&cate=112753,GIGABYTE,20730644,//img.danawa.com/prod_img/500000/644/730/img/20730644_1.jpg?shrink=330:*&_v=20230629151718,NVIDIA,RTX 4060 Ti,4,,2550.0,4352.0,,PCIe4.0x16(at x8),GDDR6(DDR6),,18000.0,128.0,4,4.0,57,,500.0,11,2.0,201.0,41,10000,1,3.0,,202306,
COLORFUL 지포스 RTX 4060 토마호크 DUO D6 8GB,433050.0,https://prod.danawa.com/info/?pcode=20732270&cate=112753,COLORFUL,20732270,//img.danawa.com/prod_img/500000/270/732/img/20732270_1.jpg?shrink=330:*&_v=20230710140831,NVIDIA,RTX 4060,4,1830,2460.0,3072.0,,PCIe4.0x16(at x8),GDDR6(DDR6),,17000.0,128.0,4,4.0,185,140.0,550.0,11,2.0,248.9,41.9,10000,1,3.0,,202306,
이엠텍 지포스 RTX 4060 MIRACLE WHITE D6 8GB,428510.0,https://prod.danawa.com/info/?pcode=27507680&cate=112753,이엠텍,27507680,//img.danawa.com/prod_img/500000/680/507/img/27507680_1.jpg?shrink=330:*&_v=20230809173550,NVIDIA,RTX 4060,4,1830,2460.0,3072.0,,PCIe4.0x16(at x8),GDDR6(DDR6),,17000.0,128.0,4,,185,115.0,600.0,11,2.0,252.0,42,10000,5,3.0,,202308,
ZOTAC GAMING 지포스 RTX 4070 TWIN Edge OC D6X 12GB,789790.0,https://prod.danawa.com/info/?pcode=19714703&cate=112753,ZOTAC,19714703,//img.danawa.com/prod_img/500000/703/714/img/19714703_1.jpg?shrink=330:*&_v=20230413215944,NVIDIA,RTX 4070,,,2490.0,5888.0,,PCIe4.0x16,GDDR6X(DDR6X),,21000.0,192.0,4,4.0,185,200.0,600.0,11,2.0,225.5,40.1,10000,5,3.0,,202304,
MSI 지포스 RTX 4060 Ti 게이밍 X D6 8GB 트윈프로져9,615890.0,https://prod.danawa.com/info/?pcode=20441837&cate=112753,MSI,20441837,//img.danawa.com/prod_img/500000/837/441/img/20441837_1.jpg?shrink=330:*&_v=20230607123220,NVIDIA,RTX 4060 Ti,4,,2655.0,4352.0,,PCIe4.0x16(at x8),GDDR6(DDR6),,18000.0,128.0,4,4.0,185,160.0,550.0,11,2.0,247.0,42,10000,7,,,202306,
이엠텍 지포스 RTX 4060 STORM X Dual D6 8GB,423140.0,https://prod.danawa.com/info/?pcode=20723405&cate=112753,이엠텍,20723405,//img.danawa.com/prod_img/500000/405/723/img/20723405_1.jpg?shrink=330:*&_v=20230807125900,NVIDIA,RTX 4060,4,1830,2460.0,3072.0,,PCIe4.0x16(at x8),GDDR6(DDR6),,17000.0,128.0,4,4.0,185,115.0,600.0,11,2.0,249.9,40.2,10000,5,,,202306,
갤럭시 GALAX 지포스 RTX 3060 EX WHITE OC V2 D6 12GB,415000.0,https://prod.danawa.com/info/?pcode=14953979&cate=112753,갤럭시,14953979,//img.danawa.com/prod_img/500000/979/953/img/14953979_1.jpg?shrink=330:*&_v=20211013141936,NVIDIA,RTX 3060,8,,1807.0,3584.0,,PCIe4.0x16,GDDR6(DDR6),,15000.0,192.0,4,4.0,185,170.0,550.0,11,2.0,285.0,59,10000,7,3.0,,202108,
PowerColor 라데온 RX 7600 Fighter D6 8GB,353760.0,https://prod.danawa.com/info/?pcode=21196742&cate=112753,PowerColor,21196742,//img.danawa.com/prod_img/500000/742/196/img/21196742_1.jpg?shrink=330:*&_v=20230705170719,AMD(ATi),RX 7600,,,2655.0,,2048,PCIe4.0x16(at x8),GDDR6(DDR6),,18000.0,128.0,4,,25,,550.0,11,2.0,200.0,39,10000,1,3.0,,202307,
GIGABYTE 지포스 RTX 3060 Gaming OC V2 D6 8GB 제이씨현,365870.0,https://prod.danawa.com/info/?pcode=19642520&cate=112753,GIGABYTE,19642520,//img.danawa.com/prod_img/500000/520/642/img/19642520_1.jpg?shrink=330:*&_v=20230405163011,NVIDIA,RTX 3060,8,,1807.0,3584.0,,PCIe4.0x16,GDDR6(DDR6),,15000.0,128.0,4,4.0,25,214.0,550.0,11,2.0,198.0,39,10000,1,3.0,,202304,
MSI 지포스 RTX 4080 게이밍 X 트리오 D6X 16GB 트라이프로져3,1747030.0,https://prod.danawa.com/info/?pcode=18307451&cate=112753,MSI,18307451,//img.danawa.com/prod_img/500000/451/307/img/18307451_1.jpg?shrink=330:*&_v=20230831165334,NVIDIA,RTX 4080,4,,2595.0,9728.0,,PCIe4.0x16,GDDR6X(DDR6X),,22400.0,256.0,4,4.0,377,320.0,850.0,11,3.0,337.0,67,100,7,,,202211,
GAINWARD 지포스 RTX 4090 팬텀 GS D6X 24GB,2367400.0,https://prod.danawa.com/info/?pcode=18021914&cate=112753,GAINWARD,18021914,//img.danawa.com/prod_img/500000/914/021/img/18021914_1.jpg?shrink=330:*&_v=20221018143243,NVIDIA,RTX 4090,4,2235,2610.0,16384.0,,PCIe4.0x16,GDDR6X(DDR6X),,21000.0,384.0,4,4.0,249,450.0,1000.0,15,3.0,329.4,69.7,100,7,3.0,,202210,
ZOTAC GAMING 지포스 RTX 4070 Ti Trinity OC D6X 12GB,1109820.0,https://prod.danawa.com/info/?pcode=18669413&cate=112753,ZOTAC,18669413,//img.danawa.com/prod_img/500000/413/669/img/18669413_1.jpg?shrink=330:*&_v=20230105230006,NVIDIA,RTX 4070 Ti,4,,2625.0,7680.0,,PCIe4.0x16,GDDR6X(DDR6X),,21000.0,192.0,4,4.0,185,285.0,750.0,11,3.0,306.8,58.5,100,5,3.0,,202301,
