name,price,link,company,product_seq,image,chipset_company,chipset,nm,base_clock,boost_clock,cuda_processor,stream_processor,interface,memory_type,memory_capacity,memory_clock,memory_bus,port,monitor_support,additional_function,usage_power,recommend_power,cooling_type,pan_number,length,thickness,pin,feature,as_years,bench_mark,reg_date,bookmark
FORSA 지포스 GTX 1650 D6 4GB,216830.0,https://prod.danawa.com/info/?pcode=12373847&cate=112753,FORSA,12373847,//img.danawa.com/prod_img/500000/847/373/img/12373847_1.jpg?shrink=330:*&_v=20220524123646,NVIDIA,GTX 1650,12,1410,1590.0,896.0,,PCIe3.0x16,GDDR6(DDR6),,12000.0,128.0,1028,3.0,272,75.0,350.0,9,1.0,195.0,42,0,0,,,202009,
지포스 RTX 2080 Ti D6 11GB (중고),,https://prod.danawa.com/info/?pcode=11979449&cate=112753,,11979449,//img.danawa.com/prod_img/500000/449/979/img/11979449_1.jpg?shrink=330:*&_v=20200805145223,NVIDIA,해당없음,,,,,,PCIe3.0x16,GDDR6(DDR6),,,352.0,0,,0,,,0,,,,0,0,,,202008,
ATUM 지포스 GTX 1660 SUPER D6 6GB (무상보증표기 중고),123710.0,https://prod.danawa.com/info/?pcode=20039609&cate=112753,ATUM,20039609,//img.danawa.com/prod_img/500000/609/039/img/20039609_1.jpg?shrink=330:*&_v=20230504174134,NVIDIA,해당없음,,,,,,PCIe3.0x16,GDDR6(DDR6),,,192.0,0,,0,,,0,,,,0,0,,,201910,
갤럭시 지포스 RTX 3080 Ti D6X 12GB (무상보증표기 중고),724140.0,https://prod.danawa.com/info/?pcode=20035289&cate=112753,갤럭시,20035289,//img.danawa.com/prod_img/500000/289/035/img/20035289_1.jpg?shrink=330:*&_v=20230504145252,NVIDIA,해당없음,,,,,,PCIe4.0x16,GDDR6X(DDR6X),,19000.0,384.0,0,,0,,,0,,,,0,0,,,202106,
갤럭시 지포스 RTX 3080 D6X 10GB (무상보증표기 중고),526710.0,https://prod.danawa.com/info/?pcode=20034776&cate=112753,갤럭시,20034776,//img.danawa.com/prod_img/500000/776/034/img/20034776_1.jpg?shrink=330:*&_v=20230504143721,NVIDIA,해당없음,,,,,,PCIe4.0x16,GDDR6X(DDR6X),,19000.0,320.0,0,,0,,,0,,,,0,0,,,202009,
COLORFUL iGame 지포스 RTX 4060 Ti ULTRA DUO OC D6 16GB White,,https://prod.danawa.com/info/?pcode=27608561&cate=112753,COLORFUL,27608561,//img.danawa.com/prod_img/500000/561/608/img/27608561_1.jpg?shrink=330:*&_v=20230825092402,NVIDIA,RTX 4060 Ti,4,2310,2580.0,4352.0,,PCIe4.0x16(at x8),GDDR6(DDR6),,18000.0,128.0,4,4.0,185,185.0,550.0,11,2.0,255.0,45.5,10000,21,3.0,,202308,
NVIDIA 쿼드로 M6000 D5 24GB 리더스시스템즈,,https://prod.danawa.com/info/?pcode=4058453&cate=112753,NVIDIA,4058453,//img.danawa.com/prod_img/500000/453/058/img/4058453_1.jpg?shrink=330:*&_v=20201215093751,NVIDIA,M6000,,,,3072.0,,PCIe3.0x16,GDDR5(DDR5),,,384.0,1024,4.0,18,250.0,,0,1.0,280.0,44,0,0,,,201605,
지포스 GTX1080 Ti D5X 11GB (중고),241000.0,https://prod.danawa.com/info/?pcode=6642610&cate=112753,,6642610,//img.danawa.com/prod_img/500000/610/642/img/6642610_1.jpg?shrink=330:*&_v=20181116112032,NVIDIA,해당없음,,,,,,PCIe3.0x16,GDDR5X(DDR5X),,,352.0,0,,0,,,0,,,,0,0,,,201811,
지포스 GTX960 D5 2GB (중고),53360.0,https://prod.danawa.com/info/?pcode=6673729&cate=112753,,6673729,//img.danawa.com/prod_img/500000/729/673/img/6673729_1.jpg?shrink=330:*&_v=20181121114913,NVIDIA,해당없음,,,,,,PCIe3.0x16,GDDR5(DDR5),,,128.0,0,,0,,,0,,,,0,0,,,201811,
지포스 RTX 2080 D6 8GB (중고),257000.0,https://prod.danawa.com/info/?pcode=11979227&cate=112753,,11979227,//img.danawa.com/prod_img/500000/227/979/img/11979227_1.jpg?shrink=330:*&_v=20200805144224,NVIDIA,해당없음,,,,,,PCIe3.0x16,GDDR6(DDR6),,,256.0,0,,0,,,0,,,,0,0,,,202008,
