name,price,link,company,product_seq,image,generation,capacity,clock,timing,number,ecc,xmp,expo,heatsink,heatsink_color,led,led_color,reg_date,bookmark
PATRIOT DDR5-5600 CL46 SIGNATURE,110330.0,https://prod.danawa.com/info/?pcode=19391135&cate=112752,PATRIOT,19391135,//img.danawa.com/prod_img/500000/135/391/img/19391135_1.jpg?shrink=330:*&_v=20230316130916,DDR5,32,5600MHz (PC5-44800),CL46-46-46-90,1,2.0,,0,0,,0,,202303,
ESSENCORE KLEVV DDR5-5600 CL46,55380.0,https://prod.danawa.com/info/?pcode=18965774&cate=112752,ESSENCORE,18965774,//img.danawa.com/prod_img/500000/774/965/img/18965774_1.jpg?shrink=330:*&_v=20230208132437,DDR5,16,5600MHz (PC5-44800),CL46-46-46-90,1,2.0,,0,0,,0,,202302,
삼성전자 DDR3-1600 중고,15790.0,https://prod.danawa.com/info/?pcode=5549101&cate=112752,삼성전자,5549101,//img.danawa.com/prod_img/500000/101/549/img/5549101_1.jpg?shrink=330:*&_v=20210409101246,DDR3,8,1600MHz (PC3-12800),,1,,,0,0,,0,,201710,
G.SKILL DDR4-3600 CL18 TRIDENT Z RGB 패키지,116253.0,https://prod.danawa.com/info/?pcode=11431083&cate=112752,G.SKILL,11431083,//img.danawa.com/prod_img/500000/083/431/img/11431083_1.jpg?shrink=330:*&_v=20200821131607,DDR4,32,3600MHz (PC4-28800),CL18-22-22-42,2,,1.0,0,1,블랙,1,RGB,202005,
TeamGroup DDR5-4800 CL40 Elite 서린,51540.0,https://prod.danawa.com/info/?pcode=17535233&cate=112752,TeamGroup,17535233,//img.danawa.com/prod_img/500000/233/535/img/17535233_1.jpg?shrink=330:*&_v=20220726132033,DDR5,16,4800MHz (PC5-38400),CL40-40-40-77,1,2.0,,0,0,,0,,202207,
GeIL DDR5-5600 CL46 PRISTINE V,,https://prod.danawa.com/info/?pcode=21695174&cate=112752,GeIL,21695174,//img.danawa.com/prod_img/500000/174/695/img/21695174_1.jpg?shrink=330:*&_v=20230724110046,DDR5,16,5600MHz (PC5-44800),CL46-46-46-90,1,2.0,2.0,0,0,,0,,202307,
GeIL DDR5-6000 CL38 ORION V RGB 패키지,144152.0,https://prod.danawa.com/info/?pcode=22170725&cate=112752,GeIL,22170725,//img.danawa.com/prod_img/500000/725/170/img/22170725_1.jpg?shrink=330:*&_v=20230727105113,DDR5,32,6000MHz (PC5-48000),CL38-40-40-82,2,2.0,2.0,1,1,그레이,1,RGB,202307,
마이크론 Crucial DDR4-3200 CL22,36310.0,https://prod.danawa.com/info/?pcode=10294092&cate=112752,마이크론,10294092,//img.danawa.com/prod_img/500000/092/294/img/10294092_1.jpg?shrink=330:*&_v=20210216152929,DDR4,16,3200MHz (PC4-25600),CL22,1,,,0,0,,0,,202001,
ADATA XPG DDR5-6000 CL30 CASTER 패키지,303530.0,https://prod.danawa.com/info/?pcode=19229168&cate=112752,ADATA,19229168,//img.danawa.com/prod_img/500000/168/229/img/19229168_1.jpg?shrink=330:*&_v=20230306131623,DDR5,32,6000MHz (PC5-48000),CL30-40-40,2,2.0,2.0,0,1,블랙,1,RGB,202303,
G.SKILL DDR5-6000 CL32 TRIDENT Z5 NEO RGB J 패키지,296678.0,https://prod.danawa.com/info/?pcode=18610958&cate=112752,G.SKILL,18610958,//img.danawa.com/prod_img/500000/958/610/img/18610958_1.jpg?shrink=330:*&_v=20221228112017,DDR5,64,6000MHz (PC5-48000),CL32-38-38-96,2,2.0,,1,1,블랙,1,RGB,202212,
