name,price,link,company,product_seq,image,category,cooling_type,aircool_form,tdp,intel_socket,amd_socket,fan_size,fan_count,airflow,noise,width,length,height,radiator,radiator_length,radiator_thickness,hose_length,feature,as_years,reg_date,bookmark
PCCOOLER PALADIN 400 (BLACK),29470,https://prod.danawa.com/info/?pcode=14110475&cate=11236855,PCCOOLER,14110475,//img.danawa.com/prod_img/500000/475/110/img/14110475_1.jpg?shrink=330:*&_v=20230627163058,CPU 쿨러,0,0,200,7,3,130,1,81,28.6,130,,157,,,,,2,2,202105,
DEEPCOOL AG400,22500,https://prod.danawa.com/info/?pcode=17221538&cate=11236855,DEEPCOOL,17221538,//img.danawa.com/prod_img/500000/538/221/img/17221538_1.jpg?shrink=330:*&_v=20220701140154,CPU 쿨러,0,0,200,7,3,120,1,75.89,31.6,125,,150,,,,,2,1,202206,
잘만 CNPS9X PERFORMA (BLACK),19200,https://prod.danawa.com/info/?pcode=17658305&cate=11236855,잘만,17658305,//img.danawa.com/prod_img/500000/305/658/img/17658305_1.jpg?shrink=330:*&_v=20230713100947,CPU 쿨러,0,0,200,7,3,120,1,61.36,28,122,,157,,,,,2,,202208,
